Name,Salary,Team,Pos,Opp,Proj_FP
Justin Fields,10000,OHIOST,QB,MSU,41.11
Breece Hall,8700,IAST,RB,WVU,32.58
Ian Book,9300,ND,QB,SYR,25.44
Sam Ehlinger,9100,TEX,QB,KANST,24.59
Kyren Williams,9200,ND,RB,SYR,23.29
Jeff Sims,7300,GATECH,QB,NCSU,21.15
Rondale Moore,6800,PURDUE,WR,NEB,21.02
Garrett Wilson,8800,OHIOST,WR,MSU,20.72
Brennan Armstrong,8200,UVA,QB,BC,20.47
Jack Plummer,7900,PURDUE,QB,NEB,20.13
Tylan Wallace,7300,OKST,WR,TCU,19.87
David Bell,7500,PURDUE,WR,NEB,19.31
Brock Purdy,7000,IAST,QB,WVU,18.75
Spencer Sanders,6800,OKST,QB,TCU,18.26
Leddie Brown,8000,WVU,RB,IAST,18.18
Zander Horvath,8400,PURDUE,RB,NEB,18.09
Phil Jurkovec,6600,BC,QB,UVA,17.89
Master Teague,8300,OHIOST,RB,MSU,17.43
Chris Olave,7100,OHIOST,WR,MSU,17.43
Isaiah Spiller,7600,TEXA&M,RB,AUBURN,17.38
Spencer Petras,5500,IOWA,QB,ILL,17.21
Tyler Goodson,7400,IOWA,RB,ILL,17.18
Jarret Doege,6200,WVU,QB,IAST,17.16
Davis Mills,6900,STAN,QB,WASH,16.26
Brandon Peters,5900,ILL,QB,IOWA,16.15
Brennan Eagles,5800,TEX,WR,KANST,16.14
Wan'Dale Robinson,6900,NEB,WR,PURDUE,16.13
Graham Mertz,6700,WISC,QB,IND,16.03
Kellen Mond,7700,TEXA&M,QB,AUBURN,16.02
Bo Nix,6500,AUBURN,QB,TEXA&M,15.75
Dezmon Jackson,6200,OKST,RB,TCU,15.67
Adrian Martinez,7200,NEB,QB,PURDUE,15.61
Will Howard,5300,KANST,QB,TEX,15.58
Max Duggan,7500,TCU,QB,OKST,15.48
Javon McKinley,6000,ND,WR,SYR,15.40
Jalen Berger,5800,WISC,RB,IND,15.27
Bijan Robinson,5700,TEX,RB,KANST,15.04
Lavel Davis,6100,UVA,WR,BC,14.86
Luke McCaffrey,6800,NEB,QB,PURDUE,14.85
Bailey Hockman,7400,NCSU,QB,GATECH,14.37
Matthew Downing,6700,TCU,QB,OKST,14.30
Zay Flowers,5200,BC,WR,UVA,14.29
Thayer Thomas,5900,NCSU,WR,GATECH,14.04
Taye Barber,5100,TCU,WR,OKST,13.80
Tank Bigsby,6000,AUBURN,RB,TEXA&M,13.46
Jalen Nailor,4500,MSU,WR,OHIOST,13.44
Jahmyr Gibbs,8100,GATECH,RB,NCSU,13.37
Puka Nacua,5300,WASH,WR,STAN,13.35
Seth Williams,5400,AUBURN,WR,TEXA&M,13.34
Hunter Long,4700,BC,WR,UVA,13.25
Austin Jones,7100,STAN,RB,WASH,13.19
Joshua Moore,4700,TEX,WR,KANST,13.07
Rocky Lombardi,5100,MSU,QB,OHIOST,12.89
Braden Lenzy,4500,ND,WR,SYR,12.80
Ainias Smith,5500,TEXA&M,RB,AUBURN,12.72
Zonovan Knight,6300,NCSU,RB,GATECH,12.63
Ben Skowronek,6200,ND,WR,SYR,12.58
Taj Harris,5700,SYR,WR,ND,12.49
Travis Levy,4700,BC,RB,UVA,12.45
Terrell Jana,3900,UVA,WR,BC,12.36
Ty Fryfogle,6500,IND,WR,WISC,12.32
Ricky Person,4300,NCSU,RB,GATECH,12.31
Michael Wilson,5500,STAN,WR,WASH,12.27
Emeka Emezie,4900,NCSU,WR,GATECH,12.14
Josh Imatorbhebhe,4800,ILL,WR,IOWA,12.13
Cary Angeline,4100,NCSU,WR,GATECH,12.11
Mekhi Sargent,4800,IOWA,RB,ILL,12.11
Kamari Pleasant,5000,WASH,RB,STAN,12.09
Jayden Reed,4300,MSU,WR,OHIOST,11.92
Chris Tyree,3200,ND,RB,SYR,11.92
