Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2392428780,ericspruill-1,0,220.35999,QB Justin Fields S-FLEX Ian Book WR Chris Olave RB Deuce Vaughn RB Bijan Robinson WR Jayden Reed FLEX Shaun Shivers WR Blair Conwright,,Rondale Moore,WR,30.00%,21.5
2,2392558828,jasonreynolds12,0,211.00002,S-FLEX Kyle Trask QB Brennan Armstrong WR Chris Olave RB Dezmon Jackson WR Brennan Eagles WR Zay Flowers FLEX Ricky Person Jr. RB Trey Sermon,,Kyle Trask,QB,29.50%,35.32
3,2391285619,qtran916,0,210.36,S-FLEX Justin Fields WR Kyle Pitts RB Tyler Goodson QB Dennis Grosel WR Javon McKinley FLEX Hunter Long WR Jalen Nailor RB Trey Sermon,,Kyle Pitts,WR,25.50%,22.8
4,2392595708,Rooroocachoo,0,209.98,QB Justin Fields S-FLEX Kyle Trask WR Cade Otton RB Bijan Robinson WR Zay Flowers WR Charlie Kolar RB Ricky Person Jr. FLEX Jordan Mason,,Zay Flowers,FLEX,25.50%,43
5,2391223843,MADDOGS01,0,205.46,QB Jack Plummer WR Kyle Pitts RB Isaiah Spiller FLEX Chris Olave RB Deuce Vaughn WR Zay Flowers WR Chimere Dike S-FLEX Trey Sermon,,Justin Fields,QB,22.00%,41.36
6,2392362661,Keeper20,0,199.35999,QB Jack Plummer WR David Bell S-FLEX Stevie Scott III RB Deuce Vaughn RB Dezmon Jackson WR Jalen Wydermyer FLEX Zay Flowers WR Cary Angeline,,Chris Olave,FLEX,21.00%,31.9
7,2391985889,mattlj23,0,196.88,QB Kellen Mond S-FLEX Jeff Sims RB Deuce Vaughn FLEX Zonovan Knight RB Dezmon Jackson WR Jalen Wydermyer WR Zay Flowers WR T.J. Simmons,,Jack Plummer,QB,15.50%,26.06
8,2392325979,chach1,0,195.23999,QB Brennan Armstrong S-FLEX Jack Plummer RB Isaiah Spiller WR Chris Olave WR Rondale Moore WR Hunter Long FLEX Jordan Mason RB Trey Sermon,,Tyler Goodson,RB,15.00%,14.8
9,2392523473,Bambino27,0,189.48,QB Brennan Armstrong RB Tyler Goodson WR Kadarius Toney S-FLEX Phil Jurkovec RB Dezmon Jackson WR Zay Flowers FLEX Travis Levy WR Hunter Long,,Kadarius Toney,WR,15.00%,28.5
10,2391303737,StevenLassan,0,186.62,QB Kyle Trask WR David Bell RB Tyler Goodson FLEX Wan'Dale Robinson WR Zay Flowers WR Charlie Kolar RB Ricky Person Jr. S-FLEX Jordan Mason,,Cade Otton,WR,15.00%,6.6
10,2392596991,piracy1068,0,186.62,QB Kyle Trask WR David Bell RB Tyler Goodson FLEX Wan'Dale Robinson WR Zay Flowers WR Charlie Kolar RB Ricky Person Jr. S-FLEX Jordan Mason,,Dezmon Jackson,RB,14.50%,21.7
12,2391921708,blunt.object,0,186.58,QB Justin Fields S-FLEX Kyle Trask WR Chris Olave WR Kadarius Toney WR Trevon Grimes RB Malik Davis RB Trey Sermon FLEX Jeremy Ruckert,,Brennan Armstrong,QB,13.00%,36.48
13,2391661495,sickmaids,0,186.02,WR Kyle Pitts S-FLEX Bo Nix RB Dezmon Jackson QB Jarret Doege WR Cade Otton WR Taj Harris RB Bijan Robinson FLEX Zay Flowers,,Sam Ehlinger,QB,12.00%,18.36
14,2391620268,krash04,0,184.28,QB Brennan Armstrong FLEX Isaiah Spiller RB Tyler Goodson WR Rondale Moore S-FLEX Dennis Grosel WR Zay Flowers RB Jordan Mason WR Terrell Jana,,Isaiah Spiller,RB,11.50%,18
15,2392334786,Bwood310,0,181.54001,S-FLEX Brennan Armstrong QB Bailey Hockman RB Eric Gray RB Austin Jones WR Zay Flowers FLEX Kamari Pleasant WR Emeka Emezie WR Charlie Kolar,,Ainias Smith,RB,11.50%,19.8
16,2392640423,LJ1981,0,180.97998,QB Kyle Trask S-FLEX Bailey Hockman WR Kadarius Toney RB Zonovan Knight WR Thayer Thomas WR Trevon Grimes FLEX Hunter Long RB Roschon Johnson,,Charlie Kolar,WR,11.00%,10.9
17,2391030728,brewerswx,0,179.76,QB Sam Ehlinger RB Breece Hall RB Dezmon Jackson WR Javon McKinley WR Brennan Eagles FLEX Zay Flowers S-FLEX Joshua Moore WR Jordan Whittington,,Kyren Williams,RB,10.50%,20.3
18,2391261757,Dan247250,0,179.03998,QB Kellen Mond S-FLEX Isaiah Spiller RB Tyler Goodson RB Dezmon Jackson WR Javon McKinley WR Thayer Thomas WR Zay Flowers FLEX Zach Evans,,Ricky Person Jr.,FLEX,10.50%,13.8
19,2392376023,wjourdan8,0,179.02,S-FLEX Kyle Trask WR Wan'Dale Robinson WR Rondale Moore QB Spencer Sanders RB Ainias Smith WR Zay Flowers RB Kamari Pleasant FLEX Jordan Mason,,Garrett Wilson,WR,10.00%,14.9
20,2391822084,ramsangels,0,178.54,QB Brennan Armstrong S-FLEX Jack Plummer WR Rondale Moore RB Dezmon Jackson FLEX Brennan Eagles RB Bijan Robinson WR Charlie Kolar WR Tony Poljan,,David Bell,WR,10.00%,32.2
