Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_
Dansby Swanson,4800,ATL,SS,WAS,7.55,1.572916667,2 
Ronald Acuna,5000,ATL,OF,WAS,9.48,1.896,1 
Josh Donaldson,4300,ATL,3B,WAS,7.51,1.746511628,4 
Tyler Flowers,3800,ATL,C,WAS,5.74,1.510526316,7 
Austin Riley,4600,ATL,3B/OF,WAS,5.58,1.213043478,6 
Victor Robles,4100,WAS,OF,ATL,7.46,1.819512195,8 
Anthony Rendon,5400,WAS,3B,ATL,8.82,1.633333333,3 
Trea Turner,4400,WAS,SS,ATL,9.21,2.093181818,1 
Austin Dean,3300,MIA,OF,SFG,7.51,2.275757576,1 
Miguel Rojas,3000,MIA,3B/SS,SFG,4.2,1.4,8 
Garrett Cooper,3300,MIA,1B/OF,SFG,7.31,2.215151515,2 
Martin Prado,2700,MIA,1B/3B,SFG,5.12,1.896296296,6 
Harold Ramirez,3500,MIA,OF,SFG,5.61,1.602857143,5 
Jorge Alfaro,3500,MIA,C,SFG,6.19,1.768571429,7 
Adam Eaton,4000,WAS,OF,ATL,7.43,1.8575,2 
Juan Soto,5000,WAS,OF,ATL,7.87,1.574,4 
Jorge Soler,4400,KCR,OF,CHW,6.54,1.486363636,6 
Hunter Dozier,5100,KCR,1B/3B,CHW,8.32,1.631372549,5 
Martin Maldonado,2900,KCR,C,CHW,6.66,2.296551724,8 
Jose Abreu,4900,CHW,1B,KCR,9.28,1.893877551,3 
Eloy Jimenez,3800,CHW,OF,KCR,8.01,2.107894737,6 
James McCann,4200,CHW,C,KCR,7.11,1.692857143,5 
Whit Merrifield,5200,KCR,2B/OF,CHW,8.31,1.598076923,2 
Kurt Suzuki,3800,WAS,C,ATL,5.88,1.547368421,7 
Freddie Freeman,5200,ATL,1B,WAS,8.57,1.648076923,3 
Matt Adams,3800,WAS,1B,ATL,8.29,2.181578947,6 
Nick Markakis,4100,ATL,OF,WAS,6.64,1.619512195,5 
Ozzie Albies,4300,ATL,2B,WAS,6.11,1.420930233,8 
Howie Kendrick,4900,WAS,1B/3B,ATL,7.18,1.465306122,5 
Starlin Castro,2500,MIA,2B,SFG,6.9,2.76,4 
Brian Anderson,3700,MIA,3B/OF,SFG,6.78,1.832432432,3 
Daniel Robertson,3200,TBR,2B/3B,TOR,4.07,1.271875,9 
Willy Adames,3500,TBR,SS,TOR,6.62,1.891428571,7 
Vladimir Guerrero Jr,3400,TOR,3B,TBR,6.15,1.808823529,2
Lourdes Gurriel,3400,TOR,2B/OF,TBR,6.39,1.879411765,5
Jonathan Davis,2600,TOR,OF,TBR,5.33,2.05,8
Brandon Drury,2900,TOR,2B/3B,TBR,5.34,1.84137931,6
Avisail Garcia,4600,TBR,OF,TOR,6.94,1.508695652,5 
Tommy Pham,4700,TBR,OF,TOR,7.18,1.527659574,2 
