Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Anibal Sanchez,7200,WAS,SP,ATL,13.76,1.911111111
Kevin Gausman,8300,ATL,SP,WAS,16.39,1.974698795
Pablo Lopez,6600,MIA,SP,SFG,12.85,1.946969697
Madison Bumgarner,9900,SFG,SP,MIA,20.42,2.062626263
Trent Thornton,8000,TOR,SP,TBR,15.7,1.9625
Blake Snell,11300,TBR,SP,TOR,25.94,2.295575221
Reynaldo Lopez,5900,CHW,SP,KCR,16.64,2.820338983
Glenn Sparkman,5700,KCR,SP,CHW,12.84,2.252631579
Robbie Ray,8200,ARI,SP,COL,13.23,1.613414634
Jeff Hoffman,6300,COL,SP,ARI,7.24,1.149206349
Wade Miley,7800,HOU,SP,CHC,14.92,1.912820513
Kyle Hendricks,9200,CHC,SP,HOU,16.22,1.763043478
Aaron Nola,9000,PHI,SP,STL,19.39,2.154444444
Genesis Cabrera,7000,STL,SP,PHI,11.31,1.615714286
Ryan Carpenter,5400,DET,SP,BAL,11.42,2.114814815
John Means,6900,BAL,SP,DET,10.83,1.569565217
