Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1511906483,smowbo,0,182.25,P Aaron Nola P John Means OF Juan Soto OF Andrew McCutchen SS Trea Turner OF Michael Brantley 3B Josh Donaldson 2B Brendan Rodgers 1B Brandon Belt C Buster Posey,,Blake Snell,P,30.77%,14.7
2,1511917528,peiprophet,0,149.25,P Wade Miley P John Means SS Eduardo Escobar OF Alex Gordon 3B Alex Bregman OF Bryce Harper 2B C?sar Hern?ndez 1B Paul Goldschmidt OF Adam Eaton C Matt Wieters,,Reynaldo L?pez,P,30.77%,0.35
3,1511932055,packerbackerdale,0,118.85,P Robbie Ray P Wade Miley 2B Whit Merrifield 1B Rhys Hoskins OF Bryce Harper OF Jorge Soler C James McCann OF Kevin Pillar SS Freddy Galvis 3B Yuli Gurriel,,Walker Buehler,P,23.08%,8.45
4,1511906453,djclue000,6,116.05,P Blake Snell P Reynaldo L?pez OF Austin Meadows OF Kris Bryant SS Trea Turner 3B Justin Turner 2B Joe Panik C Matt Wieters 1B Garrett Cooper OF Matt Beaty,,Austin Meadows,OF,23.08%,14
5,1511925729,kzygmunt,9,107.5,P Madison Bumgarner P Kyle Hendricks OF Adam Jones 1B Kevin Cron OF Kevin Kiermaier 3B Justin Turner 2B Eric Sogard OF Harold Ram?rez SS Amed Rosario C Will Smith,,Eduardo Escobar,3B,19.23%,0
6,1511931386,Tippi,0,105.65,P Robbie Ray P Reynaldo L?pez OF Austin Meadows OF Marcell Ozuna SS Javier B?ez 2B Brandon Lowe OF Avisa?l Garc?a 3B Austin Riley C Jorge Alfaro 1B Rowdy Tellez,,Garrett Cooper,1B,19.23%,2
7,1511907937,Baseballdave,3,105.25,P Walker Buehler P Kyle Hendricks OF Austin Riley OF Albert Almora Jr. SS Corey Seager C Chris Iannetta 2B Joe Panik 1B Ji-Man Choi OF Kyle Schwarber 3B Brian Anderson,,Pablo L?pez,P,19.23%,18.5
8,1511886409,Uncle_Brian,3,104,P Walker Buehler P Aaron Nola 3B Eduardo Escobar OF Victor Robles SS Corey Seager OF JaCoby Jones C Jorge Alfaro OF Harold Ram?rez 2B Lourdes Gurriel Jr. 1B Garrett Cooper,,Will Smith,C,19.23%,0
9,1511925245,AbsolutVacca,3,96.2,P Blake Snell P Pablo L?pez 3B Nolan Arenado 1B Trey Mancini OF Avisa?l Garc?a SS Trea Turner OF Kyle Schwarber 2B Addison Russell OF Garrett Cooper C Will Smith,,Robbie Ray,P,19.23%,7.3
10,1511921626,Aleciscool1,0,91.9,P Aaron Nola P Reynaldo L?pez OF Austin Meadows OF Tommy Pham C J.T. Realmuto OF Harrison Bader 1B Ji-Man Choi 2B Nicky Lopez SS Willy Adames 3B Yuli Gurriel,,Aaron Nola,P,15.38%,29.55
11,1511895866,showtime_lezz17,6,90.2,P Blake Snell P Pablo L?pez 3B Nolan Arenado SS Trevor Story 2B Max Muncy OF David Dahl OF Ian Desmond 1B Mark Reynolds OF Garrett Cooper C Will Smith,,Trevor Story,SS,15.38%,16
12,1511906980,kushmcpuffton,3,85.85,P Pablo L?pez P Reynaldo L?pez OF Cody Bellinger SS Eduardo Escobar OF Kris Bryant OF Trey Mancini 1B Jos? Abreu 3B Ildemaro Vargas C Blake Swihart 2B Starlin Castro,,Yuli Gurriel,1B,15.38%,0
13,1511898517,eadbaby,6,85.4,P Noah Syndergaard P Robbie Ray SS Trevor Story OF Juan Soto OF Ronald Acu?a Jr. 3B Josh Donaldson 1B Miguel Cabrera OF Mike Yastrzemski 2B Lourdes Gurriel Jr. C Will Smith,,Nicky Lopez,2B,15.38%,19
14,1511916202,melmarco,0,82,P Walker Buehler P Wade Miley SS Adalberto Mondesi OF Trey Mancini OF Nicholas Castellanos 3B Hanser Alberto 2B Nicky Lopez 1B Ryan O'Hearn C Austin Wynns OF Randal Grichuk,,Ji-Man Choi,1B,15.38%,5
15,1511896082,MIKET777,0,80.25,P Blake Snell P Aaron Nola OF Austin Meadows OF Niko Goodrum 2B Joe Panik C Robinson Chirinos SS Willy Adames OF Harold Ram?rez 1B Yuli Gurriel 3B Mart?n Prado,,Amed Rosario,SS,15.38%,0
16,1511908846,billftball,6,75.2,P Blake Snell P Trent Thornton OF Michael Brantley OF Michael Conforto OF Raimel Tapia 1B Miguel Cabrera C Chris Iannetta 2B Nicky Lopez SS Amed Rosario 3B Maikel Franco,,Jorge Alfaro,C,11.54%,16
17,1511923186,Rock_G,0,72.85,P Trent Thornton P Reynaldo L?pez 1B Howie Kendrick OF Marcell Ozuna OF Alex Gordon 3B Alex Bregman SS Nick Ahmed C James McCann 2B Hanser Alberto OF Garrett Cooper,,Harold Ram?rez,OF,11.54%,5
18,1511934272,draftkingneil,3,70.75,P Walker Buehler P Robbie Ray 1B Jos? Abreu 3B Alex Bregman 2B Ronny Rodr?guez OF Michael Conforto OF Brian Anderson C Jorge Alfaro SS Freddy Galvis OF Tony Kemp,,Nolan Arenado,3B,11.54%,7
19,1511906799,mrJNeu22,3,69.05,P Blake Snell P Reynaldo L?pez OF Austin Meadows 2B Brandon Lowe 3B Austin Riley OF Nick Markakis 1B Ji-Man Choi OF Derek Fisher SS Amed Rosario C Erik Kratz,,Joe Panik,2B,11.54%,3
20,1511898298,Rushia,0,67.95,P Walker Buehler P Pablo L?pez 1B Freddie Freeman OF Ronald Acu?a Jr. SS Dansby Swanson 3B Josh Donaldson OF Nick Markakis 2B Nicky Lopez OF Billy Hamilton C Mart?n Maldonado,,Ronald Acu?a Jr.,OF,11.54%,0
