Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1565440446,mlowe1833 (1/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Clayton Kershaw,P,46.86%,32.75
1,1565440496,mlowe1833 (2/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Joc Pederson,OF,35.11%,5
1,1565446981,mlowe1833 (3/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Manny Machado,3B,35.00%,0
1,1565447129,mlowe1833 (4/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Aníbal Sánchez,P,34.64%,18.5
1,1565447143,mlowe1833 (5/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Max Muncy,1B,30.42%,5
1,1565447165,mlowe1833 (6/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Cody Bellinger,OF,28.34%,0
1,1565447175,mlowe1833 (7/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Bryce Harper,OF,28.29%,3
1,1565447189,mlowe1833 (8/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Conner Menez,P,26.89%,6.1
1,1565447198,mlowe1833 (9/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,Dinelson Lamet,P,26.86%,40.15
1,1565447209,mlowe1833 (10/10),0,195.65,P Aníbal Sánchez C Kurt Suzuki OF David Peralta 1B Eric Hosmer 3B Eduardo Escobar OF Ketel Marte 2B Luis Urías P Dinelson Lamet OF Josh Naylor SS Fernando Tatis Jr.,,David Peralta,OF,24.36%,16
