P,P,C,1B,2B,3B,SS,OF,OF,OF
James Paxton,Joey Lucchesi,Austin Hedges,Mitch Moreland,Luis Urias,Rafael Devers,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge
James Paxton,Eduardo Rodriguez,Francisco Mejia,Christian Walker,Luis Urias,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge
James Paxton,Eduardo Rodriguez,Austin Hedges,Mitch Moreland,Brock Holt,Gio Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Francisco Mejia,Ryan O'Hearn,Ketel Marte,Rafael Devers,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Francisco Mejia,Rhys Hoskins,Luis Urias,Gio Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Mookie Betts
James Paxton,Eduardo Rodriguez,Austin Hedges,Eric Hosmer,Tim Lopes,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Mookie Betts
James Paxton,Joey Lucchesi,Meibrys Viloria,Eric Hosmer,Eduardo Escobar,Gio Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Francisco Mejia,Mitch Moreland,Eduardo Escobar,Colin Moran,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Francisco Mejia,Eric Hosmer,Brock Holt,Hunter Dozier,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge
James Paxton,Eduardo Rodriguez,Francisco Mejia,Mitch Moreland,Luis Urias,Gio Urshela,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Trent Grisham
James Paxton,Joey Lucchesi,Meibrys Viloria,Mitch Moreland,Brock Holt,Rafael Devers,Manny Machado,Billy Hamilton,Mookie Betts,Jackie Bradley Jr.
James Paxton,Joey Lucchesi,Meibrys Viloria,Christian Walker,Luis Urias,Rafael Devers,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Yasmani Grandal,Eric Hosmer,Luis Urias,Colin Moran,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Aaron Judge
James Paxton,Joey Lucchesi,Austin Hedges,Christian Walker,DJ LeMahieu,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot
James Paxton,Joey Lucchesi,Meibrys Viloria,Ryan O'Hearn,Whit Merrifield,Hunter Dozier,Manny Machado,Hunter Renfroe,Aaron Judge,Jorge Soler
James Paxton,Eduardo Rodriguez,Tom Murphy,Austin Nola,Tim Lopes,Gio Urshela,Manny Machado,Hunter Renfroe,Mallex Smith,Domingo Santana
James Paxton,Eduardo Rodriguez,Austin Hedges,Rhys Hoskins,Luis Urias,Colin Moran,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Bryce Harper
James Paxton,Joey Lucchesi,Christian Vazquez,Mitch Moreland,Brock Holt,Colin Moran,Xander Bogaerts,Wil Myers,Hunter Renfroe,Jackie Bradley
James Paxton,Joey Lucchesi,Austin Hedges,Eric Hosmer,Brock Holt,Rafael Devers,Fernando Tatis Jr.,Wil Myers,Hunter Renfroe,Trent Grisham
James Paxton,Eduardo Rodriguez,Austin Hedges,Eric Hosmer,Luis Urias,Gio Urshela,Manny Machado,Hunter Renfroe,Trent Grisham,Aaron Judge
