Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Andrew Knapp,2400.00,PHI,C,SFG,5.19,2.16,8,1
Scooter Gennett,2900.00,SFG,2B,PHI,5.92,2.04,6,1
Francisco Mejia,3200.00,SDP,C,COL,6.39,2,5,1
Brandon Belt,3500.00,SFG,1B,PHI,6.91,1.97,1,1
Brandon Crawford,3000.00,SFG,SS,PHI,5.75,1.92,8,1
Yonathan Daza,3300.00,COL,OF,SDP,6.31,1.91,7,1
Jean Segura,3900.00,PHI,SS,SFG,7.17,1.84,4,1
Wil Myers,3900.00,SDP,OF,COL,7.13,1.83,2,1
Rhys Hoskins,4200.00,PHI,1B,SFG,7.63,1.82,2,1
Roman Quinn,3800.00,PHI,OF,SFG,6.87,1.81,1,1
Mike Yastrzemski,4000.00,SFG,OF,PHI,7.21,1.8,2,1
Ian Desmond,4300.00,COL,OF,SDP,7.6,1.77,5,1
Bryce Harper,4200.00,PHI,OF,SFG,7.35,1.75,3,1
Luis Urias,2800.00,SDP,2B,COL,4.89,1.75,8,1
Nolan Arenado,4900.00,COL,3B,SDP,8.48,1.73,3,1
Josh Naylor,3500.00,SDP,OF,COL,6.02,1.72,7,1
Hunter Renfroe,4300.00,SDP,OF,COL,7.3,1.7,6,1
Buster Posey,3400.00,SFG,C,PHI,5.75,1.69,3,1
Manny Machado,4400.00,SDP,3B/SS,COL,7.38,1.68,3,1
Fernando Tatis,5400.00,SDP,SS,COL,9.07,1.68,1,1
Kevin Pillar,3600.00,SFG,OF,PHI,6.05,1.68,7,1
Jay Bruce,4500.00,PHI,1B/OF,SFG,7.22,1.6,5,1
Sean Rodriguez,3500.00,PHI,3B/OF,SFG,5.49,1.57,7,1
Trevor Story,5500.00,COL,SS,SDP,8.66,1.57,2,1
Eric Hosmer,4300.00,SDP,1B,COL,6.67,1.55,4,1
Stephen Vogt,3900.00,SFG,C,PHI,6.02,1.54,4,1
Tony Wolters,3200.00,COL,C,SDP,4.82,1.51,8,1
Scott Kingery,4400.00,PHI,3B/OF,SFG,6.37,1.45,6,1
Evan Longoria,4000.00,SFG,3B,PHI,5.7,1.43,5,1
Daniel Murphy,4800.00,COL,1B,SDP,6.84,1.43,4,1
Charlie Blackmon,5700.00,COL,OF,SDP,8.11,1.42,1,1
Ryan McMahon,4400.00,COL,2B,SDP,5.92,1.35,6,1
