P,P,C,1B,2B,3B,SS,OF,OF,OF,Proj_pts
Vincent Velasquez,Mike Soroka,Sandy Leon,Sam Travis,Cavan Biggio,Dawel Lugo,Xander Bogaerts,Victor Reyes,Mookie Betts,J.D. Martinez,106.74
Vincent Velasquez,Mike Soroka,Kevan Smith,Sam Travis,Luis Rengifo,Vladimir Guerrero Jr,Humberto Arteaga,Justin Upton,Shohei Ohtani,Mike Trout,104.11999999999999
Vincent Velasquez,Mike Soroka,Christian Vazquez,Ryan O'Hearn,Whit Merrifield,Hunter Dozier,Humberto Arteaga,Mookie Betts,Bryce Harper,Alex Gordon,101.86
Vincent Velasquez,Mike Soroka,Jake Rogers,Miguel Cabrera,Harold Castro,Dawel Lugo,Niko Goodrum,Shohei Ohtani,Bryce Harper,Aaron Judge,101.49999999999999
Vincent Velasquez,Rick Porcello,Christian Vazquez,Michael Chavis,Brock Holt,Vladimir Guerrero Jr,Didi Gregorius,Mookie Betts,Aaron Judge,J.D. Martinez,100.83999999999999
Rick Porcello,Mike Soroka,Buster Posey,Brandon Belt,Scooter Gennett,Evan Longoria,Xander Bogaerts,Victor Reyes,Bryce Harper,Mike Yastrzemski,100.18
Mike Soroka,Chad Green,Gary Sanchez,Sam Travis,DJ LeMahieu,Giovanny Urshela,Didi Gregorius,Victor Reyes,Justin Upton,Aaron Judge,99.75
Mike Soroka,Spencer Turnbull,Christian Vazquez,Matthew Thaiss,Scooter Gennett,Dawel Lugo,David Fletcher,Justin Upton,Shohei Ohtani,Kole Calhoun,99.74999999999999
Vincent Velasquez,Mike Soroka,Danny Jansen,Justin Smoak,Cavan Biggio,Vladimir Guerrero Jr,Didi Gregorius,Bryce Harper,Ender Inciarte,Randal Grichuk,99.7
Rick Porcello,Mike Soroka,Gary Sanchez,Mike Ford,Cavan Biggio,Dawel Lugo,Humberto Arteaga,Aaron Judge,Brett Gardner,Cameron Maybin,98.03999999999999
Vincent Velasquez,Mike Soroka,Brian McCann,Freddie Freeman,Ozzie Albies,Dawel Lugo,Humberto Arteaga,Ender Inciarte,Ronald Acuna,Bubba Starling,98.0
Rick Porcello,Mike Soroka,Christian Vazquez,Brandon Dixon,Ozzie Albies,Dawel Lugo,Niko Goodrum,Victor Reyes,Alex Gordon,Travis Demeritte,97.93999999999998
Rick Porcello,Mike Soroka,J.T. Realmuto,Sam Travis,Cesar Hernandez,Dawel Lugo,Jean Segura,Bryce Harper,Ronald Acuna,Corey Dickerson,97.67
