Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,,,,,
1569448580,MLB $100 Dime Time [Just $0.10!],74970388,$0.10 ,Justin Verlander (13116157),Jacob deGrom (13116158),Nick Dini (13117018),Sam Travis (13116402),Chris Owings (13116983),Hunter Dozier (13116241),Humberto Arteaga (13117010),Bubba Starling (13116710),Billy Hamilton (13116846),Mike Trout (13116179),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,,,,Max Scherzer,Max Scherzer (13117033)
1569449602,MLB $100 Dime Time [Just $0.10!],74970388,$0.10 ,Mike Foltynewicz (13116170),Justin Verlander (13116157),Nick Dini (13117018),Sam Travis (13116402),Chris Owings (13116983),Rafael Devers (13116191),Xander Bogaerts (13116201),Trent Grisham (13116986),J.D. Martinez (13116189),Shohei Ohtani (13116219),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,,,,Justin Verlander,Justin Verlander (13116157)
1569449624,MLB $100 Dime Time [Just $0.10!],74970388,$0.10 ,Masahiro Tanaka (13116168),Jacob deGrom (13116158),Christian Vazquez (13116279),Sam Travis (13116402),Chris Owings (13116983),Dawel Lugo (13116807),Xander Bogaerts (13116201),Bubba Starling (13116710),Aaron Judge (13116248),J.D. Martinez (13116189),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,,,,Gerrit Cole,Gerrit Cole (13117034)
1569457142,MLB $100 Dime Time [Just $0.10!],74970388,$0.10 ,Justin Verlander (13116157),Jacob deGrom (13116158),Chris Herrmann (13116712),Matt Olson (13116338),Chris Owings (13116983),Matt Chapman (13116356),Humberto Arteaga (13117010),Aaron Judge (13116248),Nick Martini (13116640),Robbie Grossman (13116532),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,,,,Jacob deGrom,Jacob deGrom (13116158)
1569457199,MLB $100 Dime Time [Just $0.10!],74970388,$0.10 ,Justin Verlander (13116157),Jacob deGrom (13116158),Max Stassi (13117007),Matt Thaiss (13116332),Chris Owings (13116983),Dawel Lugo (13116807),David Fletcher (13116376),Trent Grisham (13116986),Shohei Ohtani (13116219),Kole Calhoun (13116271),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,,,,Matthew Boyd,Matthew Boyd (13117036)
,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Corbin,Patrick Corbin (13117035)
,,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,Luis Castillo,Luis Castillo (13116159)
,,,,,,,,,,,,,,,SP,Max Scherzer (13117033),Max Scherzer,13117033,P,12800,WAS@NYM 08/11/2019 01:10PM ET,WAS,26.68,,,Stephen Strasburg,Stephen Strasburg (13117037)
,,,,,,,,,,,,,,,SP,Justin Verlander (13116157),Justin Verlander,13116157,P,12400,HOU@BAL 08/11/2019 01:05PM ET,HOU,27.23,,,Mike Clevinger,Mike Clevinger (13117038)
,,,,,,,,,,,,,,,SP,Gerrit Cole (13117034),Gerrit Cole,13117034,P,11900,HOU@BAL 08/11/2019 01:05PM ET,HOU,26.7,,,Shane Bieber,Shane Bieber (13117039)
,,,,,,,,,,,,,,,SP,Jacob deGrom (13116158),Jacob deGrom,13116158,P,11800,WAS@NYM 08/11/2019 01:10PM ET,NYM,22.15,,,Lucas Giolito,Lucas Giolito (13116160)
