Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1511906391,smowbo,0,182.25,P Aaron Nola P John Means OF Juan Soto OF Andrew McCutchen SS Trea Turner OF Michael Brantley 3B Josh Donaldson 2B Brendan Rodgers 1B Brandon Belt C Buster Posey,,Blake Snell,P,28.13%,14.7
2,1511902023,magold,0,124.25,P Aaron Nola P John Means 3B Nolan Arenado OF Adam Jones OF Ronald Acu?a Jr. OF Bryce Harper 1B Ji-Man Choi SS Addison Russell C Buster Posey 2B Brandon Drury,,Robbie Ray,P,28.13%,7.3
3,1511882671,geombre,0,119.85,P Aaron Nola P Robbie Ray 1B Renato N??ez OF Ronald Acu?a Jr. 3B Howie Kendrick OF Andrew McCutchen OF JaCoby Jones C Buster Posey SS Miguel Rojas 2B Yolmer S?nchez,,Ronald Acu?a Jr.,OF,25.00%,0
4,1511924403,packerbackerdale,0,118.85,P Robbie Ray P Wade Miley 2B Whit Merrifield 1B Rhys Hoskins OF Bryce Harper OF Jorge Soler C James McCann OF Kevin Pillar SS Freddy Galvis 3B Yuli Gurriel,,Aaron Nola,P,21.88%,29.55
5,1511883061,melmarco,0,117.25,P Wade Miley P John Means SS Adalberto Mondesi OF Whit Merrifield 3B Hunter Dozier OF Alex Gordon 1B Brandon Dixon 2B Hanser Alberto OF Keon Broxton C Danny Jansen,,Pablo L?pez,P,21.88%,18.5
6,1511885147,Pokrpro,0,114.1,P Aaron Nola P Wade Miley 1B Renato N??ez 3B Alex Bregman SS Trea Turner OF Michael Brantley 2B Hanser Alberto OF Derek Fisher C Robinson Chirinos OF Garrett Cooper,,Walker Buehler,P,18.75%,8.45
7,1511894734,eadbaby,3,109.5,P Blake Snell P Kyle Hendricks 3B Nolan Arenado OF Kris Bryant OF Austin Riley 1B Yuli Gurriel OF Randal Grichuk SS Brandon Crawford 2B Starlin Castro C Will Smith,,Hanser Alberto,2B,18.75%,3
8,1511920152,billftball,3,105.8,P Robbie Ray P Pablo L?pez SS Javier B?ez 3B Alex Bregman 2B Max Muncy 1B Pablo Sandoval OF Bryce Harper OF Kevin Kiermaier OF Michael Brantley C Robinson Chirinos,,Wade Miley,P,18.75%,25.55
9,1511923377,Tippi,0,104.65,P Robbie Ray P Reynaldo L?pez 3B Eduardo Escobar OF Austin Meadows 1B Renato N??ez OF Avisa?l Garc?a OF Austin Riley C Jorge Alfaro SS Addison Russell 2B Lourdes Gurriel Jr.,,Alex Gordon,OF,15.63%,8
10,1511876355,Uncle_Brian,3,104,P Walker Buehler P Aaron Nola 3B Eduardo Escobar OF Victor Robles SS Corey Seager OF JaCoby Jones C Jorge Alfaro OF Harold Ram?rez 2B Lourdes Gurriel Jr. 1B Garrett Cooper,,Alex Bregman,3B,15.63%,7
11,1511888316,OzzieCuna,0,103.8,P Robbie Ray P Pablo L?pez 1B Freddie Freeman OF Ronald Acu?a Jr. SS Trea Turner OF Jorge Soler 2B Ozzie Albies 3B Josh Donaldson OF Adam Eaton C Jorge Alfaro,,Michael Brantley,OF,15.63%,10
12,1511879816,ndesmarais15,0,100.05,P Blake Snell P Reynaldo L?pez 3B Yo?n Moncada SS Trea Turner C James McCann 2B Leury Garc?a OF Raimel Tapia OF Keon Broxton OF Eloy Jim?nez 1B Yonder Alonso,,Robinson Chirinos,C,15.63%,2
13,1511880759,Kyle24Williams,15,99.55,P Walker Buehler P Noah Syndergaard 1B Kevin Cron 2B Ildemaro Vargas SS Corey Seager OF Ian Desmond OF Eloy Jim?nez OF Matt Beaty 3B Todd Frazier C Will Smith,,Yuli Gurriel,1B,15.63%,0
14,1511890022,Miceli0615,6,94.2,P Blake Snell P Pablo L?pez 1B Freddie Freeman SS Trevor Story OF Nicholas Castellanos 3B Hanser Alberto OF Alex Verdugo OF Niko Goodrum 2B Nicky Lopez C Will Smith,,Eduardo Escobar,3B,12.50%,0
15,1511887907,duma1300,0,83.05,P Aaron Nola P Pablo L?pez 3B Nolan Arenado OF Ronald Acu?a Jr. 2B Jonathan Villar OF Raimel Tapia C Tyler Flowers 1B Niko Goodrum OF Kyle Schwarber SS Addison Russell,,Garrett Cooper,1B,12.50%,2
16,1511901424,lajamesdaking,0,82.4,P Wade Miley P Glenn Sparkman 1B Anthony Rizzo 2B Whit Merrifield SS Trevor Story OF Trey Mancini OF Alex Gordon C Chris Iannetta OF Lourdes Gurriel Jr. 3B Yuli Gurriel,,Reynaldo L?pez,P,12.50%,0.35
17,1511888124,Mrbronco07,0,82,P Walker Buehler P Wade Miley OF Alex Gordon 3B Alex Bregman OF Michael Brantley 1B Paul Goldschmidt C Tyler Flowers 2B Joe Panik SS Eric Sogard OF Josh Reddick,,Trea Turner,SS,12.50%,23
18,1511895884,MIKET777,0,80.25,P Blake Snell P Aaron Nola OF Austin Meadows OF Niko Goodrum 2B Joe Panik C Robinson Chirinos SS Willy Adames OF Harold Ram?rez 1B Yuli Gurriel 3B Mart?n Prado,,James McCann,C,12.50%,9
19,1511906049,showtime_lezz17,0,80.2,P Blake Snell P Pablo L?pez 3B Nolan Arenado 2B Hanser Alberto 1B Paul Goldschmidt OF DJ Stewart OF Keon Broxton OF Ian Desmond C Austin Wynns SS Richie Martin,,Keon Broxton,OF,12.50%,14
20,1511885262,torkelson,3,76.3,P Glenn Sparkman P Ryan Carpenter OF Ketel Marte 3B Anthony Rendon OF Joc Pederson 1B Hunter Dozier OF Juan Soto SS Javier B?ez 2B Leury Garc?a C Yadier Molina,,Will Smith,C,12.50%,0
21,1511907122,djclue000,3,74.75,P Walker Buehler P Robbie Ray 1B Anthony Rizzo OF Trey Mancini OF Tommy Pham C Carson Kelly OF Raimel Tapia SS Amed Rosario 3B Mart?n Prado 2B Starlin Castro,,Starlin Castro,2B,12.50%,12
22,1511893715,m_d2005,0,72.95,P Blake Snell P Kevin Gausman SS Trevor Story OF Avisa?l Garc?a 3B Ildemaro Vargas OF Ian Desmond 1B Mark Reynolds OF Austin Dean C Mart?n Maldonado 2B Starlin Castro,,John Means,P,12.50%,23.7
23,1511923130,Rock_G,0,72.85,P Trent Thornton P Reynaldo L?pez 1B Howie Kendrick OF Marcell Ozuna OF Alex Gordon 3B Alex Bregman SS Nick Ahmed C James McCann 2B Hanser Alberto OF Garrett Cooper,,Javier B?ez,SS,12.50%,5
