P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
13082354,13082135,13082260,13082426,13082230,13082199,13082202,13082151,13082256,13082222,,1. Locate the player you want to select in the list below ,,,,,,,,
13082354,13082135,13082260,13082426,13082308,13082215,13082202,13082151,13082256,13082451,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13082354,13082135,13082260,13082228,13082308,13082199,13082445,13082151,13082256,13082108,,3. Paste the ID into the roster position desired ,,,,,,,,
13082342,13082135,13082260,13082426,13082230,13082215,13082202,13082151,13082256,13082406,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13082354,13082135,13082183,13082237,13082308,13082199,13082202,13082151,13082256,13082108,,5. You can create up to 500 lineups per file ,,,,,,,,
13082354,13082294,13082183,13082228,13082308,13082199,13082338,13082274,13082151,13082108,,,,,,,,,,
13082294,13082135,13082183,13082268,13082308,13082137,13082371,13082151,13082406,13082434,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13082342,13082294,13082461,13082268,13082308,13082137,13082371,13082274,13082151,13082406,,SP,Max Scherzer (13082131),Max Scherzer,13082131,P,12800,WAS@SF 08/05/2019 09:45PM ET,WAS,26.68
13082342,13082135,13082260,13082268,13082230,13082137,13082202,13082256,13082406,13082451,,SP,Stephen Strasburg (13082203),Stephen Strasburg,13082203,P,11600,WAS@SF 08/05/2019 09:45PM ET,WAS,21.42
13082342,13082294,13082373,13082228,13082308,13082199,13082338,13082274,13082151,13082406,,SP,Walker Buehler (13082380),Walker Buehler,13082380,P,10900,STL@LAD 08/05/2019 10:10PM ET,LAD,22.41
13082342,13082135,13082461,13082268,13082230,13082137,13082371,13082151,13082256,13082406,,SP,Patrick Corbin (13082205),Patrick Corbin,13082205,P,10800,WAS@SF 08/05/2019 09:45PM ET,WAS,20.82
13082354,13082135,13082260,13082426,13082308,13082199,13082202,13082256,13082226,13082488,,SP,Clayton Kershaw (13082130),Clayton Kershaw,13082130,P,10700,STL@LAD 08/05/2019 10:10PM ET,LAD,21.27
13082342,13082259,13082260,13082426,13082230,13082137,13082202,13082274,13082256,13082406,,SP,Robbie Ray (13082270),Robbie Ray,13082270,P,10400,PHI@ARI 08/05/2019 09:40PM ET,ARI,19.64
13082354,13082135,13082260,13082211,13082230,13082199,13082202,13082256,13082226,13082451,,SP,Rich Hill (13082102),Rich Hill,13082102,P,10300,STL@LAD 08/05/2019 10:10PM ET,LAD,19.06
13082354,13082342,13082260,13082237,13082308,13082199,13082338,13082151,13082256,13082108,,SP,Aaron Nola (13082341),Aaron Nola,13082341,P,10100,PHI@ARI 08/05/2019 09:40PM ET,PHI,19.09
13082354,13082135,13082373,13082228,13082308,13082199,13082202,13082151,13082256,13082226,,SP,Carlos Martinez (13082255),Carlos Martinez,13082255,P,9700,STL@LAD 08/05/2019 10:10PM ET,STL,3.35
13082294,13082135,13082461,13082268,13082308,13082137,13082371,13082116,13082226,13082406,,SP,Alex Reyes (13082420),Alex Reyes,13082420,P,9200,STL@LAD 08/05/2019 10:10PM ET,STL,-1.51
13082354,13082342,13082260,13082426,13082308,13082199,13082202,13082274,13082256,13082451,,SP,Taylor Widener (13082498),Taylor Widener,13082498,P,8700,PHI@ARI 08/05/2019 09:40PM ET,ARI,0
13082294,13082135,13082461,13082231,13082308,13082137,13082371,13082423,13082151,13082406,,SP,Johnny Cueto (13082125),Johnny Cueto,13082125,P,8700,WAS@SF 08/05/2019 09:45PM ET,SF,0
13082354,13082294,13082373,13082237,13082308,13082199,13082338,13082274,13082151,13082482,,SP,Jeff Samardzija (13082135),Jeff Samardzija,13082135,P,8700,WAS@SF 08/05/2019 09:45PM ET,SF,15.05
,,,,,,,,,,,SP,Mike Leake (13082138),Mike Leake,13082138,P,8600,PHI@ARI 08/05/2019 09:40PM ET,ARI,14.37
,,,,,,,,,,,SP,Jack Flaherty (13082433),Jack Flaherty,13082433,P,8600,STL@LAD 08/05/2019 10:10PM ET,STL,14.66
,,,,,,,,,,,SP,Yadier Alvarez (13082457),Yadier Alvarez,13082457,P,8600,STL@LAD 08/05/2019 10:10PM ET,LAD,0
,,,,,,,,,,,SP,Luke Weaver (13082343),Luke Weaver,13082343,P,8500,PHI@ARI 08/05/2019 09:40PM ET,ARI,17.25
