P,P,C,1B,2B,3B,SS,OF,OF,OF,Proj_pts
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Marcell Ozuna,96.16999999999999
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Matt Carpenter,Jean Segura,David Peralta,Bryce Harper,Scott Kingery,95.7
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Jake Lamb,Ketel Marte,Eduardo Escobar,Paul DeJong,David Peralta,Bryce Harper,Adam Jones,95.63
Erick Fedde,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Matt Carpenter,Jean Segura,David Peralta,Bryce Harper,Cody Bellinger,95.20999999999998
Michael Wacha,Jeff Samardzija,Buster Posey,Christian Walker,Ketel Marte,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Adam Jones,95.14999999999998
Michael Wacha,Merrill Kelly,Buster Posey,Jake Lamb,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Adam Jones,95.03999999999999
Merrill Kelly,Jeff Samardzija,Buster Posey,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,David Peralta,Cody Bellinger,Alex Verdugo,94.89999999999998
Erick Fedde,Merrill Kelly,Will Smith,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,Adam Eaton,David Peralta,Cody Bellinger,94.67999999999998
Erick Fedde,Jeff Samardzija,J.T. Realmuto,Joc Pederson,Cesar Hernandez,Justin Turner,Jean Segura,Bryce Harper,Cody Bellinger,Scott Kingery,94.59
Erick Fedde,Merrill Kelly,Carson Kelly,Jake Lamb,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Cody Bellinger,94.58000000000001
Erick Fedde,Jeff Samardzija,Will Smith,Joc Pederson,Cesar Hernandez,Justin Turner,Corey Seager,David Peralta,Bryce Harper,Cody Bellinger,94.50999999999999
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Eduardo Escobar,Jean Segura,Bryce Harper,Mike Yastrzemski,Adam Haseley,94.44
Erick Fedde,Vincent Velasquez,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Justin Turner,Jean Segura,Adam Eaton,Bryce Harper,Cody Bellinger,94.39999999999998
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Paul Goldschmidt,Cesar Hernandez,Eduardo Escobar,Jean Segura,Bryce Harper,Mike Yastrzemski,Scott Kingery,94.36999999999999
Michael Wacha,Erick Fedde,J.T. Realmuto,Christian Walker,Ketel Marte,Eduardo Escobar,Trea Turner,David Peralta,Bryce Harper,Adam Jones,94.34
Michael Wacha,Jeff Samardzija,Carson Kelly,Jake Lamb,Ketel Marte,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Mike Yastrzemski,94.32
Merrill Kelly,Jeff Samardzija,Will Smith,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,Dexter Fowler,Mike Yastrzemski,Cody Bellinger,94.28
Michael Wacha,Erick Fedde,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Eduardo Escobar,Jean Segura,Adam Eaton,Bryce Harper,Scott Kingery,94.27999999999999
Merrill Kelly,Jeff Samardzija,Will Smith,Max Muncy,Ketel Marte,Justin Turner,Corey Seager,Steven Duggar,David Peralta,Cody Bellinger,94.25999999999999
Michael Wacha,Merrill Kelly,Carson Kelly,Christian Walker,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Juan Soto,94.21999999999998
