P,P,C,1B,2B,3B,SS,OF,OF,OF
Wade LeBlanc,Clayton Kershaw,J.T. Realmuto,Rhys Hoskins,Scooter Gennett,Evan Longoria,Jean Segura,David Peralta,Bryce Harper,Adam Haseley
Wade LeBlanc,Clayton Kershaw,J.T. Realmuto,Brandon Belt,Cesar Hernandez,Eduardo Escobar,Jean Segura,Bryce Harper,Mallex Smith,Adam Haseley
Wade LeBlanc,Clayton Kershaw,Alex Avila,Brandon Belt,Scooter Gennett,Eduardo Escobar,Nick Ahmed,David Peralta,Bryce Harper,Jarrod Dyson
Wade LeBlanc,Clayton Kershaw,Stephen Vogt,Brandon Belt,Scooter Gennett,Evan Longoria,Corey Seager,David Peralta,Bryce Harper,Mike Yastrzemski
Wade LeBlanc,Dinelson Lamet,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Cody Bellinger
Wade LeBlanc,Clayton Kershaw,Omar Narvaez,Rhys Hoskins,Cesar Hernandez,Kyle Seager,Jean Segura,Bryce Harper,Jarrod Dyson,Adam Haseley
Wade LeBlanc,Clayton Kershaw,Omar Narvaez,Joc Pederson,Kristopher Negron,Justin Turner,Corey Seager,Bryce Harper,Keon Broxton,Cody Bellinger
Wade LeBlanc,Clayton Kershaw,Omar Narvaez,Brandon Belt,Scooter Gennett,Evan Longoria,Brandon Crawford,Jarrod Dyson,Mike Yastrzemski,Cody Bellinger
Wade LeBlanc,Clayton Kershaw,Alex Avila,Jake Lamb,Kristopher Negron,Eduardo Escobar,Corey Seager,David Peralta,Jarrod Dyson,Mallex Smith
Wade LeBlanc,Clayton Kershaw,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Justin Turner,Corey Seager,Bryce Harper,Adam Haseley,Keon Broxton
Wade LeBlanc,Clayton Kershaw,Buster Posey,Joc Pederson,Cesar Hernandez,Evan Longoria,Jean Segura,Bryce Harper,Adam Haseley,Corey Dickerson
Wade LeBlanc,Clayton Kershaw,Kurt Suzuki,Joc Pederson,Brian Dozier,Anthony Rendon,Trea Turner,David Peralta,Mallex Smith,Victor Robles
Wade LeBlanc,Clayton Kershaw,Omar Narvaez,Jake Lamb,Cesar Hernandez,Eduardo Escobar,Nick Ahmed,David Peralta,Jarrod Dyson,Keon Broxton
Jake Arrieta,Clayton Kershaw,J.T. Realmuto,Rhys Hoskins,Luis Urias,Justin Turner,Jean Segura,Bryce Harper,Wil Myers,Adam Haseley
Wade LeBlanc,Clayton Kershaw,Will Smith,Max Muncy,Kristopher Negron,Justin Turner,Corey Seager,David Peralta,Bryce Harper,Adam Haseley
Wade LeBlanc,Clayton Kershaw,Stephen Vogt,Brandon Belt,Scooter Gennett,Eduardo Escobar,Brandon Crawford,Bryce Harper,Cody Bellinger,Kevin Pillar
Wade LeBlanc,Clayton Kershaw,Omar Narvaez,Daniel Vogelbach,Cesar Hernandez,Eduardo Escobar,J.P. Crawford,Bryce Harper,Mallex Smith,Domingo Santana
Clayton Kershaw,Dinelson Lamet,Austin Hedges,Joc Pederson,Luis Urias,Evan Longoria,Manny Machado,David Peralta,Wil Myers,Josh Naylor
Wade LeBlanc,Clayton Kershaw,J.T. Realmuto,Max Muncy,Scooter Gennett,Evan Longoria,Brandon Crawford,Bryce Harper,Mike Yastrzemski,Kevin Pillar
Wade LeBlanc,Dinelson Lamet,J.T. Realmuto,Max Muncy,Cesar Hernandez,Anthony Rendon,Jean Segura,Bryce Harper,Jarrod Dyson,Corey Dickerson
