P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
13097190,13097230,13097197,13097283,13097267,13097153,13097151,13097212,13097218,13097182,,1. Locate the player you want to select in the list below ,,,,,,,,
13097230,13097128,13097279,13097137,13097286,13097153,13097183,13097212,13097097,13097312,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13097190,13097128,13097131,13097124,13097158,13097153,13097215,13097163,13097097,13097208,,3. Paste the ID into the roster position desired ,,,,,,,,
13097190,13097128,13097138,13097125,13097267,13097117,13097144,13097212,13097097,13097143,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13097271,13097128,13097279,13097137,13097158,13097117,13097334,13097154,13097163,13097195,,5. You can create up to 500 lineups per file ,,,,,,,,
13097190,13097271,13097131,13097109,13097158,13097117,13097151,13097182,13097093,13097301,,,,,,,,,,
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Aaron Nola (13097230),Aaron Nola,13097230,P,10600,PHI@SF 08/08/2019 09:45PM ET,PHI,19.09
,,,,,,,,,,,SP,Garrett Richards (13097152),Garrett Richards,13097152,P,9900,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Chris Paddack (13097317),Chris Paddack,13097317,P,9600,COL@SD 08/08/2019 10:10PM ET,SD,18.26
,,,,,,,,,,,SP,German Marquez (13097236),German Marquez,13097236,P,9300,COL@SD 08/08/2019 10:10PM ET,COL,16.18
,,,,,,,,,,,SP,Johnny Cueto (13097116),Johnny Cueto,13097116,P,8700,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,Jeff Samardzija (13097121),Jeff Samardzija,13097121,P,8700,PHI@SF 08/08/2019 09:45PM ET,SF,14.8
,,,,,,,,,,,SP,Joey Lucchesi (13097330),Joey Lucchesi,13097330,P,8600,COL@SD 08/08/2019 10:10PM ET,SD,15.47
,,,,,,,,,,,SP,Dinelson Lamet (13097300),Dinelson Lamet,13097300,P,8500,COL@SD 08/08/2019 10:10PM ET,SD,17.68
,,,,,,,,,,,SP,Madison Bumgarner (13097128),Madison Bumgarner,13097128,P,8400,PHI@SF 08/08/2019 09:45PM ET,SF,16.72
,,,,,,,,,,,SP,Jacob Nix (13097289),Jacob Nix,13097289,P,8300,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Jon Gray (13097190),Jon Gray,13097190,P,8200,COL@SD 08/08/2019 10:10PM ET,COL,15.48
,,,,,,,,,,,SP,Brett Kennedy (13097318),Brett Kennedy,13097318,P,8100,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Zach Eflin (13097243),Zach Eflin,13097243,P,8100,PHI@SF 08/08/2019 09:45PM ET,PHI,12.08
,,,,,,,,,,,SP,Jason Vargas (13097106),Jason Vargas,13097106,P,8000,PHI@SF 08/08/2019 09:45PM ET,PHI,12.53
,,,,,,,,,,,SP,JoJo Romero (13097328),JoJo Romero,13097328,P,7900,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,SP,Pedro Avila (13097304),Pedro Avila,13097304,P,7800,COL@SD 08/08/2019 10:10PM ET,SD,15.8
,,,,,,,,,,,SP,Vince Velasquez (13097186),Vince Velasquez,13097186,P,7800,PHI@SF 08/08/2019 09:45PM ET,PHI,9.18
,,,,,,,,,,,SP,Adonis Medina (13097299),Adonis Medina,13097299,P,7600,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,SP,Andrew Suarez (13097226),Andrew Suarez,13097226,P,7300,PHI@SF 08/08/2019 09:45PM ET,SF,2.56
,,,,,,,,,,,RP,Sam Coonrod (13097285),Sam Coonrod,13097285,P,7300,PHI@SF 08/08/2019 09:45PM ET,SF,3.27
,,,,,,,,,,,SP,Conner Menez (13097331),Conner Menez,13097331,P,7200,PHI@SF 08/08/2019 09:45PM ET,SF,11.18
,,,,,,,,,,,SP,Rico Garcia (13097332),Rico Garcia,13097332,P,7100,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,SP,Jerad Eickhoff (13097201),Jerad Eickhoff,13097201,P,7100,PHI@SF 08/08/2019 09:45PM ET,PHI,10.37
,,,,,,,,,,,SP,Ranger Suarez (13097259),Ranger Suarez,13097259,P,7100,PHI@SF 08/08/2019 09:45PM ET,PHI,4.12
,,,,,,,,,,,SP,Dietrich Enns (13097209),Dietrich Enns,13097209,P,7000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Logan Webb (13097288),Logan Webb,13097288,P,7000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,Enyel De Los Santos (13097324),Enyel De Los Santos,13097324,P,7000,PHI@SF 08/08/2019 09:45PM ET,PHI,2.79
,,,,,,,,,,,SP,Matt Strahm (13097253),Matt Strahm,13097253,P,6900,COL@SD 08/08/2019 10:10PM ET,SD,9.39
,,,,,,,,,,,SP,Tyler Beede (13097219),Tyler Beede,13097219,P,6900,PHI@SF 08/08/2019 09:45PM ET,SF,9.7
,,,,,,,,,,,SP,Robbie Erlin (13097155),Robbie Erlin,13097155,P,6800,COL@SD 08/08/2019 10:10PM ET,SD,3.35
,,,,,,,,,,,SP,Phil Hughes (13097101),Phil Hughes,13097101,P,6700,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Eric Lauer (13097271),Eric Lauer,13097271,P,6700,COL@SD 08/08/2019 10:10PM ET,SD,11.66
,,,,,,,,,,,SP,Drew Smyly (13097188),Drew Smyly,13097188,P,6600,PHI@SF 08/08/2019 09:45PM ET,PHI,8.19
,,,,,,,,,,,SP,Cal Quantrill (13097273),Cal Quantrill,13097273,P,6400,COL@SD 08/08/2019 10:10PM ET,SD,11
,,,,,,,,,,,SP,Adrian Morejon (13097336),Adrian Morejon,13097336,P,6400,COL@SD 08/08/2019 10:10PM ET,SD,1.44
,,,,,,,,,,,SP,Bryan Mitchell (13097157),Bryan Mitchell,13097157,P,6300,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Tyler Anderson (13097207),Tyler Anderson,13097207,P,6300,COL@SD 08/08/2019 10:10PM ET,COL,2.42
,,,,,,,,,,,SP,Nick Margevicius (13097337),Nick Margevicius,13097337,P,6300,COL@SD 08/08/2019 10:10PM ET,SD,6.32
,,,,,,,,,,,SP,Jake Arrieta (13097130),Jake Arrieta,13097130,P,6200,PHI@SF 08/08/2019 09:45PM ET,PHI,12.66
,,,,,,,,,,,SP,Garrett Williams (13097276),Garrett Williams,13097276,P,6000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,Chad Bettis (13097134),Chad Bettis,13097134,P,5800,COL@SD 08/08/2019 10:10PM ET,COL,2.2
,,,,,,,,,,,SP,Kyle Freeland (13097231),Kyle Freeland,13097231,P,5800,COL@SD 08/08/2019 10:10PM ET,COL,6.95
,,,,,,,,,,,OF,Charlie Blackmon (13097143),Charlie Blackmon,13097143,OF,5700,COL@SD 08/08/2019 10:10PM ET,COL,10.62
,,,,,,,,,,,RP,Will Smith (13097146),Will Smith,13097146,P,5700,PHI@SF 08/08/2019 09:45PM ET,SF,4.3
,,,,,,,,,,,SP,Nick Pivetta (13097270),Nick Pivetta,13097270,P,5600,PHI@SF 08/08/2019 09:45PM ET,PHI,9.6
