Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Vincent Velasquez,7400.00,PHI,SP,SFG,16.06,2.17
Rick Porcello,7500.00,BOS,SP,LAA,14.62,1.95
Mike Soroka,10400.00,ATL,SP,MIA,20.23,1.95
Chad Green,4300.00,NYY,SP,TOR,8.29,1.93
Spencer Turnbull,8000.00,DET,SP,KCR,13.46,1.68
Jacob Waguespack,6700.00,TOR,SP,NYY,10.69,1.6
Andrew Heaney,7600.00,LAA,SP,BOS,11.78,1.55
Sandy Alcantara,6500.00,MIA,SP,ATL,9.98,1.54
Jeff Samardzija,9200.00,SFG,SP,PHI,13.58,1.48
Mike Montgomery,5000.00,KCR,SP,DET,7.02,1.4
Wilmer Font,5700.00,TOR,SP,NYY,5.11,0.9
