Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1569445028,TakeoverTarget (8/20),3,206.2,P Jacob deGrom P Jordan Lyles OF Marcell Ozuna 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Paul Goldschmidt SS Paul DeJong OF Chris Owings C Nick Dini,,Mike Foltynewicz,P,39.70%,17.5
2,1569449611,drgonballs (2/20),2,200.15,P Justin Verlander P Mike Foltynewicz 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Paul Goldschmidt OF José Martínez OF Greg Allen SS José Peraza C John Hicks,,Chris Owings,2B,33.81%,0
3,1569434628,Drock2888 (6/20),5,192.95,P Justin Verlander P Héctor Noesí OF Jorge Soler 3B Hunter Dozier 1B Paul Goldschmidt OF Nick Senzel SS Paul DeJong 2B Tommy Edman OF José Martínez C Andrew Knizner,,Nick Dini,C,30.28%,0
4,1569414021,Jcatram1 (1/3),0,192.65,P Luis Castillo P Jon Lester SS Bo Bichette OF Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Matt Olson 2B Starlin Castro OF Eloy Jiménez C Jeff Mathis,,Justin Verlander,P,30.19%,18.65
5,1569445029,TakeoverTarget (9/20),0,190.85,P Jakob Junis P Jordan Lyles OF Mike Trout SS Alex Bregman 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Matt Olson OF Alex Gordon C Nick Dini,,Alex Bregman,SS,27.75%,8
6,1569423182,BullDozier (5/20),0,187.8,P Mike Foltynewicz P Héctor Noesí 2B Jose Altuve SS Carlos Correa OF Michael Brantley OF Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Aledmys Díaz C Robinson Chirinos,,Yordan Alvarez,OF,22.37%,8
7,1569449645,drgonballs (13/20),3,186.15,P Mike Minor P Chris Bassitt 3B Eugenio Suárez SS Elvis Andrus OF Bryan Reynolds OF Kyle Schwarber 1B Paul Goldschmidt OF Ian Happ 2B Adam Frazier C Max Stassi,,Aaron Judge,OF,21.95%,3
8,1569447262,jnic1313,1,177.45,P Chris Bassitt P Jakob Junis OF Ronald Acuña Jr. 2B Ozzie Albies OF Whit Merrifield OF Jorge Soler 3B J.D. Davis 1B Paul Goldschmidt SS Johan Camargo C Nick Dini,,Paul Goldschmidt,1B,19.93%,34
9,1569435249,EAG45,0,176.5,P Jakob Junis P Masahiro Tanaka OF Yordan Alvarez OF George Springer 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier SS Gleyber Torres 1B Cheslor Cuthbert C Nick Dini,,Michael Brantley,OF,19.18%,16
10,1569449615,drgonballs (6/20),1,176.15,P Jacob deGrom P Mike Foltynewicz 2B Whit Merrifield OF Jorge Soler C Christian Vázquez 1B Paul Goldschmidt OF Randal Grichuk 3B Cheslor Cuthbert OF Adam Eaton SS Humberto Arteaga,,J.D. Martinez,OF,19.09%,3
