"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"MLB","Classic",1569448580,"MLB $100 Dime Time [Just $0.10!] (1/5)",74970388,"2019-08-11 13:05:00",524,101.3,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1569457199,"MLB $100 Dime Time [Just $0.10!] (5/5)",74970388,"2019-08-11 13:05:00",712,88.3,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1569449624,"MLB $100 Dime Time [Just $0.10!] (3/5)",74970388,"2019-08-11 13:05:00",733,86.85,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1569457142,"MLB $100 Dime Time [Just $0.10!] (4/5)",74970388,"2019-08-11 13:05:00",761,84.3,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1569449602,"MLB $100 Dime Time [Just $0.10!] (2/5)",74970388,"2019-08-11 13:05:00",943,72.15,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430381,"MLB $100 Dime Time [Just $0.10!] (Early) (2/13)",74937840,"2019-08-10 15:07:00",39,140.6,"$0.30","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430387,"MLB $100 Dime Time [Just $0.10!] (Early) (8/13)",74937840,"2019-08-10 15:07:00",255,116.45,"$0.20","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430386,"MLB $100 Dime Time [Just $0.10!] (Early) (7/13)",74937840,"2019-08-10 15:07:00",338,109,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430390,"MLB $100 Dime Time [Just $0.10!] (Early) (11/13)",74937840,"2019-08-10 15:07:00",496,98.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430382,"MLB $100 Dime Time [Just $0.10!] (Early) (3/13)",74937840,"2019-08-10 15:07:00",641,89.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
