Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Ryan Court,2900.00,SEA,1B/OF,TBR,6.85,2.36,9,1
Tyler White,2400.00,LAD,1B,ARI,5.51,2.3,8,1
Jesus Aguilar,3500.00,TBR,1B,SEA,7.83,2.24,5,1
Luis Urias,2900.00,SDP,2B,COL,6.42,2.21,8,1
Wil Myers,4100.00,SDP,OF,COL,8.94,2.18,2,1
A.J. Pollock,3700.00,LAD,OF,ARI,8.02,2.17,1,1
Manny Machado,4400.00,SDP,3B/SS,COL,9.17,2.08,3,1
Tommy Pham,4300.00,TBR,OF,SEA,8.89,2.07,2,1
Rhys Hoskins,4400.00,PHI,1B,SFG,8.95,2.03,2,1
Kristopher Negron,3000.00,LAD,OF,ARI,6.02,2.01,5,1
Bryce Harper,4500.00,PHI,OF,SFG,9.05,2.01,1,1
Evan Longoria,4000.00,SFG,3B,PHI,7.92,1.98,3,1
Matt Duffy,3400.00,TBR,3B,SEA,6.65,1.96,6,1
Jean Segura,4200.00,PHI,SS,SFG,8.13,1.94,4,1
Will Smith,3700.00,LAD,C,ARI,7.07,1.91,3,1
Kevin Pillar,3900.00,SFG,OF,PHI,7.41,1.9,6,1
J.T. Realmuto,4300.00,PHI,C,SFG,8,1.86,5,1
Tom Murphy,3700.00,SEA,C,TBR,6.88,1.86,5,1
Corey Seager,3600.00,LAD,SS,ARI,6.67,1.85,7,1
Buster Posey,3800.00,SFG,C,PHI,6.99,1.84,4,1
Daniel Murphy,4400.00,COL,1B,SDP,8.09,1.84,3,1
Donovan Solano,4100.00,SFG,2B/SS,PHI,7.49,1.83,1,1
Jarrod Dyson,4000.00,ARI,OF,LAD,7.28,1.82,1,1
Francisco Mejia,3600.00,SDP,C,COL,6.39,1.78,6,1
Brandon Crawford,3300.00,SFG,SS,PHI,5.89,1.78,7,1
Domingo Santana,4300.00,SEA,OF,TBR,7.67,1.78,3,1
Charlie Blackmon,5500.00,COL,OF,SDP,9.64,1.75,1,1
Tony Wolters,3100.00,COL,C,SDP,5.36,1.73,8,1
Fernando Tatis,5600.00,SDP,SS,COL,9.69,1.73,1,1
Jake Lamb,3400.00,ARI,1B/3B,LAD,5.86,1.72,6,1
Adam Haseley,3700.00,PHI,OF,SFG,6.32,1.71,8,1
Daniel Vogelbach,4200.00,SEA,1B,TBR,7.14,1.7,4,1
Ryan McMahon,4300.00,COL,2B,SDP,7.29,1.7,5,1
Justin Turner,4100.00,LAD,3B,ARI,6.82,1.66,2,1
Max Muncy,4200.00,LAD,1B/2B,ARI,6.94,1.65,6,1
Mallex Smith,4100.00,SEA,OF,TBR,6.78,1.65,1,1
Hunter Renfroe,4500.00,SDP,OF,COL,7.39,1.64,4,1
Manuel Margot,4000.00,SDP,OF,COL,6.57,1.64,7,1
Travis d'Arnaud,4400.00,TBR,1B/C,SEA,7.18,1.63,1,1
Avisail Garcia,4100.00,TBR,OF,SEA,6.69,1.63,4,1
Austin Nola,3800.00,SEA,1B/2B,TBR,6.15,1.62,7,1
Michael Brosseau,3900.00,TBR,2B/3B,SEA,6.32,1.62,8,1
Christian Walker,3800.00,ARI,1B,LAD,6.12,1.61,5,1
Cesar Hernandez,3700.00,PHI,2B,SFG,5.93,1.6,6,1
Eduardo Escobar,4400.00,ARI,2B/3B,LAD,7.03,1.6,3,1
Trevor Story,5500.00,COL,SS,SDP,8.68,1.58,2,1
Corey Dickerson,4800.00,PHI,OF,SFG,7.48,1.56,3,1
Timothy Lopes,3400.00,SEA,2B/OF,TBR,5.27,1.55,8,1
Nolan Arenado,4900.00,COL,3B,SDP,7.53,1.54,4,1
David Peralta,3800.00,ARI,OF,LAD,5.85,1.54,4,1
Stephen Vogt,4000.00,SFG,C,PHI,6.02,1.51,5,1
J.P. Crawford,3800.00,SEA,SS,TBR,5.75,1.51,2,1
Joey Rickard,3800.00,SFG,OF,PHI,5.66,1.49,8,1
Austin Slater,3900.00,SFG,OF,PHI,5.78,1.48,2,1
Nick Ahmed,3400.00,ARI,SS,LAD,5.02,1.48,7,1
Austin Meadows,4800.00,TBR,OF,SEA,7.06,1.47,3,1
Ian Desmond,4200.00,COL,OF,SDP,6.14,1.46,7,1
Kevin Kiermaier,3900.00,TBR,OF,SEA,5.61,1.44,7,1
Raimel Tapia,4000.00,COL,OF,SDP,5.67,1.42,6,1
Ketel Marte,4600.00,ARI,2B/OF,LAD,6.53,1.42,2,1
Cody Bellinger,5400.00,LAD,OF,ARI,7.64,1.41,4,1
Kyle Seager,4000.00,SEA,3B,TBR,5.61,1.4,6,1
Scott Kingery,4500.00,PHI,3B/OF,SFG,6.22,1.38,7,1
Carson Kelly,3700.00,ARI,C,LAD,4.93,1.33,8,1
Eric Hosmer,4500.00,SDP,1B,COL,5.84,1.3,5,1
Willy Adames,3800.00,TBR,SS,SEA,4.73,1.24,9,1
