Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Clayton Kershaw,11600.00,LAD,SP,TBR,21.03,1.81
Tyler Glasnow,10800.00,TBR,SP,LAD,16.16,1.5
Yandy Diaz,5000.00,TBR,1B/3B,LAD,6.63,1.33,1,1
Joc Pederson,5600.00,LAD,OF,TBR,6.18,1.1,8,1
Hunter Renfroe,6200.00,TBR,OF,LAD,6.36,1.03,5,1
Kevin Kiermaier,5200.00,TBR,OF,LAD,5.19,1,8,1
Austin Barnes,4800.00,LAD,C,TBR,4.62,0.96,9,1
Will Smith,8200.00,LAD,C,TBR,7.05,0.86,5,1
Cody Bellinger,8800.00,LAD,OF,TBR,7.38,0.84,6,1
Mookie Betts,9800.00,LAD,OF,TBR,7.92,0.81,1,1
Brandon Lowe,8400.00,TBR,2B,LAD,6.56,0.78,3,1
Max Muncy,9000.00,LAD,1B,TBR,6.93,0.77,4,1
Manuel Margot,7400.00,TBR,OF,LAD,5.65,0.76,4,1
Justin Turner,8600.00,LAD,3B,TBR,6.43,0.75,3,1
Willy Adames,6800.00,TBR,SS,LAD,5.11,0.75,7,1
Chris Taylor,7800.00,LAD,2B,TBR,5.66,0.73,7,1
Corey Seager,9600.00,LAD,SS,TBR,6.68,0.7,2,1
Mike Zunino,6400.00,TBR,C,LAD,4.32,0.68,9,1
Randy Arozarena,9200.00,TBR,OF,LAD,5.69,0.62,2,1
Joey Wendle,8000.00,TBR,3B,LAD,4.77,0.6,6,1
