Date,Name,Concat,Projected Fantasy Points,Salary
5/24/2020,Aric Almirola,2020-05-24Aric Almirola,29.4,7500
5/24/2020,Clint Bowyer,2020-05-24Clint Bowyer,35.6,8300
5/24/2020,Kurt Busch,2020-05-24Kurt Busch,33.7,8700
5/24/2020,Kyle Busch,2020-05-24Kyle Busch,30.6,11500
5/24/2020,Denny Hamlin,2020-05-24Denny Hamlin,47.6,10800
5/24/2020,Kevin Harvick,2020-05-24Kevin Harvick,63.6,11200
5/24/2020,Jimmie Johnson,2020-05-24Jimmie Johnson,31.1,9200
5/24/2020,Matt Kenseth,2020-05-24Matt Kenseth,17,7700
5/24/2020,Brad Keselowski,2020-05-24Brad Keselowski,41.3,10300
5/24/2020,Ryan Newman,2020-05-24Ryan Newman,37.7,6500
5/24/2020,Martin Truex Jr,2020-05-24Martin Truex Jr,29.4,10600
5/24/2020,JJ Yeley,2020-05-24JJ Yeley,20,4700
5/24/2020,Michael McDowell,2020-05-24Michael McDowell,26.6,5600
5/24/2020,Joey Logano,2020-05-24Joey Logano,42.6,10000
5/24/2020,Austin Dillon,2020-05-24Austin Dillon,35,7000
5/24/2020,Ricky Stenhouse Jr,2020-05-24Ricky Stenhouse Jr,25.2,7400
5/24/2020,Matt DiBenedetto,2020-05-24Matt DiBenedetto,33.4,7200
5/24/2020,BJ McLeod,2020-05-24BJ McLeod,12,5000
5/24/2020,Timmy Hill,2020-05-24Timmy Hill,14.6,5100
5/24/2020,Chris Buescher,2020-05-24Chris Buescher,32.3,6700
5/24/2020,Ross Chastain,2020-05-24Ross Chastain,24.6,6900
5/24/2020,Joey Gase,2020-05-24Joey Gase,20.2,4800
5/24/2020,Ty Dillon,2020-05-24Ty Dillon,29.1,5700
5/24/2020,Ryan Blaney,2020-05-24Ryan Blaney,30.8,8100
5/24/2020,Bubba Wallace,2020-05-24Bubba Wallace,33.3,5900
5/24/2020,Alex Bowman,2020-05-24Alex Bowman,40.1,9400
5/24/2020,Erik Jones,2020-05-24Erik Jones,37.6,8500
5/24/2020,Chase Elliott,2020-05-24Chase Elliott,42,9700
5/24/2020,Tyler Reddick,2020-05-24Tyler Reddick,33.2,7900
5/24/2020,Ryan Preece,2020-05-24Ryan Preece,8.4,6000
5/24/2020,John H. Nemechek,2020-05-24John H. Nemechek,28.1,6300
5/24/2020,Corey Lajoie,2020-05-24Corey Lajoie,27.3,5400
5/24/2020,Gray Gaulding,2020-05-24Gray Gaulding,8,4500
5/24/2020,Cole Custer,2020-05-24Cole Custer,19.3,6400
5/24/2020,Daniel Suarez,2020-05-24Daniel Suarez,23,6100
5/24/2020,Garrett Smithley,2020-05-24Garrett Smithley,7.9,4900
5/24/2020,Brennan Poole,2020-05-24Brennan Poole,20.9,5300
5/24/2020,Christopher Bell,2020-05-24Christopher Bell,18.6,6600
5/24/2020,William Byron,2020-05-24William Byron,24.8,9000
5/24/2020,Quin Houff,2020-05-24Quin Houff,12.3,4600
5/28/2020,Aric Almirola,2020-05-28Aric Almirola,32,7200
5/28/2020,Clint Bowyer,2020-05-28Clint Bowyer,29.9,11800
5/28/2020,Kurt Busch,2020-05-28Kurt Busch,35.9,9000
5/28/2020,Kyle Busch,2020-05-28Kyle Busch,32.8,10500
5/28/2020,Denny Hamlin,2020-05-28Denny Hamlin,43.6,11200
5/28/2020,Kevin Harvick,2020-05-28Kevin Harvick,62.6,9200
5/28/2020,Jimmie Johnson,2020-05-28Jimmie Johnson,33.3,12300
5/28/2020,Matt Kenseth,2020-05-28Matt Kenseth,9.5,8100
5/28/2020,Brad Keselowski,2020-05-28Brad Keselowski,44.8,10000
5/28/2020,Ryan Newman,2020-05-28Ryan Newman,32.6,7500
5/28/2020,Martin Truex Jr,2020-05-28Martin Truex Jr,35.9,9400
5/28/2020,JJ Yeley,2020-05-28JJ Yeley,17.4,4700
5/28/2020,Michael McDowell,2020-05-28Michael McDowell,27.5,4500
5/28/2020,Joey Logano,2020-05-28Joey Logano,41.5,8900
