Race,Date,Track Name,Laps,Track Length,Finishing Position,Starting Position,Driver,Car Brand,Laps Led,Qualifying Rank,Qualifying Time,Qualifying Speed,Practice Rank,Practice Time,Practice Speed,Pass Differential,Quality Passes,Driver Rating,Fastest Laps,Fantasy Points,Qualifying/Practice Rank
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,1,13,Jamie McMurray,Chevrolet,2,19,47.470   ,189.593   ,-1,-1,-1,-3,306,100.2,2,59.5,19
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,2,2,"Dale Earnhardt, Jr.",Chevrolet,4,2,47.142   ,190.913   ,-1,-1,-1,9,197,92.1,2,44,2
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,3,23,Greg Biffle,Ford,27,37,47.768   ,188.411   ,-1,-1,-1,-1,187,111,2,68.75,37
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,4,9,Clint Bowyer,Chevrolet,37,8,47.339   ,190.118   ,-1,-1,-1,-8,240,119.4,5,56.75,8
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,5,20,David Reutimann,Toyota,0,22,47.540   ,189.314   ,-1,-1,-1,7,179,80.5,2,55,22
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,6,14,"Martin Truex, Jr.",Toyota,3,33,47.688   ,188.727   ,-1,-1,-1,14,304,111,0,46.75,33
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,7,5,Kevin Harvick,Chevrolet,41,30,47.620   ,188.996   ,-1,-1,-1,13,284,125,3,46.75,30
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,8,24,Matt Kenseth,Ford,0,11,47.356   ,190.050   ,-1,-1,-1,35,31,66.7,6,55,11
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,9,27,Carl Edwards,Ford,0,26,47.570   ,189.195   ,-1,-1,-1,29,239,93.2,7,56.5,26
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,10,8,Juan Pablo Montoya,Chevrolet,2,5,47.267   ,190.408   ,-1,-1,-1,9,292,94.8,3,34,5
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,11,39,Jeff Burton,Chevrolet,0,31,47.653   ,188.865   ,-1,-1,-1,23,141,72.8,6,64,31
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,12,1,Mark Martin,Chevrolet,11,1,47.074   ,191.188   ,-1,-1,-1,-26,88,67.9,5,26.25,1
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,13,32,Paul Menard,Ford,0,23,47.545   ,189.294   ,-1,-1,-1,-18,39,66,5,52.5,23
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,14,7,Kyle Busch,Toyota,3,9,47.355   ,190.054   ,-1,-1,-1,6,260,96.3,10,28.75,9
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,15,22,Brian Vickers,Toyota,0,35,47.713   ,188.628   ,-1,-1,-1,19,191,71.3,4,38,35
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,16,19,David Ragan,Ford,2,24,47.548   ,189.282   ,-1,-1,-1,1,202,76.7,2,32.5,24
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,17,25,Denny Hamlin,Toyota,1,27,47.601   ,189.072   ,-1,-1,-1,8,123,68,5,37.75,27
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,18,43,Michael Waltrip,Toyota,0,20,47.505   ,189.454   ,-1,-1,-1,14,3,66.8,10,56,20
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,19,30,Scott Speed,Toyota,12,13,47.379   ,189.958   ,-1,-1,-1,-20,34,73.8,3,40.5,13
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,20,16,Joey Logano,Toyota,1,17,47.445   ,189.693   ,-1,-1,-1,-1,49,61.1,1,20.75,17
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,21,42,Bobby Labonte,Chevrolet,0,18,47.452   ,189.665   ,-1,-1,-1,-18,0,60.5,6,47,18
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,22,6,Tony Stewart,Chevrolet,0,21,47.525   ,189.374   ,-1,-1,-1,-8,107,67.6,3,7.5,21
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,23,10,Kurt Busch,Dodge,33,7,47.279   ,190.359   ,-1,-1,-1,7,172,95.1,5,18.75,7
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,24,12,Elliott Sadler,Ford,9,36,47.737   ,188.533   ,-1,-1,-1,-15,177,85,2,11.25,36
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,25,38,Boris Said,Ford,1,48,48.152   ,186.908   ,-1,-1,-1,1,11,49.2,2,33.25,48
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,26,21,Jeff Gordon,Chevrolet,2,10,47.356   ,190.050   ,-1,-1,-1,-4,210,88.2,4,15.5,10
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,27,40,Bill Elliott,Ford,0,4,47.226   ,190.573   ,-1,-1,-1,-1,0,51.1,7,33.5,4
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,28,34,Robby Gordon,Toyota,1,32,47.686   ,188.735   ,-1,-1,-1,3,29,52.1,7,25.75,32
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,29,35,Travis Kvapil,Ford,1,45,48.055   ,187.285   ,-1,-1,-1,-10,2,55.5,5,23.75,45
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,30,4,Kasey Kahne,Ford,4,28,47.605   ,189.056   ,-1,-1,-1,-10,265,91,5,-8.5,28
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,31,37,"Robert Richardson, Jr.",Ford,0,44,48.054   ,187.289   ,-1,-1,-1,-23,0,50.8,4,21,44
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,32,15,A.J. Allmendinger,Ford,11,25,47.555   ,189.255   ,-1,-1,-1,34,125,84.9,14,4.75,25
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,33,29,Michael McDowell,Toyota,0,50,48.407   ,185.924   ,-1,-1,-1,-27,0,33.5,1,7.5,50
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,34,17,Ryan Newman,Chevrolet,0,3,47.225   ,190.577   ,-1,-1,-1,-1,40,50.2,3,-5.5,3
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,35,3,Jimmie Johnson,Chevrolet,0,6,47.279   ,190.359   ,-1,-1,-1,7,160,67,2,-22,6
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,36,26,Brad Keselowski,Dodge,0,15,47.434   ,189.737   ,-1,-1,-1,5,0,46,3,-0.5,15
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,37,36,"Sam Hornish, Jr.",Dodge,0,12,47.356   ,190.050   ,-1,-1,-1,12,0,39.4,1,6.5,12
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,38,33,John Andretti,Ford,0,42,47.997   ,187.512   ,-1,-1,-1,-7,0,44.6,1,1.5,42
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,39,11,Regan Smith,Chevrolet,0,34,47.695   ,188.699   ,-1,-1,-1,-13,3,29,0,-23,34
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,40,31,Max Papis,Toyota,0,40,47.822   ,188.198   ,-1,-1,-1,-21,0,26.8,0,-5,40
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,41,18,Marcos Ambrose,Toyota,0,14,47.429   ,189.757   ,-1,-1,-1,0,30,51.7,1,-22.5,14
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,42,28,Mike Bliss,Chevrolet,0,29,47.606   ,189.052   ,-1,-1,-1,-8,0,30.5,0,-14,29
2010_Daytona_500,2/14/2010,Daytona International Speedway,200,2.5,43,41,Joe Nemechek,Toyota,0,16,47.441   ,189.709   ,-1,-1,-1,-13,0,41.9,0,-2,16
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,1,7,Jimmie Johnson,Chevrolet,101,7,39.368   ,182.890   ,-1,-1,-1,-6,68,141.8,31,92.75,7
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,2,6,Kevin Harvick,Chevrolet,27,6,39.366   ,182.899   ,-1,-1,-1,24,80,117,29,67.25,6
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,3,14,Jeff Burton,Chevrolet,46,14,39.542   ,182.085   ,-1,-1,-1,35,122,119.3,24,75.5,14
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,4,10,Mark Martin,Chevrolet,5,10,39.400   ,182.741   ,-1,-1,-1,9,72,118,17,55.75,10
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,5,19,Joey Logano,Toyota,0,19,39.632   ,181.671   ,-1,-1,-1,0,69,85.9,1,53.5,19
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,6,12,Kurt Busch,Dodge,1,12,39.497   ,182.292   ,-1,-1,-1,-12,116,95.3,0,44.25,12
2010_Auto_Club_500,2/21/2010,Auto Club Speedway,250,2,7,20,Matt Kenseth,Ford,0,20,39.669   ,181.502   ,-1,-1,-1,-3,63,94,0,50,20
