Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Andre Drummond,8700.00,CLE,C,MIL,50,33.10%
Collin Sexton,7200.00,CLE,PG/SG,MIL,37.67,14.20%
Aaron Holiday,3300.00,IND,PG/SG,PHO,17.05,13.80%
Victor Oladipo,7000.00,IND,SG/SF,PHO,36.19,19.70%
Cedi Osman,6200.00,CLE,SF/PF,MIL,31.48,12.30%
Myles Turner,6000.00,IND,C,PHO,29.92,5.70%
T.J. McConnell,3300.00,IND,PG,PHO,16.45,7.40%
Domantas Sabonis,9100.00,IND,PF/C,PHO,43.63,11.00%
Malcolm Brogdon,8400.00,IND,PG,PHO,39.73,3.90%
Larry Nance Jr.,6900.00,CLE,PF/C,MIL,32.08,2.80%
Isaac Okoro,3900.00,CLE,SF/PF,MIL,17.72,5.30%
Doug McDermott,4100.00,IND,SF/PF,PHO,18.22,1.00%
Justin Holiday,4500.00,IND,SF,PHO,19.21,1.00%
Lamar Stevens,3000.00,CLE,SF,MIL,12.2,3.20%
JaVale McGee,4100.00,CLE,C,MIL,16.22,0.10%
Dean Wade,3000.00,CLE,PF,MIL,8.94,0.10%
Damyean Dotson,4300.00,CLE,SG,MIL,12.57,0.10%
Thon Maker,3000.00,CLE,PF/C,MIL,3.37,0.10%
JaKarr Sampson,3000.00,IND,PF/C,PHO,3.02,0.10%
