Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Dragan Bender,3700.00,GSW,PF/C,WAS,26.56,0.36%
Michael Porter Jr.,3700.00,DEN,SF/PF,TOR,26.51,55.85%
Markieff Morris,3300.00,LAL,SF/PF,NOP,22.85,0.21%
Caleb Martin,1800.00,CHA,SG/SF,MIL,12.37,0.09%
Delon Wright,4300.00,DAL,PG/SG,MIN,29.35,0.09%
Juan Toscano-Anderson,3700.00,GSW,SF/PF,WAS,25.17,0.21%
Thomas Bryant,3800.00,WAS,C,GSW,25.59,1.50%
Danny Green,3100.00,LAL,SG/SF,NOP,20.66,13.91%
Sterling Brown,2700.00,MIL,SG/SF,CHA,17.91,0.09%
Dorian Finney-Smith,4500.00,DAL,SF/PF,MIN,28.89,0.09%
Mason Plumlee,3400.00,DEN,C,TOR,21.23,27.03%
Kyle Kuzma,4900.00,LAL,PF/C,NOP,29.39,0.31%
Marquese Chriss,5500.00,GSW,C,WAS,32.97,30.45%
Damion Lee,5600.00,GSW,SG,WAS,33.37,31.11%
John Henson,3800.00,DET,C,SAC,22.61,20.27%
J.J. Barea,4000.00,DAL,PG/SG,MIN,23.71,0.09%
Rondae Hollis-Jefferson,4300.00,TOR,PF,DEN,25.37,29.72%
JaVale McGee,3600.00,LAL,C,NOP,21.25,0.24%
Norman Powell,5100.00,TOR,SG/SF,DEN,30.03,33.88%
Dwight Howard,4600.00,LAL,C,NOP,26.86,0.33%
Gary Harris,3600.00,DEN,SG,TOR,20.95,21.65%
Eric Paschall,5200.00,GSW,SF/PF,WAS,29.94,0.57%
Svi Mykhailiuk,3600.00,DET,SG/SF,SAC,20.72,21.20%
Jordan Poole,4800.00,GSW,PG/SG,WAS,27.62,16.72%
Jerami Grant,4500.00,DEN,PF,TOR,25.83,23.53%
Sekou Doumbouya,3000.00,DET,SF/PF,SAC,17.18,1.81%
Jarrett Culver,3300.00,MIN,PG/SF,DAL,18.76,0.09%
De'Aaron Fox,7700.00,SAC,PG,DET,43.75,48.27%
Kyle O'Quinn,3300.00,PHI,C,LAC,18.72,0.09%
Kristaps Porzingis,8400.00,DAL,C,MIN,47.09,0.09%
Chris Boucher,3400.00,TOR,PF/C,DEN,18.97,1.98%
Andrew Wiggins,7600.00,GSW,SG/SF,WAS,41.67,30.02%
D'Angelo Russell,8800.00,MIN,PG,DAL,48.11,0.09%
E'Twaun Moore,3100.00,NOP,SG/SF,LAL,16.86,1.48%
LeBron James,10900.00,LAL,PG/SF,NOP,59.22,15.75%
Shabazz Napier,4700.00,WAS,PG/SG,GSW,25.39,18.74%
Jake Layman,3100.00,MIN,PF,DAL,16.53,0.09%
Christian Wood,7500.00,DET,PF/C,SAC,39.98,28.54%
Josh Okogie,4300.00,MIN,SG/SF,DAL,22.91,0.09%
Davis Bertans,5200.00,WAS,PF,GSW,27.71,17.39%
Will Barton,5700.00,DEN,SG/SF,TOR,30.16,22.36%
Langston Galloway,3400.00,DET,SG,SAC,17.96,1.71%
Maxi Kleber,4400.00,DAL,PF/C,MIN,23.21,0.09%
Tim Hardaway Jr.,6600.00,DAL,SG/SF,MIN,34.71,0.09%
Nikola Jokic,9300.00,DEN,C,TOR,48.7,35.08%
Seth Curry,5800.00,DAL,SG,MIN,30.41,0.09%
Kelan Martin,3000.00,MIN,SF/PF,DAL,15.67,0.09%
Malik Beasley,6400.00,MIN,SG,DAL,33.12,0.09%
