Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Christian Wood,8900.00,HOU,C,CHI,47.79,18.60
Victor Oladipo,7500.00,HOU,SG/SF,CHI,40.01,22.80
Draymond Green,5200.00,GSW,PF/C,LAL,27.15,45.10
Eric Gordon,5200.00,HOU,PG/SG,CHI,26.84,46.00
LeBron James,9700.00,LAL,PG/SF,GSW,49.99,15.50
Stephen Curry,9800.00,GSW,PG,LAL,50.23,10.30
Jae'Sean Tate,5100.00,HOU,PF,CHI,26.08,26.70
Anthony Davis,9300.00,LAL,PF/C,GSW,47.29,7.40
James Wiseman,4600.00,GSW,C,LAL,23.11,45.40
Lauri Markkanen,6700.00,CHI,PF,HOU,33.36,22.10
Andrew Wiggins,6600.00,GSW,SG/SF,LAL,30.89,14.70
Zach LaVine,9500.00,CHI,SG,HOU,44.13,2.90
Coby White,7600.00,CHI,PG/SG,HOU,35.3,1.50
Kelly Oubre,5400.00,GSW,SF/PF,LAL,24.89,15.60
Ryan Arcidiacono,3000.00,CHI,PG,HOU,13.8,7.70
P.J. Tucker,4500.00,HOU,PF/C,CHI,20.14,21.70
Wendell Carter Jr.,6500.00,CHI,C,HOU,29.01,2.90
Dennis Schroder,6400.00,LAL,PG/SG,GSW,28.32,7.70
Patrick Williams,5600.00,CHI,SF/PF,HOU,24.54,3.70
Montrezl Harrell,5700.00,LAL,C,GSW,24.97,0.90
Marc Gasol,4100.00,LAL,C,GSW,17.93,16.50
Eric Paschall,4000.00,GSW,SF/PF,LAL,16.96,18.60
Kentavious Caldwell-Pope,3900.00,LAL,SG/SF,GSW,16.06,5.70
DeMarcus Cousins,5000.00,HOU,C,CHI,20.47,1.80
Ben McLemore,4700.00,HOU,SG,CHI,18.61,3.10
Alex Caruso,3600.00,LAL,PG/SG,GSW,13.99,6.70
Thaddeus Young,3800.00,CHI,PF,HOU,14.76,9.60
Damion Lee,3700.00,GSW,PG/SG,LAL,13.96,6.70
Brad Wanamaker,3100.00,GSW,PG,LAL,11.49,4.80
Garrett Temple,4500.00,CHI,SG/SF,HOU,16.61,18.60
Kent Bazemore,3500.00,GSW,SF,LAL,11.88,3.80
Rodions Kurucs,3500.00,HOU,PF,CHI,11.68,1.00
Kyle Kuzma,5500.00,LAL,SF/PF,GSW,17.52,1.80
Markieff Morris,3600.00,LAL,PF/C,GSW,10.71,1.00
David Nwaba,3800.00,HOU,SG/SF,CHI,11.3,1.00
Kevon Looney,3100.00,GSW,C,LAL,9.11,1.90
Denzel Valentine,4200.00,CHI,SG,HOU,12.14,1.00
Wesley Matthews,3000.00,LAL,SG,GSW,8.39,1.90
Mychal Mulder,3000.00,GSW,SG,LAL,5.66,1.00
Talen Horton-Tucker,3800.00,LAL,SF,GSW,5.5,1.00
