Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Montrezl Harrell,4100.00,LAC,PF/C,POR,28.76,17.50%
Rajon Rondo,4800.00,NOP,PG,SAC,27.69,10.00%
Anthony Tolliver,4500.00,DET,SF/PF,CLE,25.6,17.50%
Will Barton,5400.00,DEN,SG/SF,SAS,30.74,7.50%
Mario Hezonja,4500.00,ORL,SG,HOU,25.23,40.00%
Ish Smith,5600.00,DET,PG,CLE,31.4,12.50%
Evan Fournier,6000.00,ORL,SG/SF,HOU,33.29,7.50%
Zach Randolph,5300.00,SAC,PF/C,NOP,29.04,20.00%
Markieff Morris,5500.00,WAS,SF/PF,OKC,29.87,7.50%
DeAndre Jordan,6800.00,LAC,C,POR,36.79,20.00%
Kyle Lowry,7400.00,TOR,PG,MIN,39.9,7.50%
Donovan Mitchell,6900.00,UTA,PG/SG,GSW,37.11,10.00%
Allen Crabbe,4300.00,BKN,SG/SF,NYK,23.01,7.50%
Lou Williams,8200.00,LAC,PG/SG,POR,43.89,25.00%
Elfrid Payton,6400.00,ORL,PG,HOU,34.03,10.00%
Reggie Bullock,4700.00,DET,SG/SF,CLE,24.89,7.50%
De'Aaron Fox,5500.00,SAC,PG,NOP,28.97,10.00%
Andre Drummond,9300.00,DET,C,CLE,48.83,22.50%
Anthony Davis,11400.00,NOP,PF/C,SAC,59.78,12.50%
Tyrone Wallace,4500.00,LAC,SG/SF,POR,23.53,10.00%
Bogdan Bogdanovic,5000.00,SAC,SG/SF,NOP,26.17,2.00%
Jonathon Simmons,4900.00,ORL,SG/SF,HOU,25.57,3.00%
Ricky Rubio,5200.00,UTA,PG,GSW,27.08,10.00%
DeMar DeRozan,7700.00,TOR,SG/SF,MIN,39.93,7.50%
Eric Gordon,6300.00,HOU,SG,ORL,32.66,12.50%
James Harden,11200.00,HOU,PG/SG,ORL,57.64,20.00%
Khem Birch,3800.00,ORL,PF/C,HOU,19.53,5.00%
Jeff Teague,5700.00,MIN,PG,TOR,29.32,7.50%
E'Twaun Moore,4900.00,NOP,SG/SF,SAC,25.13,2.00%
Dwight Buycks,3400.00,DET,PG,CLE,17.39,1.00%
Jrue Holiday,8300.00,NOP,PG/SG,SAC,42.44,7.50%
Derrick Favors,5100.00,UTA,PF/C,GSW,26,3.00%
Jahlil Okafor,3000.00,BKN,C,NYK,15.3,0.50%
Otto Porter,6400.00,WAS,SF/PF,OKC,32.55,5.00%
Isaiah Thomas,5900.00,CLE,PG,DET,30.04,5.00%
Al-Farouq Aminu,5100.00,POR,SF/PF,LAC,25.91,3.00%
Tim Frazier,4100.00,WAS,PG,OKC,20.73,5.00%
Joe Ingles,4700.00,UTA,SG/SF,GSW,23.64,2.00%
Stanley Johnson,3900.00,DET,SG/SF,CLE,19.57,25.00%
Russell Westbrook,11700.00,OKC,PG,WAS,58.64,15.00%
Jusuf Nurkic,5800.00,POR,C,LAC,28.98,7.50%
Wesley Johnson,4600.00,LAC,SG/SF,POR,22.94,7.50%
Tim Hardaway Jr.,6500.00,NYK,SG/SF,BKN,32.3,5.00%
Gary Harris,6100.00,DEN,SG,SAS,30.27,1.00%
Kosta Koufos,4200.00,SAC,C,NOP,20.77,10.00%
Jamal Murray,6200.00,DEN,PG/SG,SAS,30.7,5.00%
Damian Lillard,8700.00,POR,PG,LAC,42.96,7.50%
Delon Wright,4000.00,TOR,PG/SG,MIN,19.72,4.00%
Jonas Valanciunas,5600.00,TOR,C,MIN,27.55,15.00%
Nikola Jokic,8500.00,DEN,C,SAS,41.77,7.50%
Spencer Dinwiddie,6500.00,BKN,PG/SG,NYK,31.82,5.00%
LeBron James,11300.00,CLE,SF/PF,DET,55.22,10.00%
Andrew Wiggins,6300.00,MIN,SG/SF,TOR,30.8,5.00%
C.J. McCollum,7100.00,POR,PG/SG,LAC,34.63,2.00%
Carmelo Anthony,6200.00,OKC,SF/PF,WAS,30.14,4.00%
Jarrett Allen,3800.00,BKN,PF/C,NYK,18.46,2.00%
Buddy Hield,5000.00,SAC,SG/SF,NOP,24.32,1.00%
Taj Gibson,5400.00,MIN,PF/C,TOR,26.21,7.50%
Evan Turner,3800.00,POR,SG/SF,LAC,18.43,3.00%
Serge Ibaka,5000.00,TOR,PF/C,MIN,24.22,3.00%
LaMarcus Aldridge,8000.00,SAS,PF/C,DEN,38.73,7.50%
Klay Thompson,6200.00,GSW,SG,UTA,29.92,5.00%
D'Angelo Russell,4800.00,BKN,PG/SG,NYK,23.14,2.00%
Eric Moreland,3200.00,DET,PF/C,CLE,15.35,1.00%
Milos Teodosic,4900.00,LAC,PG/SG,POR,23.49,10.00%
Manu Ginobili,3800.00,SAS,SG/SF,DEN,18.19,0.25%
Luke Kennard,4100.00,DET,SG,CLE,19.61,15.00%
Luc Richard Mbah a Moute,4200.00,HOU,SF/PF,ORL,20.03,2.00%
Ryan Anderson,4300.00,HOU,PF/C,ORL,20.41,2.50%
Quincy Acy,3700.00,BKN,PF/C,NYK,17.57,0.25%
Bradley Beal,8400.00,WAS,SG,OKC,39.88,20.00%
