PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16185890,16185958,16186946,16186035,16185984,16185962,16185991,16185931,,1. Locate the player you want to select in the list below ,,,,,,,,
16185890,16185958,16185866,16186008,16185984,16185962,16186035,16185899,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16185962,16186946,16186017,16186035,16185984,16185991,16185936,16185931,,3. Paste the ID into the roster position desired ,,,,,,,,
16185962,16186946,16186004,16186008,16185936,16185899,16186035,16185866,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16185890,16185895,16185931,16186035,16185984,16185962,16185936,16185899,,5. You can create up to 500 lineups per file ,,,,,,,,
16185962,16186946,16186076,16185908,16185984,16185991,16185936,16185931,,,,,,,,,,
16185962,16186061,16186004,16185936,16185984,16185958,16186946,16186080,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16185890,16185958,16186076,16186008,16185984,16185962,16185936,16186080,,PG,Stephen Curry (16185890),Stephen Curry,16185890,PG/G/UTIL,9800,GS@LAL 01/18/2021 10:00PM ET,GS,48.23
16185962,16185958,16186017,16186035,16185984,16186946,16185866,16185991,,PG/SF,LeBron James (16185866),LeBron James,16185866,PG/SF/F/G/UTIL,9700,GS@LAL 01/18/2021 10:00PM ET,LAL,48.34
16185890,16186061,16186946,16185908,16185984,16185962,16185931,16185893,,SG,Zach LaVine (16185979),Zach LaVine,16185979,SG/G/UTIL,9500,HOU@CHI 01/18/2021 08:00PM ET,CHI,44.33
16185890,16185958,16186946,16186008,16186041,16185962,16185908,16185936,,PF/C,Anthony Davis (16185936),Anthony Davis,16185936,PF/C/F/UTIL,9300,GS@LAL 01/18/2021 10:00PM ET,LAL,43.17
16185962,16186946,16185866,16185887,16185984,16185899,16185936,16186080,,C,Christian Wood (16185984),Christian Wood,16185984,C/UTIL,8900,HOU@CHI 01/18/2021 08:00PM ET,HOU,44.68
16185962,16186946,16185866,16186076,16185984,16185991,16185931,16186080,,PG/SG,Coby White (16186061),Coby White,16186061,PG/SG/G/UTIL,7600,HOU@CHI 01/18/2021 08:00PM ET,CHI,32.79
16185962,16185943,16186946,16186008,16186041,16185866,16185908,16185936,,SG/SF,Victor Oladipo (16186946),Victor Oladipo,16186946,SG/SF/F/G/UTIL,7500,HOU@CHI 01/18/2021 08:00PM ET,HOU,37.58
16185962,16186061,16185866,16186008,16185984,16185991,16185908,16185931,,PG,John Wall (16185918),John Wall,16185918,PG/G/UTIL,7400,HOU@CHI 01/18/2021 08:00PM ET,HOU,35.96
16185962,16186946,16185866,16186035,16185984,16185899,16185908,16185965,,PF,Lauri Markkanen (16186035),Lauri Markkanen,16186035,PF/F/UTIL,6700,HOU@CHI 01/18/2021 08:00PM ET,CHI,32.96
16185899,16186946,16186076,16186035,16185984,16185866,16185931,16186080,,SG/SF,Andrew Wiggins (16185991),Andrew Wiggins,16185991,SG/SF/F/G/UTIL,6600,GS@LAL 01/18/2021 10:00PM ET,GS,31.67
16185962,16185970,16186946,16186035,16185984,16185991,16185908,16185965,,C,Wendell Carter Jr. (16186041),Wendell Carter Jr.,16186041,C/UTIL,6500,HOU@CHI 01/18/2021 08:00PM ET,CHI,29.12
16185962,16185895,16186017,16186035,16185984,16185899,16185936,16185866,,PG/SG,Dennis Schroder (16185970),Dennis Schroder,16185970,PG/SG/G/UTIL,6400,GS@LAL 01/18/2021 10:00PM ET,LAL,28.39
16185890,16185884,16186076,16185908,16185984,16185962,16185936,16185895,,SF/PF,Otto Porter Jr. (16185947),Otto Porter Jr.,16185947,SF/PF/F/UTIL,5700,HOU@CHI 01/18/2021 08:00PM ET,CHI,25.96
,,,,,,,,,C,Montrezl Harrell (16185965),Montrezl Harrell,16185965,C/UTIL,5700,GS@LAL 01/18/2021 10:00PM ET,LAL,26.16
,,,,,,,,,SF/PF,Patrick Williams (16186076),Patrick Williams,16186076,SF/PF/F/UTIL,5600,HOU@CHI 01/18/2021 08:00PM ET,CHI,19.5
,,,,,,,,,SF/PF,Kyle Kuzma (16186011),Kyle Kuzma,16186011,SF/PF/F/UTIL,5500,GS@LAL 01/18/2021 10:00PM ET,LAL,21.29
,,,,,,,,,SF/PF,Kelly Oubre Jr. (16186004),Kelly Oubre Jr.,16186004,SF/PF/F/UTIL,5400,GS@LAL 01/18/2021 10:00PM ET,GS,23.29
,,,,,,,,,PG/SG,Eric Gordon (16185895),Eric Gordon,16185895,PG/SG/G/UTIL,5200,HOU@CHI 01/18/2021 08:00PM ET,HOU,23.39
,,,,,,,,,PF/C,Draymond Green (16185908),Draymond Green,16185908,PF/C/F/UTIL,5200,GS@LAL 01/18/2021 10:00PM ET,GS,22.62
,,,,,,,,,PF,Jae'Sean Tate (16186008),Jae'Sean Tate,16186008,PF/F/UTIL,5100,HOU@CHI 01/18/2021 08:00PM ET,HOU,19.75
,,,,,,,,,C,DeMarcus Cousins (16185916),DeMarcus Cousins,16185916,C/UTIL,5000,HOU@CHI 01/18/2021 08:00PM ET,HOU,20.47
,,,,,,,,,SG,Ben McLemore (16185940),Ben McLemore,16185940,SG/G/UTIL,4700,HOU@CHI 01/18/2021 08:00PM ET,HOU,19.35
,,,,,,,,,SF/PF,Danuel House Jr. (16185954),Danuel House Jr.,16185954,SF/PF/F/UTIL,4700,HOU@CHI 01/18/2021 08:00PM ET,HOU,17.75
,,,,,,,,,C,Marquese Chriss (16186024),Marquese Chriss,16186024,C/UTIL,4700,GS@LAL 01/18/2021 10:00PM ET,GS,17.88
,,,,,,,,,PG,Tomas Satoransky (16185951),Tomas Satoransky,16185951,PG/G/UTIL,4600,HOU@CHI 01/18/2021 08:00PM ET,CHI,20.58
,,,,,,,,,C,James Wiseman (16186080),James Wiseman,16186080,C/UTIL,4600,GS@LAL 01/18/2021 10:00PM ET,GS,23.31
,,,,,,,,,PF/C,P.J. Tucker (16185871),P.J. Tucker,16185871,PF/C/F/UTIL,4500,HOU@CHI 01/18/2021 08:00PM ET,HOU,18.43
,,,,,,,,,SG/SF,Garrett Temple (16185879),Garrett Temple,16185879,SG/SF/F/G/UTIL,4500,HOU@CHI 01/18/2021 08:00PM ET,CHI,18.65
,,,,,,,,,SG/SF,Sterling Brown (16185974),Sterling Brown,16185974,SG/SF/F/G/UTIL,4400,HOU@CHI 01/18/2021 08:00PM ET,HOU,16.65
,,,,,,,,,SG,Denzel Valentine (16185967),Denzel Valentine,16185967,SG/G/UTIL,4200,HOU@CHI 01/18/2021 08:00PM ET,CHI,17.78
,,,,,,,,,SG,Mason Jones (16186058),Mason Jones,16186058,SG/G/UTIL,4100,HOU@CHI 01/18/2021 08:00PM ET,HOU,14.6
,,,,,,,,,C,Marc Gasol (16185893),Marc Gasol,16185893,C/UTIL,4100,GS@LAL 01/18/2021 10:00PM ET,LAL,17.57
,,,,,,,,,SF/PF,Eric Paschall (16186017),Eric Paschall,16186017,SF/PF/F/UTIL,4000,GS@LAL 01/18/2021 10:00PM ET,GS,18.8
,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (16185931),Kentavious Caldwell-Pope,16185931,SG/SF/F/G/UTIL,3900,GS@LAL 01/18/2021 10:00PM ET,LAL,18.95
,,,,,,,,,PF,Thaddeus Young (16185887),Thaddeus Young,16185887,PF/F/UTIL,3800,HOU@CHI 01/18/2021 08:00PM ET,CHI,21.11
,,,,,,,,,SG/SF,David Nwaba (16185986),David Nwaba,16185986,SG/SF/F/G/UTIL,3800,HOU@CHI 01/18/2021 08:00PM ET,HOU,14.92
,,,,,,,,,SF,Talen Horton-Tucker (16186052),Talen Horton-Tucker,16186052,SF/F/UTIL,3800,GS@LAL 01/18/2021 10:00PM ET,LAL,15.15
,,,,,,,,,PG/SG,Damion Lee (16185943),Damion Lee,16185943,PG/SG/G/UTIL,3700,GS@LAL 01/18/2021 10:00PM ET,GS,16.08
,,,,,,,,,PF/C,Markieff Morris (16185912),Markieff Morris,16185912,PF/C/F/UTIL,3600,GS@LAL 01/18/2021 10:00PM ET,LAL,12.29
,,,,,,,,,PG/SG,Alex Caruso (16185958),Alex Caruso,16185958,PG/SG/G/UTIL,3600,GS@LAL 01/18/2021 10:00PM ET,LAL,15.17
,,,,,,,,,PF,Rodions Kurucs (16186049),Rodions Kurucs,16186049,PF/F/UTIL,3500,HOU@CHI 01/18/2021 08:00PM ET,HOU,3.62
,,,,,,,,,SF,Kent Bazemore (16185902),Kent Bazemore,16185902,SF/F/UTIL,3500,GS@LAL 01/18/2021 10:00PM ET,GS,13.78
,,,,,,,,,PF,KJ Martin Jr. (16186085),KJ Martin Jr.,16186085,PF/F/UTIL,3200,HOU@CHI 01/18/2021 08:00PM ET,HOU,8.25
,,,,,,,,,PG,Brad Wanamaker (16185899),Brad Wanamaker,16185899,PG/G/UTIL,3100,GS@LAL 01/18/2021 10:00PM ET,GS,12.98
,,,,,,,,,C,Kevon Looney (16186015),Kevon Looney,16186015,C/UTIL,3100,GS@LAL 01/18/2021 10:00PM ET,GS,10.73
,,,,,,,,,PG,Ryan Arcidiacono (16185962),Ryan Arcidiacono,16185962,PG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,14.67
,,,,,,,,,C,Luke Kornet (16185982),Luke Kornet,16185982,C/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,4.75
,,,,,,,,,PG,Dante Exum (16185996),Dante Exum,16185996,PG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,HOU,12.21
,,,,,,,,,PF,Bruno Caboclo (16185999),Bruno Caboclo,16185999,PF/F/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,HOU,6.33
,,,,,,,,,C,Cristiano Felicio (16186002),Cristiano Felicio,16186002,C/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,6.75
,,,,,,,,,SF,Chandler Hutchison (16186021),Chandler Hutchison,16186021,SF/F/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,10.31
