Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Justin Jackson,3000.00,OKC,PF,HOU,21.29,19.60
Theo Maledon,4300.00,OKC,PG/SG,HOU,27.91,38.10
Hamidou Diallo,4500.00,OKC,SG/SF,HOU,27.65,35.90
Garrison Mathews,3300.00,WAS,SG/SF,MIA,20.2,12.00
Malik Monk,4000.00,CHA,SG,PHI,23.94,27.20
Cody Zeller,5800.00,CHA,C,PHI,34.48,19.60
Jakob Poeltl,4600.00,SAS,C,MIN,26.87,19.60
Darius Bazley,5200.00,OKC,SF/PF,HOU,29.93,13.00
Lonnie Walker IV,3800.00,SAS,SG/SF,MIN,21.81,18.50
Jayson Tatum,8900.00,BOS,PF,SAC,50.71,24.30
Lu Dort,4400.00,OKC,SG/SF,HOU,24.99,15.20
Victor Oladipo,7800.00,HOU,PG/SG,OKC,44.04,19.00
Jaylen Brown,7900.00,BOS,SF,SAC,44.44,25.30
Kenrich Williams,3000.00,OKC,SF,HOU,16.84,0.10
Tristan Thompson,3700.00,BOS,C,SAC,20.74,9.80
Ish Smith,4800.00,WAS,PG,MIA,26.88,19.60
DeMar DeRozan,6900.00,SAS,SF/PF,MIN,38.54,22.20
Gordon Hayward,7200.00,CHA,SF/PF,PHI,40.15,19.00
Domantas Sabonis,8300.00,IND,PF/C,MIL,46.2,25.30
Dejounte Murray,6400.00,SAS,PG,MIN,35.26,13.70
Eric Gordon,5400.00,HOU,PG/SG,OKC,29.63,14.10
Deni Avdija,3500.00,WAS,SF/PF,MIA,18.98,4.30
Keldon Johnson,6100.00,SAS,SF/PF,MIN,32.93,15.80
Al Horford,6000.00,OKC,C,HOU,32.28,11.60
Bradley Beal,9700.00,WAS,SG,MIA,52.16,16.90
D'Angelo Russell,6800.00,MIN,PG/SG,SAS,36.25,12.70
Patrick Williams,3600.00,CHI,SF/PF,NYK,18.92,4.30
Josh Richardson,4500.00,DAL,SG/SF,ATL,23.57,5.40
LaMelo Ball,7000.00,CHA,PG,PHI,36.67,17.90
Coby White,6100.00,CHI,PG/SG,NYK,31.67,4.20
Thaddeus Young,5900.00,CHI,PF,NYK,30.5,4.30
Zach LaVine,8500.00,CHI,SG,NYK,43.87,9.50
Derrick White,4400.00,SAS,PG/SG,MIN,22.66,3.30
Giannis Antetokounmpo,11000.00,MIL,PF/C,IND,56.38,14.80
Daniel Theis,4800.00,BOS,PF/C,SAC,24.6,7.60
Drew Eubanks,3000.00,SAS,C,MIN,15.4,10.90
Malcolm Brogdon,8100.00,IND,PG,MIL,41.54,7.40
Immanuel Quickley,5500.00,NYK,PG/SG,CHI,28.18,7.60
Luka Doncic,10800.00,DAL,PG,ATL,55.28,12.70
Joel Embiid,10000.00,PHI,C,CHA,51.04,10.60
Dorian Finney-Smith,3900.00,DAL,SF/PF,ATL,19.87,2.20
Cam Reddish,4600.00,ATL,SG,DAL,23.31,4.30
Miles Bridges,4600.00,CHA,SF/PF,PHI,23.28,4.30
Andre Drummond,8400.00,CLE,C,LAC,42.46,5.30
Deandre Ayton,7400.00,PHO,C,NOP,37.31,7.40
Myles Turner,6700.00,IND,C,MIL,33.54,4.20
Sterling Brown,3100.00,HOU,SF,OKC,15.49,0.10
Trae Young,9500.00,ATL,PG,DAL,47.43,7.40
Julius Randle,9100.00,NYK,PF/C,CHI,45.33,9.50
Devonte' Graham,6600.00,CHA,PG,PHI,32.72,3.20
Khris Middleton,8200.00,MIL,SF,IND,40.57,5.30
Chris Paul,8300.00,PHO,PG,NOP,41.11,7.40
Kawhi Leonard,9000.00,LAC,SF,CLE,44.34,5.30
Taurean Prince,4900.00,CLE,SF/PF,LAC,24.16,3.30
RJ Barrett,6400.00,NYK,SF,CHI,31.49,2.10
Zion Williamson,8000.00,NOP,PF/C,PHO,39.24,5.30
Jimmy Butler,8400.00,MIA,SF,WAS,41.24,5.30
Tobias Harris,7300.00,PHI,PF,CHA,35.68,5.30
Ben Simmons,8200.00,PHI,PG/SF,CHA,40.06,1.10
Steven Adams,5400.00,NOP,C,PHO,26.27,2.20
Kristaps Porzingis,7500.00,DAL,PF/C,ATL,36.41,4.20
Mikal Bridges,5400.00,PHO,SF,NOP,26.19,1.10
Mitchell Robinson,5000.00,NYK,C,CHI,24.18,1.10
Alec Burks,4700.00,NYK,SG/SF,CHI,22.7,1.10
Lonzo Ball,5700.00,NOP,PG,PHO,27.47,3.30
