PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16318725,16318802,16318703,16318729,16318749,16318744,16318866,16318812,,1. Locate the player you want to select in the list below ,,,,,,,,
16318738,16318802,16318806,16318729,16318795,16318903,16318866,16318822,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16318738,16318802,16318744,16318729,16318749,16318884,16318769,16318812,,3. Paste the ID into the roster position desired ,,,,,,,,
16318738,16318884,16318921,16318729,16318749,16318863,16318703,16318812,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16318738,16318725,16318703,16318914,16318749,16318863,16318744,16318802,,5. You can create up to 500 lineups per file ,,,,,,,,
16318738,16318725,16318703,16318866,16318749,16318863,16318712,16318795,,,,,,,,,,
16318738,16318850,16318921,16318729,16318749,16318863,16318769,16318812,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16318738,16318802,16318744,16318914,16318749,16318809,16318769,16318812,,C,Nikola Jokic (16318822),Nikola Jokic,16318822,C/UTIL,11000,DEN@LAL 02/04/2021 10:00PM ET,DEN,59.94
16318738,16318725,16318791,16318769,16318749,16318863,16318744,16318802,,PG/SF,LeBron James (16318703),LeBron James,16318703,PG/SF/F/G/UTIL,10000,DEN@LAL 02/04/2021 10:00PM ET,LAL,49.04
16318809,16318725,16318791,16318729,16318812,16318703,16318866,16318795,,PF/C,Anthony Davis (16318769),Anthony Davis,16318769,PF/C/F/UTIL,9700,DEN@LAL 02/04/2021 10:00PM ET,LAL,44.74
16318738,16318802,16318791,16318729,16318812,16318903,16318899,16318795,,C,Christian Wood (16318812),Christian Wood,16318812,C/UTIL,8800,HOU@MEM 02/04/2021 09:00PM ET,HOU,43.11
16318738,16318802,16318744,16318729,16318812,16318903,16318866,16318795,,PG/SG,Victor Oladipo (16318751),Victor Oladipo,16318751,PG/SG/G/UTIL,8000,HOU@MEM 02/04/2021 09:00PM ET,HOU,37.54
16318738,16318802,16318791,16318866,16318812,16318863,16318744,16318795,,PG,Ja Morant (16318903),Ja Morant,16318903,PG/G/UTIL,7600,HOU@MEM 02/04/2021 09:00PM ET,MEM,35.25
16318738,16318850,16318703,16318729,16318749,16318802,16318712,16318812,,PG,John Wall (16318738),John Wall,16318738,PG/G/UTIL,6900,HOU@MEM 02/04/2021 09:00PM ET,HOU,34.98
16318738,16318744,16318791,16318729,16318795,16318903,16318703,16318736,,PG,Jamal Murray (16318863),Jamal Murray,16318863,PG/G/UTIL,6800,DEN@LAL 02/04/2021 10:00PM ET,DEN,33.26
16318738,16318744,16318921,16318866,16318749,16318703,16318806,16318822,,C,Jonas Valanciunas (16318759),Jonas Valanciunas,16318759,C/UTIL,6700,HOU@MEM 02/04/2021 09:00PM ET,MEM,33.9
16318738,16318725,16318921,16318729,16318749,16318829,16318703,16318822,,PF/C,Jaren Jackson Jr. (16318910),Jaren Jackson Jr.,16318910,PF/C/F/UTIL,6400,HOU@MEM 02/04/2021 09:00PM ET,MEM,0
16318738,16318725,16318703,16318791,16318749,16318863,16318744,16318795,,SF/PF,Michael Porter Jr. (16318899),Michael Porter Jr.,16318899,SF/PF/F/UTIL,6100,DEN@LAL 02/04/2021 10:00PM ET,DEN,31.42
16318738,16318744,16318791,16318708,16318749,16318703,16318764,16318822,,PF/C,Brandon Clarke (16318866),Brandon Clarke,16318866,PF/C/F/UTIL,6000,HOU@MEM 02/04/2021 09:00PM ET,MEM,26.97
16318738,16318725,16318703,16318729,16318749,16318903,16318764,16318863,,SG,Dillon Brooks (16318850),Dillon Brooks,16318850,SG/G/UTIL,5900,HOU@MEM 02/04/2021 09:00PM ET,MEM,27.89
,,,,,,,,,PG/SG,Eric Gordon (16318725),Eric Gordon,16318725,PG/SG/G/UTIL,5800,HOU@MEM 02/04/2021 09:00PM ET,HOU,26.41
,,,,,,,,,PG/SG,Dennis Schroder (16318802),Dennis Schroder,16318802,PG/SG/G/UTIL,5500,DEN@LAL 02/04/2021 10:00PM ET,LAL,26.2
,,,,,,,,,SF/PF,Kyle Anderson (16318791),Kyle Anderson,16318791,SF/PF/F/UTIL,5500,HOU@MEM 02/04/2021 09:00PM ET,MEM,29.81
,,,,,,,,,C,Montrezl Harrell (16318795),Montrezl Harrell,16318795,C/UTIL,5300,DEN@LAL 02/04/2021 10:00PM ET,LAL,25.01
