PG,SG,SF,PF,C,G,F,UTIL
Jordan McLaughlin,James Harden,Kawhi Leonard,Domantas Sabonis,Myles Turner,Grayson Allen,PJ Washington,Norvel Pelle
Malcolm Brogdon,James Harden,Kawhi Leonard,PJ Washington,Myles Turner,Grayson Allen,John Konchar,DeAndre Jordan
James Harden,Jaylen Nowell,Kawhi Leonard,Domantas Sabonis,DeAndre Jordan,Grayson Allen,PJ Washington,Gorgui Dieng
Malcolm Brogdon,James Harden,Gordon Hayward,PJ Washington,Myles Turner,Grayson Allen,Nicolas Batum,Gorgui Dieng
Malcolm Brogdon,Grayson Allen,Kawhi Leonard,Domantas Sabonis,PJ Washington,Kyrie Irving,John Konchar,Jordan McLaughlin
Ja Morant,James Harden,John Konchar,Domantas Sabonis,Serge Ibaka,Terry Rozier,PJ Washington,Jaylen Nowell
Kyrie Irving,Terry Rozier,Kyle Anderson,Domantas Sabonis,Serge Ibaka,Grayson Allen,PJ Washington,Myles Turner
James Harden,Jaylen Nowell,Kawhi Leonard,Domantas Sabonis,Serge Ibaka,Desmond Bane,PJ Washington,Norvel Pelle
James Harden,Jaylen Nowell,Gordon Hayward,Domantas Sabonis,Myles Turner,John Konchar,PJ Washington,Nicolas Batum
Malcolm Brogdon,James Harden,Kawhi Leonard,PJ Washington,Serge Ibaka,Aaron Holiday,Xavier Tillman Sr.,DeAndre Jordan
James Harden,Desmond Bane,Gordon Hayward,Domantas Sabonis,Serge Ibaka,Grayson Allen,PJ Washington,Marcus Morris
Malcolm Brogdon,Jaylen Nowell,Gordon Hayward,PJ Washington,Serge Ibaka,Kyrie Irving,Nicolas Batum,Myles Turner
Malcolm Brogdon,Grayson Allen,Kawhi Leonard,Domantas Sabonis,PJ Washington,Josh Okogie,Gordon Hayward,Marcus Morris
James Harden,Grayson Allen,Gordon Hayward,Domantas Sabonis,PJ Washington,Josh Okogie,Kyle Anderson,Nicolas Batum
Jordan McLaughlin,James Harden,Kawhi Leonard,Domantas Sabonis,Gorgui Dieng,Aaron Holiday,PJ Washington,Kyle Anderson
Malcolm Brogdon,James Harden,Kyle Anderson,PJ Washington,Myles Turner,LaMelo Ball,John Konchar,Jaylen Nowell
Malcolm Brogdon,Jaylen Nowell,John Konchar,Domantas Sabonis,Serge Ibaka,Kyrie Irving,PJ Washington,Jonas Valanciunas
Malcolm Brogdon,James Harden,Nicolas Batum,PJ Washington,Serge Ibaka,Ja Morant,John Konchar,Myles Turner
Malcolm Brogdon,James Harden,Gordon Hayward,PJ Washington,Serge Ibaka,Josh Okogie,Marcus Morris,Myles Turner
Reggie Jackson,James Harden,Kyle Anderson,Domantas Sabonis,Serge Ibaka,Josh Okogie,PJ Washington,Myles Turner
