PG,SG,SF,PF,C,G,F,UTIL
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,Chris Boucher,Evan Fournier,Jeff Green,Ricky Rubio
Malcolm Brogdon,Bradley Beal,Terrence Ross,Larry Nance Jr.,Naz Reid,Tyrese Maxey,Jeff Green,Chris Boucher
Malcolm Brogdon,Bradley Beal,Danny Green,Larry Nance Jr.,Chris Boucher,Evan Fournier,Reggie Perry,Ricky Rubio
Malcolm Brogdon,Bradley Beal,Joe Harris,Larry Nance Jr.,Chris Boucher,Terrence Ross,Anthony Edwards,Furkan Korkmaz
Malcolm Brogdon,Bradley Beal,Danny Green,Larry Nance Jr.,Chris Boucher,Evan Fournier,Jeff Green,Jake Layman
Malcolm Brogdon,Bradley Beal,Danny Green,Stanley Johnson,DeAndre Jordan,Evan Fournier,Larry Nance Jr.,Ricky Rubio
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Cedi Osman,Naz Reid,Evan Fournier,Joe Harris,Chris Boucher
Tyrese Maxey,Bradley Beal,Cedi Osman,Domantas Sabonis,Chris Boucher,Evan Fournier,Jeff Green,Anthony Edwards
Ricky Rubio,Bradley Beal,Terrence Ross,Domantas Sabonis,DeAndre Jordan,Furkan Korkmaz,Larry Nance Jr.,Chris Boucher
Malcolm Brogdon,Bradley Beal,James Ennis III,Larry Nance Jr.,DeAndre Jordan,D'Angelo Russell,Furkan Korkmaz,Chris Boucher
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,DeAndre Jordan,D'Angelo Russell,Gary Clark,Chris Boucher
Tyrese Maxey,Malik Beasley,Terrence Ross,Larry Nance Jr.,Myles Turner,Bradley Beal,Jeff Green,Chris Boucher
Tyrese Maxey,Bradley Beal,Jake Layman,Domantas Sabonis,DeAndre Jordan,Evan Fournier,Larry Nance Jr.,Chris Boucher
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,Chris Boucher,Cole Anthony,Joe Harris,Anthony Edwards
Russell Westbrook,Evan Fournier,Furkan Korkmaz,Larry Nance Jr.,Myles Turner,Ricky Rubio,Jeff Green,Fred VanVleet
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Cedi Osman,Chris Boucher,Evan Fournier,Reggie Perry,D'Angelo Russell
Malcolm Brogdon,Bradley Beal,Joe Harris,Jarred Vanderbilt,Jarrett Allen,Evan Fournier,Furkan Korkmaz,Chris Boucher
Malcolm Brogdon,Bradley Beal,Matisse Thybulle,Jarred Vanderbilt,Chris Boucher,Joe Harris,Larry Nance Jr.,Terrence Ross
Fred VanVleet,Bradley Beal,Josh Okogie,Larry Nance Jr.,Myles Turner,Evan Fournier,Jeff Green,Tyrese Maxey
D'Angelo Russell,Bradley Beal,Matisse Thybulle,Larry Nance Jr.,Aron Baynes,Evan Fournier,Jeff Green,Myles Turner
