Date,Lineup Overlap,Payout
2021-01-18,3,0.5
2021-01-18,4,1.5
2021-01-18,5,2.75
2021-01-18,6,2.0
2021-01-18,7,1.25
2021-01-19,3,0.0
2021-01-19,4,3.75
2021-01-19,5,4.25
2021-01-19,6,5.75
2021-01-19,7,6.5
2021-01-20,3,3.6
2021-01-20,4,2.7
2021-01-20,5,1.7
2021-01-20,6,2.7
2021-01-20,7,1.7
2021-01-21,3,0.0
2021-01-21,4,4.25
2021-01-21,5,12.25
2021-01-21,6,6.0
2021-01-21,7,9.75
2021-01-22,3,1.5
2021-01-22,4,2.75
2021-01-22,5,4.5
2021-01-22,6,5.75
2021-01-22,7,1.75
2021-01-28,3,2.75
2021-01-28,4,3.0
2021-01-28,5,17.75
2021-01-28,6,11.5
2021-01-28,7,13.0
2021-01-29,3,2.0
2021-01-29,4,4.5
2021-01-29,5,10.0
2021-01-29,6,6.75
2021-01-29,7,6.5
2021-01-30,3,1.5
2021-01-30,4,1.0
2021-01-30,5,4.5
2021-01-30,6,1.5
2021-01-30,7,2.75
2021-01-31,3,1.0
2021-01-31,4,3.5
2021-01-31,5,0.0
2021-01-31,6,1.25
2021-01-31,7,0.5
2021-02-04,3,0.5
2021-02-04,4,0.5
2021-02-04,5,4.5
2021-02-04,6,10.25
2021-02-04,7,4.5
