PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Patty Mills,Doug McDermott,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Danilo Gallinari
De'Aaron Fox,Patty Mills,Doug McDermott,Rui Hachimura,Julius Randle,Luke Kennard,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Patty Mills,Doug McDermott,Davis Bertans,Julius Randle,Jalen Brunson,Larry Nance Jr.,Nicolas Batum
De'Aaron Fox,Evan Fournier,Nicolas Batum,Davis Bertans,Julius Randle,Matt Thomas,Larry Nance Jr.,Patty Mills
De'Aaron Fox,Patty Mills,Luke Kennard,Julius Randle,Larry Nance Jr.,Lonzo Ball,Isaiah Roby,Jalen Brunson
D'Angelo Russell,Jalen Brunson,Terrence Ross,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,D'Angelo Russell,Kevin Huerter,Davis Bertans,Larry Nance Jr.,Immanuel Quickley,Isaiah Roby,Luke Kennard
De'Aaron Fox,D'Angelo Russell,Kevin Huerter,James Johnson,Larry Nance Jr.,Patty Mills,Davis Bertans,Luke Kennard
De'Aaron Fox,Patty Mills,Garrison Mathews,Julius Randle,Naz Reid,Luke Kennard,Larry Nance Jr.,Dwight Howard
Lonzo Ball,D'Angelo Russell,Luke Kennard,Davis Bertans,Dwight Howard,Patty Mills,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Jalen Brunson,Kevin Huerter,Stanley Johnson,Julius Randle,Luke Kennard,Rui Hachimura,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Nicolas Batum,Julius Randle,Naz Reid,Trey Burke,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Paul George,Danilo Gallinari,Davis Bertans,Naz Reid,Patty Mills,Larry Nance Jr.,Immanuel Quickley
Patty Mills,Paul George,Danilo Gallinari,Rui Hachimura,Julius Randle,Tim Hardaway Jr.,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Donte DiVincenzo,Luke Kennard,Davis Bertans,Dwight Howard,Patty Mills,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Tim Hardaway Jr.,Rui Hachimura,Julius Randle,Jordan McLaughlin,Larry Nance Jr.,Luke Kennard
De'Aaron Fox,Patty Mills,Danilo Gallinari,Julius Randle,Robin Lopez,Tim Hardaway Jr.,Larry Nance Jr.,Luke Kennard
De'Aaron Fox,Patty Mills,Jerome Robinson,Stanley Johnson,Naz Reid,Luke Kennard,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Luke Kennard,Davis Bertans,Naz Reid,D.J. Augustin,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Kevin Huerter,Davis Bertans,Aron Baynes,Luke Kennard,Julius Randle,Larry Nance Jr.
