Player_Name,Salary,Team,Pos,Opp,Proj_FP
Carson Wentz,5600.00,PHI,QB,JAC,20.95
Ben Roethlisberger,6100.00,PIT,QB,CLE,22.68
Alex Smith,5000.00,WAS,QB,NYG,18.4
Case Keenum,5100.00,DEN,QB,KCC,18.55
Jared Goff,6000.00,LAR,QB,GBP,21.79
Drew Brees,5700.00,NOS,T2,MIN,20.64
Patrick Mahomes,7000.00,KCC,QB,DEN,25.28
Cam Newton,5800.00,CAR,QB,BAL,20.86
Andrew Luck,6300.00,IND,QB,OAK,22.47
Pittsburgh Steelers,2300.00,PIT,DST,CLE,8.17
Joe Flacco,5300.00,BAL,QB,CAR,18.73
Aaron Rodgers,6400.00,GBP,QB,LAR,22.57
Brock Osweiler,4800.00,MIA,QB,HOU,16.89
Matthew Stafford,5600.00,DET,QB,SEA,19.62
Eli Manning,4900.00,NYG,QB,WAS,17.08
Jameis Winston,6000.00,TBB,QB,CIN,20.91
Kirk Cousins,6300.00,MIN,T2,NOS,21.7
Miami Dolphins,2200.00,MIA,DST,HOU,7.54
Andy Dalton,6200.00,CIN,QB,TBB,21.19
Deshaun Watson,6000.00,HOU,QB,MIA,20.48
Baker Mayfield,5700.00,CLE,QB,PIT,18.98
Isaiah Crowell,3700.00,NYJ,RB,CHI,12.28
Derek Anderson,4400.00,BUF,QB,NEP,14.48
Sam Darnold,4500.00,NYJ,QB,CHI,14.69
Mitchell Trubisky,6100.00,CHI,QB,NYJ,19.77
Russell Wilson,5900.00,SEA,QB,DET,19.07
Tampa Bay Buccaneers,2100.00,TBB,DST,CIN,6.49
Peyton Barber,3600.00,TBB,RB,CIN,11.07
Kenyan Drake,4900.00,MIA,RB,HOU,15.11
Cincinnati Bengals,2500.00,CIN,DST,TBB,7.67
Denver Broncos,2000.00,DEN,DST,KCC,6.1
Tom Brady,6600.00,NEP,QB,BUF,20.15
Lamar Miller,4700.00,HOU,RB,MIA,14.1
Latavius Murray,4900.00,MIN,RB,NOS,14.67
Phillip Lindsay,5200.00,DEN,RB,KCC,15.54
Detroit Lions,2400.00,DET,DST,SEA,7.09
Todd Gurley,9800.00,LAR,RB,GBP,28.64
Chris Carson,4300.00,SEA,RB,DET,12.37
Green Bay Packers,2000.00,GBP,DST,LAR,5.73
Robert Woods,6800.00,LAR,WR,GBP,19.42
Kerryon Johnson,5300.00,DET,RB,SEA,15.16
Kansas City Chiefs,2600.00,KCC,DST,DEN,7.44
Buffalo Bills,2000.00,BUF,DST,NEP,5.71
Cleveland Browns,2100.00,CLE,DST,PIT,5.99
Kareem Hunt,7100.00,KCC,RB,DEN,20.17
DeVante Parker,3200.00,MIA,WR,HOU,9.04
Josh Rosen,4800.00,ARI,QB,SFO,13.59
Anthony Miller,3400.00,CHI,WR,NYJ,9.59
New York Jets,2200.00,NYJ,DST,CHI,6.19
Kyle Rudolph,3600.00,MIN,TE,NOS,10.13
Demaryius Thomas,4900.00,DEN,WR,KCC,13.74
Los Angeles Rams,2600.00,LAR,DST,GBP,7.17
Golden Tate,6000.00,DET,WR,SEA,16.56
Benjamin Watson,3300.00,NOS,TE,MIN,9.07
Joe Mixon,7300.00,CIN,RB,TBB,19.85
James Conner,7500.00,PIT,RB,CLE,20.41
Charles Clay,2700.00,BUF,TE,NEP,7.34
New Orleans Saints,2100.00,NOS,DST,MIN,5.71
Christian McCaffrey,7000.00,CAR,RB,BAL,19.05
Wendell Smallwood,3800.00,PHI,RB,JAC,10.34
Danny Amendola,4500.00,MIA,WR,HOU,12.25
Julian Edelman,6000.00,NEP,WR,BUF,16.27
Seattle Seahawks,2300.00,SEA,DST,DET,6.2
Jeff Heuerman,2600.00,DEN,TE,KCC,7
Marlon Mack,5400.00,IND,RB,OAK,14.48
Corey Clement,3900.00,PHI,RB,JAC,10.45
Michael Thomas,7200.00,NOS,T5,MIN,19.25
Kenny Golladay,5700.00,DET,WR,SEA,15.13
