QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Duke Johnson,DeVante Parker,Tyler Lockett,Stefon Diggs,Dallas Goedert,Aaron Jones,Saints 
Kyler Murray,Mike Davis,Aaron Jones,Jakeem Grant,Keenan Allen,DeAndre Hopkins,Evan Engram,Miles Sanders,Rams 
Jared Goff,Mike Davis,Aaron Jones,DJ Moore,Robby Anderson,Cooper Kupp,Hunter Henry,Alvin Kamara,Jaguars 
Carson Wentz,Mike Davis,Aaron Jones,Diontae Johnson,Terry McLaurin,Davante Adams,Noah Fant,Jalen Reagor,Browns 
Tom Brady,Mike Davis,Aaron Jones,Allen Lazard,DK Metcalf,Chris Godwin,Darren Waller,Josh Jacobs,Lions 
Josh Allen,Mike Davis,D'Andre Swift,Michael Thomas,John Brown,Robert Woods,Austin Hooper,James Robinson,Eagles 
Deshaun Watson,Mike Davis,Aaron Jones,Kenny Golladay,JuJu Smith-Schuster,Will Fuller V,Logan Thomas,Antonio Gibson,Steelers 
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,Chase Claypool,Jarvis Landry,T.J. Hockenson,James Conner,Packers 
Aaron Rodgers,Mike Davis,Jerick McKinnon,Davante Adams,Darius Slayton,Curtis Samuel,Eric Ebron,Tyler Boyd,Dolphins 
Russell Wilson,Mike Davis,Joe Mixon,Tyler Lockett,Brandin Cooks,DJ Chark Jr.,Mike Gesicki,Nick Chubb,Chargers 
Justin Herbert,Mike Davis,Leonard Fournette,Davante Adams,Christian Kirk,Mike Williams,Rob Gronkowski,Travis Fulgham,Giants 
Derek Carr,Aaron Jones,Melvin Gordon III,Davante Adams,Henry Ruggs III,Tee Higgins,Robert Tonyan,Chris Carson,Buccaneers 
Daniel Jones,Aaron Jones,Kenyan Drake,Davante Adams,Sterling Shepard,Tim Patrick,Jared Cook,Kareem Hunt,Broncos 
Matthew Stafford,Alvin Kamara,Darrell Henderson Jr.,Davante Adams,A.J. Green,Brandon Aiyuk,Jacob Hollister,Marvin Jones Jr.,WAS Football Team 
Drew Brees,Alvin Kamara,Joshua Kelley,Davante Adams,Cole Beasley,Emmanuel Sanders,Tyler Higbee,Mike Evans,Texans 
Baker Mayfield,Alvin Kamara,J.D. McKissic,Davante Adams,Rashard Higgins,Antonio Brown,Tyler Eifert,Ronald Jones II,Seahawks 
Jake Luton,Alvin Kamara,Chase Edmonds,Keelan Cole,Larry Fitzgerald,Davante Adams,Jordan Reed,Nelson Agholor,Panthers 
Ben Roethlisberger,Alvin Kamara,Jamaal Williams,Josh Reynolds,Davante Adams,James Washington,Jordan Akins,Phillip Lindsay,Raiders 
Tua Tagovailoa,Alvin Kamara,Wayne Gallman Jr.,Davante Adams,Hunter Renfrow,Mack Hollins,Drew Sample,Zack Moss,Bills 
Nick Mullens,Alvin Kamara,Devin Singletary,Davante Adams,Laviska Shenault Jr.,KJ Hamler,Gerald Everett,Richie James,Cardinals 
