Player_Name,Salary,Team,Pos,Opp,Proj_FP
Mike Weber,200.00,GBP,RB,IND,0.69
Philip Rivers,5600.00,IND,QB,GBP,18.61
Justin Herbert,6800.00,LAC,QB,NYJ,22.48
Tua Tagovailoa,5800.00,MIA,QB,DEN,18.96
Denzel Mims,3300.00,NYJ,WR,LAC,10.47
Andy Dalton,5300.00,DAL,QB,MIN,16.44
Drew Lock,5400.00,DEN,QB,MIA,16.48
Jakeem Grant,3500.00,MIA,WR,DEN,10.46
Kirk Cousins,6200.00,MIN,QB,DAL,18.5
Aaron Rodgers,7000.00,GBP,QB,IND,20.57
Joe Flacco,5000.00,NYJ,QB,LAC,14.43
Denver Broncos,2400.00,DEN,DST,MIA,6.79
Dalvin Cook,9000.00,MIN,RB,DAL,25.06
Amari Cooper,5400.00,DAL,WR,MIN,14.96
Kalen Ballage,5600.00,LAC,RB,NYJ,15.09
Justin Jefferson,6000.00,MIN,WR,DAL,16.15
Melvin Gordon,5100.00,DEN,RB,MIA,13.71
New York Jets,2000.00,NYJ,DST,LAC,5.33
Keenan Allen,7400.00,LAC,WR,NYJ,19.55
DeVante Parker,5700.00,MIA,WR,DEN,14.97
Adam Thielen,6300.00,MIN,WR,DAL,16.55
Michael Gallup,3700.00,DAL,WR,MIN,9.68
Noah Fant,4500.00,DEN,TE,MIA,11.74
Davante Adams,8600.00,GBP,WR,IND,22.36
Michael Pittman,4500.00,IND,WR,GBP,11.4
Ezekiel Elliott,6500.00,DAL,RB,MIN,16.27
KJ Hamler,3600.00,DEN,WR,MIA,8.97
La'Mical Perine,4400.00,NYJ,RB,LAC,10.88
Breshad Perriman,4300.00,NYJ,WR,LAC,10.63
Aaron Jones,7200.00,GBP,RB,IND,17.61
Miami Dolphins,3400.00,MIA,DST,DEN,8.3
Hunter Henry,4600.00,LAC,TE,NYJ,11.23
Robert Tonyan,3200.00,GBP,TE,IND,7.78
T.Y. Hilton,4200.00,IND,WR,GBP,10.02
Mike Williams,5100.00,LAC,WR,NYJ,12.09
CeeDee Lamb,5000.00,DAL,WR,MIN,11.63
Jerry Jeudy,5300.00,DEN,WR,MIA,12.31
Jamison Crowder,6100.00,NYJ,WR,LAC,14.17
Salvon Ahmed,4800.00,MIA,RB,DEN,11.15
