Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2382219314,Roadking801,0,214.58,QB Patrick Mahomes RB Nick Chubb RB Nyheim Hines FLEX Frank Gore WR Tyreek Hill WR Justin Jefferson WR Sterling Shepard TE Evan Engram DST Raiders ,,Dalvin Cook,RB,41.50%,11.2
2,2382220771,GGarcia51,0,206.87999,QB Ryan Fitzpatrick RB Nick Chubb RB Nyheim Hines WR Tyreek Hill FLEX A.J. Brown WR DeVante Parker WR Nelson Agholor TE Mike Gesicki DST Giants ,,Saints ,DST,32.00%,14
3,2382286644,DarkChild85,0,198.81999,QB Daniel Jones RB Wayne Gallman Jr. RB Le'Veon Bell WR Tyreek Hill WR Justin Jefferson WR Robby Anderson FLEX DeVante Parker TE Evan Engram DST Rams ,,Nyheim Hines,RB,27.00%,17.5
4,2382084107,madgreyster,0,192.07999,QB Patrick Mahomes RB Nick Chubb RB James White WR Tyreek Hill WR Antonio Brown FLEX Russell Gage WR Gabriel Davis TE Travis Kelce DST Jets ,,DeVante Parker,WR,24.50%,22.9
5,2381924339,Jondrea80,0,188.88,QB Patrick Mahomes RB Wayne Gallman Jr. RB Brian Hill FLEX Tyreek Hill WR Justin Jefferson WR Mike Evans WR Sammy Watkins TE Darren Waller DST Jets ,,Nick Chubb,RB,24.00%,29.6
6,2381992891,trevor03599,0,186.48,QB Patrick Mahomes RB Wayne Gallman Jr. FLEX Nyheim Hines RB Brian Hill WR Tyreek Hill WR DeVante Parker WR Jamison Crowder TE Travis Kelce DST Broncos ,,Darren Waller,TE,21.50%,6.3
6,2382195575,davebla,0,186.48,QB Ryan Fitzpatrick FLEX Nick Chubb RB James Robinson RB Nyheim Hines WR Justin Jefferson WR DeVante Parker WR Robert Woods TE Mike Gesicki DST Dolphins ,,Wayne Gallman Jr.,FLEX,20.50%,18.1
8,2382169910,Richgalusha62,0,185.30002,QB Tom Brady RB Ronald Jones II RB Austin Ekeler WR Tyreek Hill WR Mike Evans WR Antonio Brown FLEX N'Keal Harry TE Rob Gronkowski DST Saints ,,Justin Jefferson,WR,19.50%,26
9,2382121800,Smooovely,0,184.28001,QB Patrick Mahomes RB Nyheim Hines RB James White WR Tyreek Hill FLEX Cole Beasley WR Sammy Watkins WR Demarcus Robinson TE Travis Kelce DST Dolphins ,,Brian Hill,FLEX,19.50%,5.5
10,2382218198,psuman316,0,183.98001,QB Patrick Mahomes FLEX Wayne Gallman Jr. RB Nyheim Hines RB Matt Breida WR Tyreek Hill WR Calvin Ridley WR Demarcus Robinson TE Darren Waller DST Saints ,,Travis Kelce,TE,19.00%,16.2
11,2381907164,Walleye_Man1875,0,180.97998,QB Ryan Fitzpatrick RB Giovani Bernard RB Jordan Wilkins WR Tyreek Hill FLEX Calvin Ridley WR DeVante Parker WR Nelson Agholor TE Evan Engram DST Saints ,,Patrick Mahomes,QB,18.00%,35.28
12,2382129078,PowersMD,0,174.78001,QB Patrick Mahomes RB Dalvin Cook RB Phillip Lindsay WR Tyreek Hill WR Deebo Samuel WR Mike Williams FLEX Hunter Henry TE Kyle Rudolph DST Vikings ,,Tyreek Hill,WR,18.00%,60.9
13,2382093240,JuddyLove,0,174.30002,QB Derek Carr RB Kenyan Drake RB Zack Moss WR Tyreek Hill WR Calvin Ridley WR DJ Moore FLEX Mike Evans TE Rob Gronkowski DST Bengals ,,Nelson Agholor,WR,15.50%,10.4
14,2381787077,bsm80,0,173.92,QB Daniel Jones RB Nick Chubb RB Nyheim Hines WR Keenan Allen FLEX Tyreek Hill WR Breshad Perriman WR Keelan Cole Sr. TE Travis Kelce DST Broncos ,,Derek Carr,QB,15.00%,4.6
15,2382196677,cbfoo,0,172.78001,QB Patrick Mahomes RB Dalvin Cook RB Nick Chubb FLEX Brian Hill WR Tyreek Hill WR Michael Pittman Jr. WR Gabriel Davis TE Gerald Everett DST Vikings ,,Josh Allen,QB,15.00%,17.48
16,2382179706,KHJarheads,0,172.18,QB Patrick Mahomes RB Kenyan Drake FLEX Melvin Gordon III RB Devin Singletary WR Tyreek Hill WR Tee Higgins WR Sammy Watkins TE Travis Kelce DST Colts ,,Calvin Ridley,WR,14.00%,17
17,2382110147,ace2623,0,170.58002,QB Patrick Mahomes RB Dalvin Cook RB Wayne Gallman Jr. FLEX Nyheim Hines WR Tyreek Hill WR Antonio Brown WR Denzel Mims TE Kyle Rudolph DST Browns ,,Stefon Diggs,WR,12.00%,10.9
18,2381985743,Nicerings,0,170,QB Matt Ryan RB Nick Chubb RB Wayne Gallman Jr. WR Calvin Ridley WR DeVante Parker WR Jarvis Landry FLEX Darren Waller TE Evan Engram DST Giants ,,Kyle Rudolph,TE,12.00%,13.8
19,2382064084,PEARL1313,0,169.84001,QB Justin Herbert RB James Robinson RB Wayne Gallman Jr. FLEX Jordan Wilkins WR Keenan Allen WR Robert Woods WR Deebo Samuel TE Rob Gronkowski DST Saints ,,Kareem Hunt,RB,12.00%,6.2
20,2381781273,TeamLowe,0,169.18,QB Patrick Mahomes RB Sony Michel RB Matt Breida WR Tyreek Hill WR Mike Evans WR Chris Godwin FLEX Sammy Watkins TE Travis Kelce DST Vikings ,,Cole Beasley,WR,12.00%,9.3
21,2381788839,Joe0171,0,167.78001,QB Patrick Mahomes RB Clyde Edwards-Helaire RB Ronald Jones II WR Tyreek Hill WR Demarcus Robinson WR A.J. Green FLEX Travis Kelce TE Rob Gronkowski DST Vikings ,,Cooper Kupp,WR,11.50%,6.1
22,2381962768,moose44bjm,0,167.27998,QB Patrick Mahomes RB Alvin Kamara RB Derrick Henry WR Calvin Ridley WR Mike Evans WR Breshad Perriman FLEX Keelan Cole Sr. TE Anthony Firkser DST Falcons ,,Josh Jacobs,RB,11.50%,6.4
23,2382010631,chenken007,0,166.78,QB Patrick Mahomes FLEX Nick Chubb RB Latavius Murray RB Jordan Wilkins WR Justin Jefferson WR Damiere Byrd WR Olamide Zaccheaus TE Travis Kelce DST Saints ,,Giants ,DST,11.50%,9
23,2382100498,G.O.A.T,0,166.78,QB Patrick Mahomes RB Dalvin Cook RB Nyheim Hines FLEX Brian Hill WR Tyreek Hill WR Stefon Diggs WR Laviska Shenault Jr. TE Kyle Rudolph DST Vikings ,,DJ Moore,WR,11.00%,10.1
25,2381772846,booneknows,0,164.2,QB Derek Carr FLEX James Robinson RB Austin Ekeler RB Kareem Hunt WR Justin Jefferson WR DeVante Parker WR Robert Woods TE Evan Engram DST Saints ,,Hunter Henry,TE,11.00%,13.7
26,2381784908,draftqueen321,0,163.98,QB Patrick Mahomes RB Ronald Jones II RB Le'Veon Bell WR Tyreek Hill WR Jamison Crowder WR Josh Reynolds TE Travis Kelce FLEX Jason Witten DST Dolphins ,,Ryan Fitzpatrick,QB,11.00%,19.28
27,2382246244,jfrenna,0,161,QB Derek Carr RB Wayne Gallman Jr. RB Jordan Wilkins WR Keenan Allen WR Tyreek Hill WR Stefon Diggs FLEX Breshad Perriman TE Evan Engram DST Giants ,,Keenan Allen,WR,11.00%,16
28,2382292872,Porridge,0,160.50002,QB Matt Ryan RB Nyheim Hines RB Brian Hill WR Keenan Allen WR Tyreek Hill WR Stefon Diggs FLEX Calvin Ridley TE Kyle Rudolph DST Broncos ,,Keelan Cole Sr.,WR,10.50%,7.4
29,2381974138,WitasM,0,160.48001,QB Ryan Fitzpatrick FLEX Dalvin Cook RB Nick Chubb RB Nyheim Hines WR Justin Jefferson WR DeVante Parker WR Denzel Mims TE Austin Hooper DST Saints ,,Michael Pittman Jr.,WR,10.50%,4.8
30,2382056959,Gansett123,0,160.3,QB Matt Ryan RB Derrick Henry RB Mike Davis FLEX James Robinson WR DeVante Parker WR Christian Kirk WR Jarvis Landry TE Jonnu Smith DST Jaguars ,,Curtis Samuel,WR,10.50%,12.7
31,2381995568,BriereBear,0,160.18,QB Josh Allen RB Kareem Hunt RB Nyheim Hines WR Tyreek Hill FLEX Calvin Ridley WR Nelson Agholor WR Keelan Cole Sr. TE Darren Waller DST 49ers ,,Laviska Shenault Jr.,WR,10.00%,6.7
32,2382283478,spottratz1,0,159.7,QB Derek Carr RB Dalvin Cook RB Nyheim Hines WR Tyreek Hill FLEX DeVante Parker WR Corey Davis WR Michael Pittman Jr. TE Kyle Rudolph DST Saints ,,James Robinson,FLEX,10.00%,29.9
33,2381910251,dantrust,0,159.56001,QB Cam Newton RB Josh Jacobs RB James Robinson FLEX Justin Jefferson WR DeVante Parker WR Jarvis Landry WR Sterling Shepard TE Austin Hooper DST Saints ,,Austin Ekeler,RB,8.50%,23.9
34,2382062133,travfromsc,0,159.48,QB Ryan Fitzpatrick RB Dalvin Cook RB Austin Ekeler WR Calvin Ridley WR Justin Jefferson FLEX DeVante Parker WR Keelan Cole Sr. TE Jordan Reed DST Falcons ,,Antonio Brown,WR,8.50%,3.1
35,2381770014,igrin27,0,158.88,QB Ryan Fitzpatrick RB Josh Jacobs FLEX James Robinson RB Nyheim Hines WR Justin Jefferson WR DeVante Parker WR Laviska Shenault Jr. TE Travis Kelce DST Saints ,,Rob Gronkowski,TE,8.50%,19.6
36,2381763532,oldschool125,0,158.78,QB Patrick Mahomes RB Nick Chubb RB Melvin Gordon III FLEX Royce Freeman WR Tyreek Hill WR Stefon Diggs WR Russell Gage TE Gerald Everett DST Broncos ,,Robert Woods,WR,8.50%,15.8
37,2381836342,greendose,0,157.95999,QB Cam Newton RB Dalvin Cook RB Nyheim Hines FLEX Brian Hill WR Tyreek Hill WR Justin Jefferson WR Nelson Agholor TE Mike Gesicki DST Jets ,,Robby Anderson,WR,8.00%,19.4
38,2381790934,Socky,0,157.09999,QB Tom Brady RB Damien Harris RB Kenyan Drake FLEX Justin Jefferson WR Mike Evans WR Chris Godwin WR Antonio Brown TE Rob Gronkowski DST Rams ,,Evan Engram,TE,8.00%,20.9
39,2382284766,bergi77,0,156.98,QB Patrick Mahomes RB Alvin Kamara FLEX James Robinson RB Brian Hill WR Robby Anderson WR DeVante Parker WR Corey Davis TE Kyle Rudolph DST Saints ,,Justin Herbert,QB,8.00%,20.44
40,2382175175,nbhaber,0,156.88,QB Ryan Fitzpatrick FLEX Dalvin Cook RB Wayne Gallman Jr. RB Brian Hill WR Tyreek Hill WR DeVante Parker WR Laviska Shenault Jr. TE Darren Waller DST Bills ,,Derrick Henry,RB,7.50%,41.5
