Player_Name,Salary,Team,Pos,Opp,Proj_FP
Robert Griffin III,9000,BAL,QB,PIT,15.76
Ben Roethlisberger,16500,PIT,QB,BAL,17.97
Marquise Brown,7800,BAL,WR,PIT,11.53
JuJu Smith-Schuster,11400,PIT,WR,BAL,14.11
Benny Snell,2400,PIT,RB,BAL,12.17
Diontae Johnson,15000,PIT,WR,BAL,14.35
Chase Claypool,14400,PIT,WR,BAL,13.38
Eric Ebron,8400,PIT,TE,BAL,8.29
J.K. Dobbins,10200,BAL,RB,PIT,11.52
Baltimore Ravens,3600,BAL,DST,PIT,6.62
Dez Bryant,4800,BAL,WR,PIT,6.72
Devin Duvernay,1500,BAL,WR,PIT,5.81
Luke Willson,300,BAL,TE,PIT,5.27
Pittsburgh Steelers,8100,PIT,DST,BAL,7.57
Miles Boykin,300,BAL,WR,PIT,4.04
Anthony McFarland,900,PIT,RB,BAL,5.10
Mark Ingram,6900,BAL,RB,PIT,5.17
James Washington,1800,PIT,WR,BAL,3.18
Vance McDonald,300,PIT,TE,BAL,2.38
Gus Edwards,12300,BAL,RB,PIT,3.49
Ray-Ray McCloud,300,PIT,WR,BAL,1.55
James Proche,300,BAL,WR,PIT,1.20
Justice Hill,300,BAL,RB,PIT,0.39
