Player_Name,Salary,Team,Pos,Opp,Proj_FP
Eric Tomlinson,200.00,BAL,TE,CLE,1.03
Dallas Cowboys,2400.00,DAL,DST,CIN,9.04
Matt Ryan,5700.00,ATL,QB,LAC,20.44
Jalen Hurts,5100.00,PHI,QB,NOS,17.89
Mitchell Trubisky,5600.00,CHI,QB,HOU,19.27
Nick Mullens,5100.00,SFO,QB,WAS,17.3
Drew Lock,5100.00,DEN,QB,CAR,17.14
Teddy Bridgewater,5800.00,CAR,QB,DEN,19.42
Philadelphia Eagles,2200.00,PHI,DST,NOS,7.38
Andy Dalton,5500.00,DAL,QB,CIN,18.33
Tua Tagovailoa,5400.00,MIA,QB,KCC,17.89
Philip Rivers,5900.00,IND,QB,LVR,19.37
Mike Glennon,5100.00,JAC,QB,TEN,16.7
Matthew Stafford,5700.00,DET,QB,GBP,18.57
Brandon Allen,4900.00,CIN,QB,DAL,15.79
Patrick Mahomes,8100.00,KCC,QB,MIA,26.11
Derek Carr,6000.00,LVR,QB,IND,19.24
Daniel Jones,5500.00,NYG,QB,ARI,17.64
Taysom Hill,6600.00,NOS,QB,PHI,21.1
Jordan Akins,2900.00,HOU,TE,CHI,9.27
Lamar Jackson,7000.00,BAL,QB,CLE,22.35
Ryan Tannehill,6700.00,TEN,QB,JAC,21.34
Russell Wilson,7900.00,SEA,QB,NYJ,25.03
Justin Herbert,6800.00,LAC,QB,ATL,21.35
Arizona Cardinals,2700.00,ARI,DST,NYG,8.4
Kyler Murray,7200.00,ARI,QB,NYG,22.22
San Francisco 49ers,2700.00,SFO,DST,WAS,8.32
Aaron Rodgers,7500.00,GBP,QB,DET,22.99
Tom Brady,6900.00,TBB,QB,MIN,21.07
A.J. Green,3000.00,CIN,WR,DAL,9.08
Sam Darnold,5100.00,NYJ,QB,SEA,15.45
Seattle Seahawks,3000.00,SEA,DST,NYJ,9.04
Kirk Cousins,6200.00,MIN,QB,TBB,18.65
J.D. McKissic,4900.00,WAS,RB,SFO,14.59
Jared Goff,6200.00,LAR,QB,NEP,18.49
Josh Allen,7100.00,BUF,QB,PIT,20.94
Curtis Samuel,5200.00,CAR,WR,DEN,15.24
Houston Texans,2600.00,HOU,DST,CHI,7.57
Alex Smith,5200.00,WAS,QB,SFO,15.11
Cam Newton,5900.00,NEP,QB,LAR,16.89
Denzel Mims,4100.00,NYJ,WR,SEA,11.74
Tennessee Titans,3100.00,TEN,DST,JAC,8.84
Deshaun Watson,7600.00,HOU,QB,CHI,21.57
New York Giants,2600.00,NYG,DST,ARI,7.35
Ben Roethlisberger,6700.00,PIT,QB,BUF,18.99
