Player_Name,Salary,Team,Pos,Opp,Proj_FP
Deshaun Watson,10800,HOU,QB,IND,22.64
Philip Rivers,10200,IND,QB,HOU,19.30
Jordan Akins,5000,HOU,TE,IND,8.56
Brandin Cooks,9400,HOU,WR,IND,17.50
Zach Pascal,2400,IND,WR,HOU,8.33
Keke Coutee,7200,HOU,WR,IND,13.62
Jonathan Taylor,11200,IND,RB,HOU,17.66
Trey Burton,4200,IND,TE,HOU,6.73
T.Y. Hilton,9800,IND,WR,HOU,12.72
Chad Hansen,6200,HOU,WR,IND,9.47
Indianapolis Colts,4600,IND,DST,HOU,8.10
Michael Pittman,6600,IND,WR,HOU,10.45
Mo Alie-Cox,1000,IND,TE,HOU,5.46
David Johnson,5800,HOU,RB,IND,11.04
Nyheim Hines,8000,IND,RB,HOU,11.11
Houston Texans,2800,HOU,DST,IND,4.79
Jack Doyle,1600,IND,TE,HOU,4.21
Gregory Howell,800,HOU,RB,IND,5.08
Darren Fells,1200,HOU,TE,IND,3.01
Jordan Wilkins,400,IND,RB,HOU,3.11
Kahale Warring,200,HOU,TE,IND,1.93
Steven Mitchell,600,HOU,WR,IND,2.16
Marcus Johnson,200,IND,WR,HOU,1.52
Ashton Dulin,200,IND,WR,HOU,1.29
Scottie Phillips,200,HOU,RB,IND,0.89
Isaiah Coulter,200,HOU,WR,IND,0.24
