Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2427315932,Carioca,0,67.6,CPT Lamar Jackson FLEX Gardner Minshew II FLEX Mark Andrews FLEX Keelan Cole Sr. FLEX Laviska Shenault Jr. FLEX James O'Shaughnessy,,Lamar Jackson,CPT,76.92%,25.68
2,2427442235,ricdnyc,0,59.499996,CPT Lamar Jackson FLEX Gardner Minshew II FLEX J.K. Dobbins FLEX Marquise Brown FLEX Jaguars  FLEX Chris Conley,,J.K. Dobbins,FLEX,73.08%,1.3
3,2427338253,bayej,0,59.08,CPT Lamar Jackson FLEX Mark Andrews FLEX Marquise Brown FLEX Laviska Shenault Jr. FLEX Tyler Eifert FLEX Justin Tucker,,James Robinson,FLEX,46.15%,10.4
4,2427469226,peck1975,0,53.579998,CPT Lamar Jackson FLEX J.K. Dobbins FLEX Marquise Brown FLEX Gus Edwards FLEX Tyler Eifert FLEX Chris Conley,,Ravens ,FLEX,46.15%,3
5,2427452309,jerrydemo,0,52.869995,CPT Marquise Brown FLEX James Robinson FLEX Gardner Minshew II FLEX Mark Andrews FLEX Ravens  FLEX Justin Tucker,,Mark Andrews,FLEX,42.31%,11.1
6,2427470361,Ncrooster6670,0,52,CPT Lamar Jackson FLEX Gardner Minshew II FLEX J.K. Dobbins FLEX Willie Snead IV FLEX Laviska Shenault Jr. FLEX Dez Bryant,,Gus Edwards,CPT,42.31%,9.15
7,2427426117,lapacker818310,0,49.920002,CPT Justin Tucker FLEX Lamar Jackson FLEX James Robinson FLEX Mark Andrews FLEX Marquise Brown FLEX Aldrick Rosas,,Justin Tucker,FLEX,30.77%,2
8,2427403788,ndesmarais15,0,48.480003,CPT Lamar Jackson FLEX James Robinson FLEX J.K. Dobbins FLEX Mark Andrews FLEX Collin Johnson FLEX Devin Duvernay,,Keelan Cole Sr.,FLEX,30.77%,4.2
9,2427455211,iamceo208,0,44.32,CPT Ravens  FLEX Lamar Jackson FLEX J.K. Dobbins FLEX Mark Andrews FLEX Gus Edwards FLEX Keelan Cole Sr.,,DJ Chark Jr.,FLEX,30.77%,5.1
10,2427464769,AyeDoon92,0,42.37,CPT DJ Chark Jr. FLEX Lamar Jackson FLEX James Robinson FLEX J.K. Dobbins FLEX Tyler Eifert FLEX Miles Boykin,,Marquise Brown,FLEX,30.77%,6.3
11,2427285222,ggutshall360,0,42.28,CPT Lamar Jackson FLEX J.K. Dobbins FLEX Willie Snead IV FLEX Keelan Cole Sr. FLEX Laviska Shenault Jr. FLEX Ravens ,,Willie Snead IV,FLEX,26.92%,0
12,2427404414,kisselj22,0,41.42,CPT Ravens  FLEX Lamar Jackson FLEX James Robinson FLEX J.K. Dobbins FLEX Gus Edwards FLEX Justin Tucker,,Tyler Eifert,FLEX,19.23%,5.9
13,2427401305,bearmtn69,0,40.47,CPT J.K. Dobbins FLEX Lamar Jackson FLEX Mark Andrews FLEX Gus Edwards FLEX Keelan Cole Sr. FLEX Miles Boykin,,Gardner Minshew II,FLEX,19.23%,16.92
14,2427360627,Steelers1194,0,40.32,CPT Ravens  FLEX Lamar Jackson FLEX James Robinson FLEX Marquise Brown FLEX Willie Snead IV FLEX Justin Tucker,,Miles Boykin,FLEX,19.23%,0
15,2427202942,32domthebomb,0,39.38,CPT Lamar Jackson FLEX James Robinson FLEX J.K. Dobbins FLEX Willie Snead IV FLEX Justin Tucker FLEX Devin Duvernay,,Laviska Shenault Jr.,FLEX,15.38%,8.1
16,2427427846,Ccamaren29,0,39.120003,CPT Ravens  FLEX Lamar Jackson FLEX J.K. Dobbins FLEX Gus Edwards FLEX Keelan Cole Sr. FLEX Tyler Eifert,,Devin Duvernay,FLEX,11.54%,0
17,2427303878,jmbrow936,0,38.65,CPT J.K. Dobbins FLEX James Robinson FLEX Mark Andrews FLEX DJ Chark Jr. FLEX Keelan Cole Sr. FLEX Tyler Eifert,,Jaguars ,FLEX,7.69%,1
18,2427360202,marsha59,0,37.77,CPT Marquise Brown FLEX Lamar Jackson FLEX DJ Chark Jr. FLEX Gus Edwards FLEX Willie Snead IV FLEX Miles Boykin,,Chris Conley,FLEX,7.69%,8.3
