Player_Name,Salary,Team,Pos,Opp,Proj_FP
Colt McCoy,8600,NYG,QB,CLE,15.61
Baker Mayfield,10600,CLE,QB,NYG,16.70
Darius Slayton,6200,NYG,WR,CLE,10.79
Sterling Shepard,7200,NYG,WR,CLE,12.30
Ja'Marcus Bradley,200,CLE,WR,NYG,0.51
Golden Tate,2400,NYG,WR,CLE,8.87
Evan Engram,5000,NYG,TE,CLE,10.37
Wayne Gallman,8800,NYG,RB,CLE,13.87
New York Giants,4000,NYG,DST,CLE,6.44
Kareem Hunt,7000,CLE,RB,NYG,12.02
Cleveland Browns,5600,CLE,DST,NYG,7.87
Austin Hooper,4200,CLE,TE,NYG,7.55
Jarvis Landry,9800,CLE,WR,NYG,14.24
Rashard Higgins,8200,CLE,WR,NYG,9.30
Nick Chubb,11200,CLE,RB,NYG,15.91
Harrison Bryant,3200,CLE,TE,NYG,5.16
Donovan Peoples-Jones,4600,CLE,WR,NYG,5.33
Kaden Smith,400,NYG,TE,CLE,2.63
Alfred Morris,1000,NYG,RB,CLE,3.90
Dion Lewis,1600,NYG,RB,CLE,3.74
David Njoku,3400,CLE,TE,NYG,2.05
Khadarel Hodge,600,CLE,WR,NYG,1.99
Austin Mack,200,NYG,WR,CLE,1.03
Levine Toilolo,200,NYG,TE,CLE,0.79
C.J. Board,200,NYG,WR,CLE,0.51
D'Ernest Johnson,200,CLE,RB,NYG,0.26
