Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Drew Brees,5700,NOS,QB,CHI,19.14,17.40%
Ben Roethlisberger,6100,PIT,QB,CLE,20.07,20.60%
Lamar Jackson,7800,BAL,QB,TEN,25.43,30.40%
Mitchell Trubisky,5300,CHI,QB,NOS,16.98,13.00%
Tennessee Titans,2200,TEN,DST,BAL,7.04,22.80%
Michael Thomas,6300,NOS,WR,CHI,19.44,41.20%
Corey Davis,4800,TEN,WR,BAL,14.66,32.60%
Baker Mayfield,5400,CLE,QB,PIT,15.82,8.70%
Mark Andrews,5200,BAL,TE,TEN,15.18,28.80%
Ryan Tannehill,6600,TEN,QB,BAL,18.74,9.80%
Jonnu Smith,3200,TEN,TE,BAL,8.87,19.10%
Marquise Brown,5400,BAL,WR,TEN,14.79,29.30%
JuJu Smith-Schuster,5500,PIT,WR,CLE,14.80,30.90%
Diontae Johnson,6200,PIT,WR,CLE,16.47,30.90%
Alvin Kamara,8500,NOS,RB,CHI,22.06,51.60%
Cole Kmet,3000,CHI,TE,NOS,7.77,9.20%
Eric Ebron,3700,PIT,TE,CLE,9.55,14.90%
Chase Claypool,5200,PIT,WR,CLE,13.43,22.40%
Allen Robinson,6500,CHI,WR,NOS,16.60,31.90%
David Montgomery,6900,CHI,RB,NOS,17.54,39.20%
Jarvis Landry,5800,CLE,WR,PIT,14.64,25.50%
Derrick Henry,9200,TEN,RB,BAL,22.77,47.80%
James Conner,5000,PIT,RB,CLE,12.31,26.00%
Anthony Miller,3300,CHI,WR,NOS,8.08,26.40%
Austin Hooper,3900,CLE,TE,PIT,9.39,12.40%
A.J. Brown,7000,TEN,WR,BAL,16.80,26.20%
Baltimore Ravens,3300,BAL,DST,TEN,7.90,10.90%
Cleveland Browns,2500,CLE,DST,PIT,5.75,12.90%
Gus Edwards,4400,BAL,RB,TEN,9.78,17.60%
Kareem Hunt,4800,CLE,RB,PIT,10.38,20.30%
Emmanuel Sanders,5000,NOS,WR,CHI,10.56,12.80%
Rashard Higgins,4100,CLE,WR,PIT,8.48,11.00%
Chicago Bears,2800,CHI,DST,NOS,5.74,12.90%
Pittsburgh Steelers,3600,PIT,DST,CLE,7.27,20.80%
Nick Chubb,6700,CLE,RB,PIT,13.13,21.70%
Jared Cook,4600,NOS,TE,CHI,8.87,6.70%
J.K. Dobbins,6600,BAL,RB,TEN,12.09,17.60%
New Orleans Saints,3800,NOS,DST,CHI,6.69,19.80%
Jimmy Graham,3300,CHI,TE,NOS,5.71,1.60%
Latavius Murray,4500,NOS,RB,CHI,7.47,9.50%
Marquez Callaway,3100,NOS,WR,CHI,4.90,1.80%
Anthony Firkser,2700,TEN,TE,BAL,4.26,5.80%
Miles Boykin,3400,BAL,WR,TEN,5.29,1.80%
Donovan Peoples-Jones,3200,CLE,WR,PIT,4.95,4.50%
Dez Bryant,3000,BAL,WR,TEN,4.53,2.70%
Willie Snead,3500,BAL,WR,TEN,4.86,1.80%
Cordarrelle Patterson,3000,CHI,WR,NOS,3.89,0.10%
Taysom Hill,5000,NOS,QB,CHI,6.29,0.10%
Benny Snell,4200,PIT,RB,CLE,5.31,0.10%
James Washington,3000,PIT,WR,CLE,3.72,0.90%
Cameron Batson,3000,TEN,WR,BAL,3.31,0.10%
David Njoku,2800,CLE,TE,PIT,2.99,3.30%
Javon Wims,3000,CHI,WR,NOS,3.22,1.80%
Harrison Bryant,2600,CLE,TE,PIT,2.57,0.10%
Devin Duvernay,3000,BAL,WR,TEN,2.88,0.90%
Vance McDonald,2900,PIT,TE,CLE,2.57,0.90%
Geoff Swaim,2500,TEN,TE,BAL,2.17,1.60%
Ray-Ray McCloud,3000,PIT,WR,CLE,1.94,0.90%
Ja'Marcus Bradley,3000,CLE,WR,PIT,1.88,0.10%
Mark Ingram,4000,BAL,RB,TEN,2.53,0.10%
Nick Westbrook-Ikhine,3000,TEN,WR,BAL,1.70,0.10%
Riley Ridley,3000,CHI,WR,NOS,1.64,0.10%
Adam Trautman,2500,NOS,TE,CHI,1.27,1.60%
Eric Tomlinson,2500,BAL,TE,TEN,1.07,0.10%
Kalif Raymond,3000,TEN,WR,BAL,1.18,0.10%
Austin Carr,3000,NOS,WR,CHI,0.96,0.10%
Anthony McFarland,4000,PIT,RB,CLE,1.15,2.70%
Darrynton Evans,4000,TEN,RB,BAL,0.90,0.10%
Lil'Jordan Humphrey,3000,NOS,WR,CHI,0.58,0.10%
Juwan Johnson,3000,NOS,WR,CHI,0.52,0.10%
Jeremy McNichols,4000,TEN,RB,BAL,0.60,0.10%
Ryan Nall,4000,CHI,RB,NOS,0.48,0.10%
D'Ernest Johnson,4000,CLE,RB,PIT,0.36,0.10%
Chris Moore,3000,BAL,WR,TEN,0.27,0.10%
Artavis Pierce,4000,CHI,RB,NOS,0.35,0.10%
Dwayne Washington,4000,NOS,RB,CHI,0.33,0.10%
