CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16103551,16103533,16103527,16103534,16103529,16103530,,1. Locate the player you want to select in the list below ,,,,,,,,
16103551,16103527,16103534,16103532,16103529,16103530,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16103527,16103541,16103533,16103532,16103530,16103550,,3. Paste the ID into the roster position desired ,,,,,,,,
16103550,16103533,16103527,16103534,16103532,16103529,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16103527,16103541,16103533,16103532,16103529,16103553,,5. You can create up to 500 lineups per file ,,,,,,,,
16103533,16103541,16103527,16103529,16103530,16103551,,,,,,,,,,
16103534,16103533,16103527,16103529,16103535,16103556,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16103532,16103541,16103527,16103529,16103530,16103551,,QB,Russell Wilson (16103527),Russell Wilson,16103527,CPT,16500,LAR@SEA 01/09/2021 04:40PM ET,SEA,24.49
16103529,16103533,16103534,16103532,16103535,16103551,,QB,Jared Goff (16103528),Jared Goff,16103528,CPT,15000,LAR@SEA 01/09/2021 04:40PM ET,LAR,18.33
16103530,16103541,16103533,16103527,16103529,16103551,,WR,DK Metcalf (16103529),DK Metcalf,16103529,CPT,14700,LAR@SEA 01/09/2021 04:40PM ET,SEA,17.96
16103533,16103541,16103527,16103532,16103529,16103548,,WR,Tyler Lockett (16103530),Tyler Lockett,16103530,CPT,14400,LAR@SEA 01/09/2021 04:40PM ET,SEA,16.96
16103534,16103533,16103527,16103530,16103535,16103555,,QB,John Wolford (16103531),John Wolford,16103531,CPT,14100,LAR@SEA 01/09/2021 04:40PM ET,LAR,13.84
16103535,16103533,16103527,16103534,16103529,16103556,,WR,Robert Woods (16103532),Robert Woods,16103532,CPT,13200,LAR@SEA 01/09/2021 04:40PM ET,LAR,15.76
16103533,16103527,16103532,16103529,16103540,16103550,,RB,Cam Akers (16103533),Cam Akers,16103533,CPT,12900,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.82
16103534,16103533,16103528,16103530,16103535,16103551,,RB,Chris Carson (16103534),Chris Carson,16103534,CPT,12300,LAR@SEA 01/09/2021 04:40PM ET,SEA,15.65
16103541,16103533,16103534,16103532,16103530,16103535,,WR,Cooper Kupp (16103535),Cooper Kupp,16103535,CPT,11700,LAR@SEA 01/09/2021 04:40PM ET,LAR,14.58
16103553,16103533,16103527,16103532,16103529,16103530,,QB,Russell Wilson (16103482),Russell Wilson,16103482,FLEX,11000,LAR@SEA 01/09/2021 04:40PM ET,SEA,24.49
16103548,16103533,16103527,16103532,16103529,16103535,,QB,Jared Goff (16103483),Jared Goff,16103483,FLEX,10000,LAR@SEA 01/09/2021 04:40PM ET,LAR,18.33
16103527,16103533,16103529,16103530,16103551,16103549,,WR,Josh Reynolds (16103536),Josh Reynolds,16103536,CPT,9900,LAR@SEA 01/09/2021 04:40PM ET,LAR,7.83
16103533,16103527,16103534,16103529,16103535,16103566,,WR,DK Metcalf (16103484),DK Metcalf,16103484,FLEX,9800,LAR@SEA 01/09/2021 04:40PM ET,SEA,17.96
,,,,,,,WR,Tyler Lockett (16103485),Tyler Lockett,16103485,FLEX,9600,LAR@SEA 01/09/2021 04:40PM ET,SEA,16.96
,,,,,,,QB,John Wolford (16103486),John Wolford,16103486,FLEX,9400,LAR@SEA 01/09/2021 04:40PM ET,LAR,13.84
,,,,,,,QB,Blake Bortles (16103537),Blake Bortles,16103537,CPT,9000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,QB,Bryce Perkins (16103538),Bryce Perkins,16103538,CPT,9000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,QB,Geno Smith (16103539),Geno Smith,16103539,CPT,9000,LAR@SEA 01/09/2021 04:40PM ET,SEA,1.12
,,,,,,,WR,Robert Woods (16103487),Robert Woods,16103487,FLEX,8800,LAR@SEA 01/09/2021 04:40PM ET,LAR,15.76
,,,,,,,RB,Cam Akers (16103488),Cam Akers,16103488,FLEX,8600,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.82
,,,,,,,RB,Chris Carson (16103489),Chris Carson,16103489,FLEX,8200,LAR@SEA 01/09/2021 04:40PM ET,SEA,15.65
,,,,,,,TE,Tyler Higbee (16103540),Tyler Higbee,16103540,CPT,8100,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.55
,,,,,,,WR,Cooper Kupp (16103490),Cooper Kupp,16103490,FLEX,7800,LAR@SEA 01/09/2021 04:40PM ET,LAR,14.58
,,,,,,,DST,Seahawks  (16103541),Seahawks ,16103541,CPT,6900,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.56
,,,,,,,WR,Josh Reynolds (16103491),Josh Reynolds,16103491,FLEX,6600,LAR@SEA 01/09/2021 04:40PM ET,LAR,7.83
,,,,,,,DST,Rams  (16103542),Rams ,16103542,CPT,6600,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.44
,,,,,,,QB,Blake Bortles (16103492),Blake Bortles,16103492,FLEX,6000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,QB,Bryce Perkins (16103493),Bryce Perkins,16103493,FLEX,6000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,QB,Geno Smith (16103494),Geno Smith,16103494,FLEX,6000,LAR@SEA 01/09/2021 04:40PM ET,SEA,1.12
,,,,,,,RB,Malcolm Brown (16103543),Malcolm Brown,16103543,CPT,6000,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.88
,,,,,,,TE,Tyler Higbee (16103495),Tyler Higbee,16103495,FLEX,5400,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.55
,,,,,,,K,Jason Myers (16103544),Jason Myers,16103544,CPT,5400,LAR@SEA 01/09/2021 04:40PM ET,SEA,8.62
,,,,,,,K,Kai Forbath (16103545),Kai Forbath,16103545,CPT,5100,LAR@SEA 01/09/2021 04:40PM ET,LAR,5
,,,,,,,K,Matt Gay (16103546),Matt Gay,16103546,CPT,5100,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.43
,,,,,,,DST,Seahawks  (16103496),Seahawks ,16103496,FLEX,4600,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.56
,,,,,,,WR,Van Jefferson Jr. (16103547),Van Jefferson Jr.,16103547,CPT,4500,LAR@SEA 01/09/2021 04:40PM ET,LAR,3.35
,,,,,,,DST,Rams  (16103497),Rams ,16103497,FLEX,4400,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.44
