CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16111610,16111616,16111617,16111611,16111625,16111634,,1. Locate the player you want to select in the list below ,,,,,,,,
16111611,16111610,16111617,16111615,16111625,16111637,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16111611,16111610,16111616,16111617,16111625,16111634,,3. Paste the ID into the roster position desired ,,,,,,,,
16111611,16111610,16111617,16111614,16111630,16111634,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16111610,16111617,16111615,16111611,16111630,16111637,,5. You can create up to 500 lineups per file ,,,,,,,,
16111610,16111617,16111611,16111614,16111630,16111646,,,,,,,,,,
16111611,16111610,16111617,16111615,16111630,16111632,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16111610,16111617,16111611,16111614,16111627,16111637,,QB,Lamar Jackson (16111610),Lamar Jackson,16111610,CPT,18000,BAL@TEN 01/10/2021 01:05PM ET,BAL,23.45
16111617,16111610,16111611,16111614,16111625,16111634,,RB,Derrick Henry (16111611),Derrick Henry,16111611,CPT,17400,BAL@TEN 01/10/2021 01:05PM ET,TEN,22.82
16111610,16111616,16111617,16111615,16111630,16111625,,QB,Ryan Tannehill (16111612),Ryan Tannehill,16111612,CPT,15600,BAL@TEN 01/10/2021 01:05PM ET,TEN,22.58
16111617,16111610,16111615,16111611,16111625,16111632,,RB,J.K. Dobbins (16111613),J.K. Dobbins,16111613,CPT,15000,BAL@TEN 01/10/2021 01:05PM ET,BAL,11.63
16111610,16111617,16111611,16111614,16111632,16111634,,WR,A.J. Brown (16111614),A.J. Brown,16111614,CPT,14100,BAL@TEN 01/10/2021 01:05PM ET,TEN,18.61
16111615,16111610,16111617,16111611,16111625,16111632,,WR,Marquise Brown (16111615),Marquise Brown,16111615,CPT,13200,BAL@TEN 01/10/2021 01:05PM ET,BAL,11.62
16111637,16111610,16111617,16111615,16111611,16111614,,QB,Lamar Jackson (16111565),Lamar Jackson,16111565,FLEX,12000,BAL@TEN 01/10/2021 01:05PM ET,BAL,23.45
16111614,16111610,16111617,16111611,16111625,16111646,,WR,Corey Davis (16111616),Corey Davis,16111616,CPT,12000,BAL@TEN 01/10/2021 01:05PM ET,TEN,14.81
16111610,16111616,16111617,16111611,16111627,16111632,,RB,Derrick Henry (16111566),Derrick Henry,16111566,FLEX,11600,BAL@TEN 01/10/2021 01:05PM ET,TEN,22.82
16111611,16111610,16111617,16111614,16111627,16111637,,TE,Mark Andrews (16111617),Mark Andrews,16111617,CPT,10800,BAL@TEN 01/10/2021 01:05PM ET,BAL,12.15
16111610,16111616,16111617,16111611,16111624,16111637,,QB,Ryan Tannehill (16111567),Ryan Tannehill,16111567,FLEX,10400,BAL@TEN 01/10/2021 01:05PM ET,TEN,22.58
16111614,16111610,16111617,16111611,16111630,16111634,,RB,J.K. Dobbins (16111568),J.K. Dobbins,16111568,FLEX,10000,BAL@TEN 01/10/2021 01:05PM ET,BAL,11.63
16111610,16111616,16111615,16111611,16111630,16111646,,WR,A.J. Brown (16111569),A.J. Brown,16111569,FLEX,9400,BAL@TEN 01/10/2021 01:05PM ET,TEN,18.61
,,,,,,,TE,Jonnu Smith (16111618),Jonnu Smith,16111618,CPT,9300,BAL@TEN 01/10/2021 01:05PM ET,TEN,10.01
,,,,,,,QB,Robert Griffin III (16111619),Robert Griffin III,16111619,CPT,9000,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.4
,,,,,,,QB,Trace McSorley (16111620),Trace McSorley,16111620,CPT,9000,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.65
,,,,,,,QB,Logan Woodside (16111621),Logan Woodside,16111621,CPT,9000,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.26
,,,,,,,QB,Tyler Huntley (16111622),Tyler Huntley,16111622,CPT,9000,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.45
,,,,,,,WR,Marquise Brown (16111570),Marquise Brown,16111570,FLEX,8800,BAL@TEN 01/10/2021 01:05PM ET,BAL,11.62
,,,,,,,WR,Corey Davis (16111571),Corey Davis,16111571,FLEX,8000,BAL@TEN 01/10/2021 01:05PM ET,TEN,14.81
,,,,,,,WR,Willie Snead IV (16111623),Willie Snead IV,16111623,CPT,7800,BAL@TEN 01/10/2021 01:05PM ET,BAL,7.48
,,,,,,,TE,Mark Andrews (16111572),Mark Andrews,16111572,FLEX,7200,BAL@TEN 01/10/2021 01:05PM ET,BAL,12.15
,,,,,,,WR,Miles Boykin (16111624),Miles Boykin,16111624,CPT,7200,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.97
,,,,,,,RB,Gus Edwards (16111625),Gus Edwards,16111625,CPT,6600,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.26
,,,,,,,TE,Jonnu Smith (16111573),Jonnu Smith,16111573,FLEX,6200,BAL@TEN 01/10/2021 01:05PM ET,TEN,10.01
,,,,,,,QB,Robert Griffin III (16111574),Robert Griffin III,16111574,FLEX,6000,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.4
,,,,,,,QB,Trace McSorley (16111575),Trace McSorley,16111575,FLEX,6000,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.65
,,,,,,,QB,Logan Woodside (16111576),Logan Woodside,16111576,FLEX,6000,BAL@TEN 01/10/2021 01:05PM ET,TEN,0.26
,,,,,,,QB,Tyler Huntley (16111577),Tyler Huntley,16111577,FLEX,6000,BAL@TEN 01/10/2021 01:05PM ET,BAL,1.45
,,,,,,,K,Justin Tucker (16111626),Justin Tucker,16111626,CPT,5700,BAL@TEN 01/10/2021 01:05PM ET,BAL,9.06
,,,,,,,WR,Dez Bryant (16111627),Dez Bryant,16111627,CPT,5400,BAL@TEN 01/10/2021 01:05PM ET,BAL,5.68
,,,,,,,WR,Willie Snead IV (16111578),Willie Snead IV,16111578,FLEX,5200,BAL@TEN 01/10/2021 01:05PM ET,BAL,7.48
,,,,,,,K,Stephen Gostkowski (16111628),Stephen Gostkowski,16111628,CPT,5100,BAL@TEN 01/10/2021 01:05PM ET,TEN,7.93
,,,,,,,K,Sam Sloman (16111629),Sam Sloman,16111629,CPT,5100,BAL@TEN 01/10/2021 01:05PM ET,TEN,6.88
,,,,,,,WR,Miles Boykin (16111579),Miles Boykin,16111579,FLEX,4800,BAL@TEN 01/10/2021 01:05PM ET,BAL,4.97
,,,,,,,DST,Ravens  (16111630),Ravens ,16111630,CPT,4800,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.81
,,,,,,,RB,Gus Edwards (16111580),Gus Edwards,16111580,FLEX,4400,BAL@TEN 01/10/2021 01:05PM ET,BAL,8.26
,,,,,,,DST,Titans  (16111631),Titans ,16111631,CPT,4200,BAL@TEN 01/10/2021 01:05PM ET,TEN,4.12
,,,,,,,K,Justin Tucker (16111581),Justin Tucker,16111581,FLEX,3800,BAL@TEN 01/10/2021 01:05PM ET,BAL,9.06
