QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
16135555,16135596,16135578,16135674,16135658,16135666,16135780,16135676,16135852,,1. Locate the player you want to select in the list below ,,,,,,,,
16135555,16135596,16135584,16135658,16135692,16135676,16135780,16135654,16135854,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16135554,16135596,16135584,16135674,16135658,16135672,16135780,16135578,16135854,,3. Paste the ID into the roster position desired ,,,,,,,,
16135560,16135596,16135584,16135658,16135666,16135654,16135792,16135578,16135852,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16135555,16135596,16135584,16135674,16135658,16135672,16135790,16135654,16135852,,5. You can create up to 500 lineups per file ,,,,,,,,
16135554,16135596,16135584,16135674,16135666,16135654,16135780,16135680,16135853,,,,,,,,,,
16135556,16135584,16135578,16135658,16135692,16135654,16135780,16135792,16135853,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16135555,16135596,16135578,16135674,16135658,16135654,16135792,16135680,16135854,,WR,Davante Adams (16135654),Davante Adams,16135654,WR/FLEX,8600,LAR@GB 01/16/2021 04:35PM ET,GB,27.17
16135560,16135584,16135578,16135666,16135676,16135672,16135780,16135654,16135854,,QB,Patrick Mahomes (16135553),Patrick Mahomes,16135553,QB,8000,CLE@KC 01/17/2021 03:05PM ET,KC,27.29
16135556,16135596,16135578,16135692,16135666,16135672,16135780,16135654,16135852,,WR,Tyreek Hill (16135656),Tyreek Hill,16135656,WR/FLEX,8000,CLE@KC 01/17/2021 03:05PM ET,KC,22.53
16135555,16135596,16135584,16135658,16135666,16135672,16135780,16135680,16135848,,RB,Alvin Kamara (16135576),Alvin Kamara,16135576,RB/FLEX,7900,TB@NO 01/17/2021 06:40PM ET,NO,25.21
16135555,16135584,16135578,16135666,16135654,16135680,16135780,16135790,16135852,,TE,Travis Kelce (16135778),Travis Kelce,16135778,TE/FLEX,7800,CLE@KC 01/17/2021 03:05PM ET,KC,22.12
16135556,16135596,16135584,16135674,16135672,16135654,16135782,16135578,16135853,,QB,Lamar Jackson (16135554),Lamar Jackson,16135554,QB,7600,BAL@BUF 01/16/2021 08:15PM ET,BAL,23.78
16135555,16135584,16135578,16135674,16135658,16135676,16135792,16135672,16135848,,QB,Josh Allen (16135555),Josh Allen,16135555,QB,7400,BAL@BUF 01/16/2021 08:15PM ET,BUF,27.73
16135556,16135596,16135606,16135674,16135658,16135666,16135782,16135654,16135852,,WR,Stefon Diggs (16135658),Stefon Diggs,16135658,WR/FLEX,7300,BAL@BUF 01/16/2021 08:15PM ET,BUF,22.2
16135556,16135596,16135584,16135666,16135676,16135654,16135780,16135782,16135848,,QB,Aaron Rodgers (16135556),Aaron Rodgers,16135556,QB,6900,LAR@GB 01/16/2021 04:35PM ET,GB,25.33
16135554,16135584,16135606,16135674,16135658,16135666,16135780,16135676,16135848,,RB,Aaron Jones (16135578),Aaron Jones,16135578,RB/FLEX,6800,LAR@GB 01/16/2021 04:35PM ET,GB,19.14
16135556,16135584,16135578,16135658,16135676,16135654,16135782,16135796,16135852,,WR,Michael Thomas (16135660),Michael Thomas,16135660,WR/FLEX,6700,TB@NO 01/17/2021 06:40PM ET,NO,13.52
16135554,16135596,16135578,16135674,16135676,16135654,16135780,16135792,16135848,,RB,Nick Chubb (16135580),Nick Chubb,16135580,RB/FLEX,6600,CLE@KC 01/17/2021 03:05PM ET,CLE,19.32
16135560,16135596,16135606,16135658,16135666,16135672,16135780,16135654,16135853,,WR,Mike Evans (16135662),Mike Evans,16135662,WR/FLEX,6400,TB@NO 01/17/2021 06:40PM ET,TB,16.56
,,,,,,,,,,QB,Tom Brady (16135557),Tom Brady,16135557,QB,6300,TB@NO 01/17/2021 06:40PM ET,TB,23.41
,,,,,,,,,,WR,Chris Godwin (16135664),Chris Godwin,16135664,WR/FLEX,6100,TB@NO 01/17/2021 06:40PM ET,TB,16.38
,,,,,,,,,,RB,J.K. Dobbins (16135582),J.K. Dobbins,16135582,RB/FLEX,6000,BAL@BUF 01/16/2021 08:15PM ET,BAL,11.58
,,,,,,,,,,WR,Robert Woods (16135666),Robert Woods,16135666,WR/FLEX,5900,LAR@GB 01/16/2021 04:35PM ET,LAR,15.68
,,,,,,,,,,RB,Cam Akers (16135584),Cam Akers,16135584,RB/FLEX,5700,LAR@GB 01/16/2021 04:35PM ET,LAR,10.34
,,,,,,,,,,WR,Jarvis Landry (16135668),Jarvis Landry,16135668,WR/FLEX,5600,CLE@KC 01/17/2021 03:05PM ET,CLE,13.2
,,,,,,,,,,QB,Drew Brees (16135558),Drew Brees,16135558,QB,5600,TB@NO 01/17/2021 06:40PM ET,NO,18.87
,,,,,,,,,,RB,Clyde Edwards-Helaire (16135586),Clyde Edwards-Helaire,16135586,RB/FLEX,5500,CLE@KC 01/17/2021 03:05PM ET,KC,14
