Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Drew Brees,9800,NOS,QB,TBB,18.00,0.00
Tom Brady,11000,TBB,QB,NOS,19.24,0.00
Michael Thomas,10600,NOS,WR,TBB,19.99,0.00
Alvin Kamara,10200,NOS,RB,TBB,21.39,0.00
Antonio Brown,7800,TBB,WR,NOS,13.36,0.00
Leonard Fournette,6800,TBB,RB,NOS,12.05,0.00
Chris Godwin,8200,TBB,WR,NOS,14.32,0.00
Emmanuel Sanders,5800,NOS,WR,TBB,10.30,0.00
Mike Evans,9000,TBB,WR,NOS,14.20,0.00
Jared Cook,5200,NOS,TE,TBB,8.63,0.00
Rob Gronkowski,5000,TBB,TE,NOS,7.75,0.00
New Orleans Saints,4200,NOS,DST,TBB,6.60,0.00
Tampa Bay Buccaneers,4000,TBB,DST,NOS,6.18,0.00
Latavius Murray,4800,NOS,RB,TBB,7.22,0.00
Ronald Jones,7000,TBB,RB,NOS,8.69,0.00
Deonte Harris,5600,NOS,WR,TBB,5.19,0.00
Marquez Callaway,600,NOS,WR,TBB,3.58,0.00
Taysom Hill,6000,NOS,QB,TBB,4.92,0.00
Cameron Brate,2000,TBB,TE,NOS,2.68,0.00
Scotty Miller,1400,TBB,WR,NOS,2.88,0.00
Josh Hill,200,NOS,TE,TBB,1.22,0.00
Adam Trautman,200,NOS,TE,TBB,0.94,0.00
Tanner Hudson,200,TBB,TE,NOS,0.61,0.00
Tyler Johnson,200,TBB,WR,NOS,0.59,0.00
Lil'Jordan Humphrey,800,NOS,WR,TBB,0.30,0.00
Ke'Shawn Vaughn,1200,TBB,RB,NOS,0.39,0.00
Dwayne Washington,200,NOS,RB,TBB,0.21,0.00
