QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Tyler Lockett,Mark Andrews,Will Fuller,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Adam Thielen,Darren Waller,Will Fuller,Las Vegas Raiders
Deshaun Watson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Darren Waller,Will Fuller,Miami Dolphins
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Amari Cooper,Darren Waller,Will Fuller,Washington Football Team
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Will Fuller,Mark Andrews,James Conner,Denver Broncos
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Randall Cobb,Darren Waller,Davante Adams,Cincinnati Bengals
P.J. Walker,Duke Johnson,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Kenny Golladay,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Tyler Boyd,Darren Waller,Will Fuller,Detroit Lions
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Justin Jefferson,Darren Waller,Will Fuller,Atlanta Falcons
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,D.J. Moore,Darren Waller,Will Fuller,Carolina Panthers
Deshaun Watson,Dalvin Cook,Antonio Gibson,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Darren Waller,Will Fuller,Jacksonville Jaguars
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Robert Tonyan,Larry Fitzgerald,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Jakeem Grant,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Cincinnati Bengals
Deshaun Watson,Dalvin Cook,Aaron Jones,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Dallas Goedert,Will Fuller,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Terry McLaurin,Mark Andrews,Will Fuller,New York Jets
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Will Fuller,Darren Waller,Giovani Bernard,Philadelphia Eagles
Deshaun Watson,Dalvin Cook,D'Andre Swift,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Noah Fant,Will Fuller,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,DeVante Parker,Darren Waller,Will Fuller,Tennessee Titans
