QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Tyler Boyd,Terry McLaurin,Logan Thomas,James Conner,Detroit Lions
Kyler Murray,Carlos Hyde,Dalvin Cook,Denzel Mims,Tyler Lockett,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,Houston Texans
Derek Carr,Carlos Hyde,Dalvin Cook,Amari Cooper,Justin Jefferson,Henry Ruggs,Darren Waller,Tyreek Hill,Denver Broncos
Tua Tagovailoa,Dalvin Cook,Aaron Jones,Curtis Samuel,Jakeem Grant,Tyler Lockett,Noah Fant,DeVante Parker,Washington Football Team
Lamar Jackson,Dalvin Cook,Antonio Gibson,Curtis Samuel,Corey Davis,Marquise Brown,Mark Andrews,Giovani Bernard,Jacksonville Jaguars
Tom Brady,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Cooper Kupp,Chris Godwin,Rob Gronkowski,D'Andre Swift,Atlanta Falcons
Cam Newton,Dalvin Cook,Mike Davis,Jakobi Meyers,A.J. Green,Brandin Cooks,Travis Kelce,Damiere Byrd,Miami Dolphins
Matt Ryan,Carlos Hyde,Dalvin Cook,Curtis Samuel,Michael Thomas,Calvin Ridley,Hayden Hurst,DeeJay Dallas,New England Patriots
Ben Roethlisberger,Duke Johnson,Dalvin Cook,Curtis Samuel,Diontae Johnson,JuJu Smith-Schuster,Tyler Eifert,Ezekiel Elliott,Carolina Panthers
Philip Rivers,Dalvin Cook,Melvin Gordon,Curtis Samuel,Davante Adams,Michael Pittman,Trey Burton,James Robinson,Cleveland Browns
Andy Dalton,Dalvin Cook,Miles Sanders,Amari Cooper,Adam Thielen,Michael Gallup,Austin Hooper,Julio Jones,Las Vegas Raiders
Jared Goff,Dalvin Cook,Josh Jacobs,Curtis Samuel,Josh Reynolds,Robert Woods,Darren Waller,Mike Evans,New York Jets
Carson Wentz,Carlos Hyde,Dalvin Cook,Jarvis Landry,Tee Higgins,Jalen Reagor,Dallas Goedert,Alvin Kamara,Seattle Seahawks
Patrick Mahomes,Carlos Hyde,Dalvin Cook,Hunter Renfrow,Chase Claypool,Sammy Watkins,Travis Kelce,La'Mical Perine,Philadelphia Eagles
Aaron Rodgers,Dalvin Cook,Salvon Ahmed,Curtis Samuel,Davante Adams,T.Y. Hilton,Robert Tonyan,J.D. McKissic,Minnesota Vikings
Drew Lock,Carlos Hyde,Dalvin Cook,Davante Adams,KJ Hamler,Jerry Jeudy,Mike Gesicki,Clyde Edwards-Helaire,New Orleans Saints
Russell Wilson,Dalvin Cook,Derrick Henry,Randall Cobb,DeAndre Hopkins,CeeDee Lamb,Greg Olsen,David Moore,Tennessee Titans
