QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Jacksonville Jaguars
Russell Wilson,Duke Johnson,James Conner,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Cincinnati Bengals
P.J. Walker,Duke Johnson,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Kenny Golladay,Denver Broncos
Kirk Cousins,Carlos Hyde,Duke Johnson,Amari Cooper,Adam Thielen,Justin Jefferson,Mark Andrews,Dalvin Cook,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,T.J. Hockenson,D'Andre Swift,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Tyler Boyd,Terry McLaurin,Logan Thomas,James Conner,Detroit Lions
Derek Carr,Dalvin Cook,James Conner,Curtis Samuel,Jakobi Meyers,Hunter Renfrow,Darren Waller,Travis Kelce,Washington Football Team
Russell Wilson,Dalvin Cook,D'Andre Swift,Jakeem Grant,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Washington Football Team
Kyler Murray,Carlos Hyde,Dalvin Cook,Denzel Mims,D.K. Metcalf,DeAndre Hopkins,Evan Baylis,James Conner,Cincinnati Bengals
Lamar Jackson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Corey Davis,Marquise Brown,Mark Andrews,James Conner,Denver Broncos
Kyler Murray,Carlos Hyde,Duke Johnson,Robby Anderson,Tyler Lockett,Larry Fitzgerald,Mark Andrews,DeAndre Hopkins,Denver Broncos
Tua Tagovailoa,Duke Johnson,Dalvin Cook,Jakobi Meyers,Jakeem Grant,DeVante Parker,Noah Fant,Davante Adams,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Antonio Gibson,Brandin Cooks,D.K. Metcalf,DeAndre Hopkins,Darren Waller,David Moore,Denver Broncos
Derek Carr,Carlos Hyde,Duke Johnson,DeVante Parker,Henry Ruggs,Tyreek Hill,Darren Waller,Dalvin Cook,Detroit Lions
Joe Burrow,Duke Johnson,Dalvin Cook,Jakobi Meyers,A.J. Green,Tyler Boyd,Darren Waller,Terry McLaurin,Miami Dolphins
Cam Newton,Dalvin Cook,Aaron Jones,Jakobi Meyers,Brandin Cooks,Adam Thielen,Mark Andrews,Damiere Byrd,Detroit Lions
Jared Goff,Carlos Hyde,Dalvin Cook,Adam Thielen,Josh Reynolds,Cooper Kupp,Darren Waller,Chris Godwin,Washington Football Team
Russell Wilson,Carlos Hyde,Dalvin Cook,Amari Cooper,D.K. Metcalf,Larry Fitzgerald,Jacob Hollister,Aaron Jones,Detroit Lions
Deshaun Watson,Duke Johnson,James Conner,Jakobi Meyers,Brandin Cooks,D.K. Metcalf,Jordan Akins,Davante Adams,Detroit Lions
Kyler Murray,Dalvin Cook,D'Andre Swift,Curtis Samuel,Jakobi Meyers,D.K. Metcalf,Dan Arnold,Larry Fitzgerald,Denver Broncos
