QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Denzel Mims,Tyler Lockett,D.K. Metcalf,Mark Andrews,DeAndre Hopkins,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,D.J. Moore,T.J. Hockenson,Davante Adams,Denver Broncos
Alex Smith,Dalvin Cook,James Conner,Curtis Samuel,Justin Jefferson,Tyler Boyd,Logan Thomas,Terry McLaurin,Houston Texans
Tua Tagovailoa,Dalvin Cook,D'Andre Swift,Jakobi Meyers,Jakeem Grant,DeVante Parker,Noah Fant,Aaron Jones,Washington Football Team
Derek Carr,Dalvin Cook,Antonio Gibson,Amari Cooper,Hunter Renfrow,Tyreek Hill,Darren Waller,Melvin Gordon,Jacksonville Jaguars
Jared Goff,Carlos Hyde,Dalvin Cook,Josh Reynolds,Cooper Kupp,Chris Godwin,Travis Kelce,Giovani Bernard,New York Jets
Joe Burrow,Dalvin Cook,Mike Davis,A.J. Green,Terry McLaurin,Tee Higgins,Dallas Goedert,Ezekiel Elliott,Las Vegas Raiders
Kyler Murray,Dalvin Cook,James Robinson,Tyler Lockett,Larry Fitzgerald,Diontae Johnson,Evan Baylis,Miles Sanders,Detroit Lions
Cam Newton,Dalvin Cook,Alvin Kamara,Jakobi Meyers,Damiere Byrd,Randall Cobb,Austin Hooper,Calvin Ridley,Carolina Panthers
Lamar Jackson,Dalvin Cook,DeeJay Dallas,Michael Gallup,Corey Davis,Marquise Brown,Mark Andrews,Josh Jacobs,Miami Dolphins
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Jarvis Landry,Michael Thomas,JuJu Smith-Schuster,Eric Ebron,Keelan Cole,New England Patriots
Tom Brady,Carlos Hyde,Dalvin Cook,Julio Jones,Robert Woods,Antonio Brown,Rob Gronkowski,La'Mical Perine,Atlanta Falcons
Philip Rivers,Dalvin Cook,Salvon Ahmed,Davante Adams,Michael Pittman,Kenny Golladay,Trey Burton,Chase Claypool,Tennessee Titans
Patrick Mahomes,Dalvin Cook,J.D. McKissic,Henry Ruggs,Jalen Reagor,CeeDee Lamb,Travis Kelce,Sammy Watkins,Philadelphia Eagles
Aaron Rodgers,Dalvin Cook,Ronald Jones,Davante Adams,KJ Hamler,T.Y. Hilton,Robert Tonyan,Jerry Jeudy,New Orleans Saints
Matt Ryan,Carlos Hyde,Dalvin Cook,Jamison Crowder,Russell Gage,Emmanuel Sanders,Hayden Hurst,Derrick Henry,Cleveland Browns
Russell Wilson,Dalvin Cook,Clyde Edwards-Helaire,Breshad Perriman,David Moore,Mike Evans,Greg Olsen,Christian Kirk,Pittsburgh Steelers
Carson Wentz,Dalvin Cook,Todd Gurley,D.K. Metcalf,Rashard Higgins,Travis Fulgham,Mike Gesicki,Greg Ward,Minnesota Vikings
Ryan Tannehill,Dalvin Cook,Rex Burkhead,Davante Adams,A.J. Brown,Willie Snead,Anthony Firkser,Nyheim Hines,Seattle Seahawks
