QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Adam Thielen,Mark Andrews,Will Fuller,Detroit Lions
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
P.J. Walker,Duke Johnson,Dalvin Cook,Curtis Samuel,Adam Thielen,Robby Anderson,Darren Waller,Kenny Golladay,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Jakeem Grant,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Cincinnati Bengals
Deshaun Watson,Dalvin Cook,James Conner,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Noah Fant,Will Fuller,Denver Broncos
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Logan Thomas,Larry Fitzgerald,Jacksonville Jaguars
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,D.J. Moore,T.J. Hockenson,Davante Adams,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Will Fuller,Dallas Goedert,Aaron Jones,Washington Football Team
Derek Carr,Carlos Hyde,Duke Johnson,Adam Thielen,Hunter Renfrow,Tyreek Hill,Darren Waller,Dalvin Cook,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Terry McLaurin,Travis Kelce,Randall Cobb,Cincinnati Bengals
Russell Wilson,Dalvin Cook,D'Andre Swift,Curtis Samuel,Amari Cooper,Tyler Lockett,Evan Baylis,D.K. Metcalf,Houston Texans
Joe Burrow,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Tyler Boyd,Terry McLaurin,Darren Waller,Tee Higgins,Cincinnati Bengals
Lamar Jackson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Tyler Lockett,Corey Davis,Mark Andrews,Marquise Brown,Cincinnati Bengals
Cam Newton,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Darren Waller,Davante Adams,Carolina Panthers
Kyler Murray,Carlos Hyde,Dalvin Cook,Denzel Mims,Jakobi Meyers,Tyler Lockett,Dan Arnold,DeAndre Hopkins,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Cooper Kupp,Austin Hooper,Will Fuller,Miami Dolphins
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Justin Jefferson,Jordan Akins,Alvin Kamara,Cincinnati Bengals
Deshaun Watson,Dalvin Cook,Antonio Gibson,Jakobi Meyers,Brandin Cooks,Will Fuller,Mark Andrews,Giovani Bernard,Las Vegas Raiders
Russell Wilson,Duke Johnson,Dalvin Cook,Curtis Samuel,Tyler Lockett,DeAndre Hopkins,Robert Tonyan,David Moore,New York Jets
