QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Duke Johnson,Dalvin Cook,Jakobi Meyers,Adam Thielen,Tyler Lockett,Evan Baylis,D.K. Metcalf,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Tyler Boyd,Terry McLaurin,Logan Thomas,James Conner,Detroit Lions
Kyler Murray,Carlos Hyde,Dalvin Cook,Jakeem Grant,Tyler Lockett,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,Denver Broncos
Derek Carr,Carlos Hyde,Dalvin Cook,Amari Cooper,Hunter Renfrow,Tyreek Hill,Darren Waller,Antonio Gibson,Washington Football Team
Lamar Jackson,Carlos Hyde,Dalvin Cook,Justin Jefferson,DeVante Parker,Corey Davis,Mark Andrews,Marquise Brown,Jacksonville Jaguars
Cam Newton,Dalvin Cook,Giovani Bernard,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Travis Kelce,D'Andre Swift,Las Vegas Raiders
Jared Goff,Carlos Hyde,Dalvin Cook,Josh Reynolds,Cooper Kupp,Chris Godwin,Darren Waller,Aaron Jones,New York Jets
Joe Burrow,Carlos Hyde,Dalvin Cook,A.J. Green,Terry McLaurin,Tee Higgins,Noah Fant,Mike Davis,Miami Dolphins
Matt Ryan,Carlos Hyde,Dalvin Cook,Denzel Mims,Jakobi Meyers,Michael Thomas,Hayden Hurst,Julio Jones,New England Patriots
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Adam Thielen,Diontae Johnson,JuJu Smith-Schuster,Tyler Eifert,James Robinson,Atlanta Falcons
Philip Rivers,Dalvin Cook,Melvin Gordon,Jakobi Meyers,Davante Adams,Michael Pittman,Trey Burton,Ezekiel Elliott,Carolina Panthers
Tom Brady,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robert Woods,Antonio Brown,Rob Gronkowski,Miles Sanders,Houston Texans
Carson Wentz,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jalen Reagor,Travis Fulgham,Austin Hooper,Alvin Kamara,Minnesota Vikings
Tua Tagovailoa,Carlos Hyde,Dalvin Cook,DeVante Parker,KJ Hamler,Calvin Ridley,Mike Gesicki,Josh Jacobs,New Orleans Saints
Patrick Mahomes,Dalvin Cook,DeeJay Dallas,Curtis Samuel,Henry Ruggs,Jarvis Landry,Travis Kelce,Sammy Watkins,Cleveland Browns
Aaron Rodgers,Carlos Hyde,Dalvin Cook,Davante Adams,T.Y. Hilton,Chase Claypool,Robert Tonyan,Salvon Ahmed,Philadelphia Eagles
Russell Wilson,Dalvin Cook,J.D. McKissic,Michael Gallup,DeAndre Hopkins,David Moore,Greg Olsen,Derrick Henry,Seattle Seahawks
Andy Dalton,Dalvin Cook,La'Mical Perine,Amari Cooper,Adam Thielen,CeeDee Lamb,Eric Ebron,Mike Evans,Pittsburgh Steelers
