QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Dallas Goedert,Larry Fitzgerald,Detroit Lions
Kirk Cousins,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Amari Cooper,Adam Thielen,Darren Waller,Justin Jefferson,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Tyler Lockett,DeVante Parker,D.K. Metcalf,Evan Baylis,James Conner,Denver Broncos
Derek Carr,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Terry McLaurin,Hunter Renfrow,Darren Waller,Tyreek Hill,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Denzel Mims,Tyler Lockett,DeAndre Hopkins,Greg Olsen,Giovani Bernard,Washington Football Team
Russell Wilson,Carlos Hyde,Antonio Gibson,Jakeem Grant,Tyler Lockett,D.K. Metcalf,Noah Fant,DeAndre Hopkins,Jacksonville Jaguars
Joe Burrow,Carlos Hyde,Dalvin Cook,A.J. Green,Tyler Boyd,Terry McLaurin,Darren Waller,Aaron Jones,Cincinnati Bengals
Lamar Jackson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Adam Thielen,Corey Davis,Mark Andrews,Marquise Brown,Carolina Panthers
Cam Newton,Dalvin Cook,D'Andre Swift,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Darren Waller,Mike Davis,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Cooper Kupp,Travis Kelce,Randall Cobb,Houston Texans
Russell Wilson,Carlos Hyde,Dalvin Cook,Tyler Lockett,DeAndre Hopkins,David Moore,Austin Hooper,Melvin Gordon,Las Vegas Raiders
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Michael Thomas,Jordan Akins,Miles Sanders,Miami Dolphins
Kyler Murray,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,Josh Reynolds,Dan Arnold,DeAndre Hopkins,New York Jets
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robby Anderson,Julio Jones,T.J. Hockenson,Ezekiel Elliott,New England Patriots
Tom Brady,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Adam Thielen,Cooper Kupp,Rob Gronkowski,Chris Godwin,Atlanta Falcons
Alex Smith,Carlos Hyde,Dalvin Cook,Adam Thielen,Terry McLaurin,Diontae Johnson,Logan Thomas,Tee Higgins,Cleveland Browns
Aaron Rodgers,Carlos Hyde,Dalvin Cook,Curtis Samuel,Davante Adams,Michael Pittman,Robert Tonyan,James Robinson,Cincinnati Bengals
