QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,Davante Adams,Mark Andrews,Kenny Golladay,Cincinnati Bengals
Kirk Cousins,Carlos Hyde,Dalvin Cook,Amari Cooper,Adam Thielen,Justin Jefferson,Dallas Goedert,James Conner,Cincinnati Bengals
Joe Burrow,Dalvin Cook,D'Andre Swift,Curtis Samuel,A.J. Green,Tyler Boyd,Darren Waller,Terry McLaurin,Detroit Lions
Tua Tagovailoa,Dalvin Cook,Aaron Jones,Curtis Samuel,Jakeem Grant,Tyler Lockett,Noah Fant,DeVante Parker,Washington Football Team
Derek Carr,Dalvin Cook,Antonio Gibson,Curtis Samuel,Hunter Renfrow,Tyreek Hill,Darren Waller,Giovani Bernard,Denver Broncos
Tom Brady,Carlos Hyde,Dalvin Cook,Curtis Samuel,Cooper Kupp,Chris Godwin,Rob Gronkowski,Mike Davis,Jacksonville Jaguars
Lamar Jackson,Dalvin Cook,Ezekiel Elliott,Denzel Mims,Jakobi Meyers,Corey Davis,Mark Andrews,Marquise Brown,Miami Dolphins
Kyler Murray,Carlos Hyde,Dalvin Cook,Larry Fitzgerald,Diontae Johnson,DeAndre Hopkins,Greg Olsen,Melvin Gordon,Houston Texans
Cam Newton,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Damiere Byrd,Randall Cobb,Travis Kelce,Alvin Kamara,Las Vegas Raiders
Matt Ryan,Carlos Hyde,Dalvin Cook,Curtis Samuel,Michael Thomas,Calvin Ridley,Hayden Hurst,DeeJay Dallas,New England Patriots
Philip Rivers,Carlos Hyde,Dalvin Cook,Davante Adams,Michael Pittman,Jarvis Landry,Trey Burton,James Robinson,Cleveland Browns
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Curtis Samuel,JuJu Smith-Schuster,Chase Claypool,Tyler Eifert,Miles Sanders,New Orleans Saints
Jared Goff,Carlos Hyde,Dalvin Cook,Josh Reynolds,Robert Woods,Antonio Brown,Darren Waller,Josh Jacobs,Carolina Panthers
Patrick Mahomes,Carlos Hyde,Dalvin Cook,Henry Ruggs,Tee Higgins,Sammy Watkins,Travis Kelce,Salvon Ahmed,Atlanta Falcons
Carson Wentz,Carlos Hyde,Dalvin Cook,Adam Thielen,Jalen Reagor,Julio Jones,Austin Hooper,Travis Fulgham,Minnesota Vikings
Aaron Rodgers,Carlos Hyde,Dalvin Cook,Michael Gallup,Davante Adams,T.Y. Hilton,Robert Tonyan,Derrick Henry,New York Jets
Russell Wilson,Dalvin Cook,La'Mical Perine,D.K. Metcalf,David Moore,Christian Kirk,Mike Gesicki,J.D. McKissic,Tennessee Titans
Andy Dalton,Dalvin Cook,Clyde Edwards-Helaire,Amari Cooper,Adam Thielen,CeeDee Lamb,Eric Ebron,Ronald Jones,Philadelphia Eagles
