QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Duke Johnson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Logan Thomas,DeAndre Hopkins,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Greg Olsen,DeAndre Hopkins,Jacksonville Jaguars
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Adam Thielen,Mark Andrews,Will Fuller,Detroit Lions
Russell Wilson,Carlos Hyde,Dalvin Cook,Denzel Mims,Tyler Lockett,D.K. Metcalf,Darren Waller,Larry Fitzgerald,Denver Broncos
Kirk Cousins,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Amari Cooper,Adam Thielen,Darren Waller,Justin Jefferson,Cincinnati Bengals
Russell Wilson,Dalvin Cook,James Conner,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Evan Baylis,D.K. Metcalf,Washington Football Team
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,D.J. Moore,D.K. Metcalf,Darren Waller,Kenny Golladay,Cincinnati Bengals
Alex Smith,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Boyd,Terry McLaurin,Logan Thomas,Davante Adams,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Tyler Lockett,DeAndre Hopkins,Dallas Goedert,David Moore,Atlanta Falcons
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Dan Arnold,Giovani Bernard,Las Vegas Raiders
Derek Carr,Carlos Hyde,Duke Johnson,Adam Thielen,Hunter Renfrow,Tyreek Hill,Darren Waller,Dalvin Cook,Cincinnati Bengals
Deshaun Watson,Dalvin Cook,D'Andre Swift,Curtis Samuel,Jakobi Meyers,Brandin Cooks,Noah Fant,Will Fuller,Houston Texans
Lamar Jackson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Tyler Lockett,Corey Davis,Mark Andrews,Marquise Brown,Cincinnati Bengals
Cam Newton,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Damiere Byrd,Darren Waller,Davante Adams,Carolina Panthers
Deshaun Watson,Dalvin Cook,Aaron Jones,Jakobi Meyers,Brandin Cooks,DeVante Parker,Darren Waller,Randall Cobb,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Antonio Gibson,Jakobi Meyers,Tyler Lockett,D.K. Metcalf,Robert Tonyan,DeAndre Hopkins,New York Jets
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Jakeem Grant,Tyler Lockett,Jacob Hollister,DeAndre Hopkins,Miami Dolphins
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,A.J. Green,Brandin Cooks,Travis Kelce,Will Fuller,New England Patriots
Deshaun Watson,Dalvin Cook,Mike Davis,Jakobi Meyers,Brandin Cooks,Adam Thielen,Jordan Akins,Cooper Kupp,Cincinnati Bengals
