QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Robby Anderson,Tyler Lockett,Darren Waller,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Logan Thomas,D.K. Metcalf,Jacksonville Jaguars
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,D.J. Moore,Darren Waller,Davante Adams,Cincinnati Bengals
Russell Wilson,Carlos Hyde,James Conner,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Mark Andrews,D.K. Metcalf,Washington Football Team
Russell Wilson,Carlos Hyde,Dalvin Cook,Jakeem Grant,Amari Cooper,Tyler Lockett,Dallas Goedert,D.K. Metcalf,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Denzel Mims,Tyler Lockett,Noah Fant,D.K. Metcalf,Denver Broncos
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Robby Anderson,Darren Waller,Will Fuller,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Adam Thielen,Tyler Lockett,Greg Olsen,D'Andre Swift,Cincinnati Bengals
Kyler Murray,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Larry Fitzgerald,Noah Fant,DeAndre Hopkins,Cincinnati Bengals
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robby Anderson,Justin Jefferson,Darren Waller,Terry McLaurin,Carolina Panthers
Lamar Jackson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Marquise Brown,Mark Andrews,Mike Davis,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Anthony Firkser,Antonio Gibson,Las Vegas Raiders
Russell Wilson,Carlos Hyde,Giovani Bernard,Curtis Samuel,Tyler Lockett,Tyler Boyd,Darren Waller,D.K. Metcalf,Houston Texans
Russell Wilson,Carlos Hyde,Aaron Jones,Jakobi Meyers,A.J. Green,Tyler Lockett,Darren Waller,D.K. Metcalf,Detroit Lions
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,Cooper Kupp,Darren Waller,David Moore,Atlanta Falcons
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,D.K. Metcalf,Robert Tonyan,Melvin Gordon,New York Jets
Derek Carr,Carlos Hyde,Duke Johnson,Curtis Samuel,Hunter Renfrow,Davante Adams,Darren Waller,Dalvin Cook,Miami Dolphins
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Tyler Lockett,Josh Reynolds,Austin Hooper,D.K. Metcalf,Tennessee Titans
P.J. Walker,Carlos Hyde,Dalvin Cook,Curtis Samuel,Robby Anderson,DeVante Parker,Travis Kelce,Diontae Johnson,Cincinnati Bengals
Russell Wilson,Carlos Hyde,Dalvin Cook,Curtis Samuel,Jakobi Meyers,Tyler Lockett,Jacob Hollister,Michael Thomas,New England Patriots
