QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Russell Wilson,Carlos Hyde,Duke Johnson,Curtis Samuel,Robby Anderson,Tyler Lockett,Darren Waller,D.K. Metcalf,Cincinnati Bengals
P.J. Walker,Dalvin Cook,James Conner,Curtis Samuel,Jakobi Meyers,Adam Thielen,Darren Waller,D.J. Moore,Cincinnati Bengals
Deshaun Watson,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Brandin Cooks,Justin Jefferson,Mark Andrews,Will Fuller,Washington Football Team
Kyler Murray,Carlos Hyde,Dalvin Cook,Curtis Samuel,Amari Cooper,Larry Fitzgerald,Dallas Goedert,DeAndre Hopkins,Denver Broncos
Alex Smith,Carlos Hyde,Dalvin Cook,Curtis Samuel,Terry McLaurin,Davante Adams,Logan Thomas,Antonio Gibson,Jacksonville Jaguars
Derek Carr,Carlos Hyde,Dalvin Cook,DeVante Parker,Cooper Kupp,Hunter Renfrow,Darren Waller,Aaron Jones,Detroit Lions
Patrick Mahomes,Carlos Hyde,Dalvin Cook,Curtis Samuel,Denzel Mims,Jakeem Grant,Travis Kelce,Tyreek Hill,Las Vegas Raiders
Lamar Jackson,Dalvin Cook,Giovani Bernard,Jakobi Meyers,A.J. Green,Marquise Brown,Mark Andrews,D'Andre Swift,Houston Texans
Joe Burrow,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Tyler Boyd,Tee Higgins,Noah Fant,Mike Davis,Miami Dolphins
Cam Newton,Dalvin Cook,Ezekiel Elliott,Jakobi Meyers,Diontae Johnson,Damiere Byrd,Darren Waller,James Robinson,New York Jets
Tom Brady,Carlos Hyde,Dalvin Cook,Curtis Samuel,Chris Godwin,Michael Thomas,Rob Gronkowski,Melvin Gordon,New England Patriots
Matt Ryan,Dalvin Cook,DeeJay Dallas,Curtis Samuel,Jakobi Meyers,Calvin Ridley,Austin Hooper,Julio Jones,Carolina Panthers
Ben Roethlisberger,Carlos Hyde,Dalvin Cook,Jakobi Meyers,Jarvis Landry,JuJu Smith-Schuster,Eric Ebron,Miles Sanders,Atlanta Falcons
Jared Goff,Carlos Hyde,Dalvin Cook,Curtis Samuel,Josh Reynolds,Robert Woods,Mike Gesicki,Alvin Kamara,Philadelphia Eagles
Russell Wilson,Dalvin Cook,Josh Jacobs,Tyler Lockett,Michael Gallup,Michael Pittman,Greg Olsen,Kenny Golladay,Cleveland Browns
Russell Wilson,Dalvin Cook,Salvon Ahmed,D.K. Metcalf,Chase Claypool,David Moore,Robert Tonyan,J.D. McKissic,New Orleans Saints
Carson Wentz,Carlos Hyde,Dalvin Cook,Davante Adams,Corey Davis,Jalen Reagor,Hayden Hurst,Travis Fulgham,Minnesota Vikings
Philip Rivers,Dalvin Cook,La'Mical Perine,Adam Thielen,Davante Adams,T.Y. Hilton,Trey Burton,Clyde Edwards-Helaire,Tennessee Titans
Russell Wilson,Dalvin Cook,Derrick Henry,Tyler Lockett,Randall Cobb,CeeDee Lamb,Jacob Hollister,Jerry Jeudy,Seattle Seahawks
Aaron Rodgers,Carlos Hyde,Dalvin Cook,Davante Adams,Henry Ruggs,Antonio Brown,T.J. Hockenson,Allen Lazard,Los Angeles Rams
