Player_Name,Salary,Team,Pos,Opp,Proj_FP
Zach Miller,3600.00,CHI,TE,TBB,13
Kyle Rudolph,3600.00,MIN,TE,WAS,12.75
Austin Hooper,3100.00,ATL,TE,PHI,10.97
Lance Kendricks,3000.00,LAR,TE,NYJ,10.55
Dennis Pitta,4000.00,BAL,TE,CLE,13.85
Los Angeles Rams,2900.00,LAR,DST,NYJ,9.78
Marcus Mariota,5700.00,TEN,QB,GBP,19.12
Arizona Cardinals,3700.00,ARI,DST,SFO,12.16
Andy Dalton,5800.00,CIN,QB,NYG,18.94
Darren Sproles,4300.00,PHI,RB,ATL,13.81
Trevor Siemian,5600.00,DEN,QB,NOS,17.95
Carson Palmer,6500.00,ARI,QB,SFO,20.78
Minnesota Vikings,3600.00,MIN,DST,WAS,11.48
David Johnson,8400.00,ARI,RB,SFO,26.65
Case Keenum,5000.00,LAR,QB,NYJ,15.79
Jay Cutler,5300.00,CHI,QB,TBB,16.7
Kirk Cousins,5400.00,WAS,QB,MIN,16.95
C.J. Fiedorowicz,3500.00,HOU,TE,JAC,10.95
Dak Prescott,6100.00,DAL,QB,PIT,18.99
Gary Barnidge,3400.00,CLE,TE,BAL,10.54
Cam Newton,6800.00,CAR,QB,KCC,20.95
Coby Fleener,3300.00,NOS,TE,DEN,10.08
Philadelphia Eagles,2600.00,PHI,DST,ATL,7.93
Sam Bradford,5000.00,MIN,QB,WAS,15.18
Pierre Garcon,3600.00,WAS,WR,MIN,10.9
Richard Rodgers,2800.00,GBP,TE,TEN,8.48
Braxton Miller,3000.00,HOU,WR,JAC,9.08
Carson Wentz,5400.00,PHI,QB,ATL,16.26
Jameis Winston,6300.00,TBB,QB,CHI,18.94
Ben Roethlisberger,6800.00,PIT,QB,DAL,20.42
Alex Smith,5400.00,KCC,QB,CAR,16.18
Drew Brees,6900.00,NOS,QB,DEN,20.6
Russell Wilson,6200.00,SEA,QB,NEP,18.49
Miami Dolphins,2400.00,MIA,DST,SDC,7.12
Joe Flacco,6200.00,BAL,QB,CLE,18.41
Le'Veon Bell,7700.00,PIT,RB,DAL,22.87
Aaron Rodgers,7600.00,GBP,QB,TEN,22.56
Eli Manning,5900.00,NYG,QB,CIN,17.36
Tom Brady,7400.00,NEP,QB,SEA,21.79
Cameron Brate,3500.00,TBB,TE,CHI,10.22
New York Jets,2800.00,NYJ,DST,LAR,8.16
Sterling Shepard,4500.00,NYG,WR,CIN,12.94
Baltimore Ravens,3700.00,BAL,DST,CLE,10.58
Sammie Coates,4000.00,PIT,WR,DAL,11.45
Bryce Petty,5000.00,NYJ,QB,LAR,14.22
Virgil Green,2900.00,DEN,TE,NOS,8.25
Jason Witten,4000.00,DAL,TE,PIT,11.34
A.J. Green,8500.00,CIN,WR,NYG,24.15
Doug Baldwin,5800.00,SEA,WR,NEP,16.39
Will Tye,2500.00,NYG,TE,CIN,7.03
Cordarrelle Patterson,3400.00,MIN,WR,WAS,9.55
Denver Broncos,3100.00,DEN,DST,NOS,8.66
Jimmy Graham,5300.00,SEA,TE,NEP,14.74
Ryan Tannehill,5300.00,MIA,QB,SDC,14.67
Ezekiel Elliott,7900.00,DAL,RB,PIT,21.84
Matt Ryan,7300.00,ATL,QB,PHI,20.12
Demaryius Thomas,6700.00,DEN,WR,NOS,18.51
Jerick McKinnon,3800.00,MIN,RB,WAS,10.4
Cincinnati Bengals,2900.00,CIN,DST,NYG,7.94
Eddie Royal,3700.00,CHI,WR,TBB,10.1
Tennessee Titans,2400.00,TEN,DST,GBP,6.52
Tavon Austin,4100.00,LAR,WR,NYJ,11.17
Tajae Sharpe,3000.00,TEN,WR,GBP,8.14
Delanie Walker,4600.00,TEN,TE,GBP,12.45
Cody Kessler,5000.00,CLE,QB,BAL,13.48
Matt Forte,6100.00,NYJ,RB,LAR,16.45
Dominique Jones,2500.00,MIA,TE,SDC,6.73
Duke Johnson,4000.00,CLE,RB,BAL,10.74
Jermaine Kearse,3000.00,SEA,WR,NEP,8.05
Rishard Matthews,4200.00,TEN,WR,GBP,11.22
Kenny Britt,4900.00,LAR,WR,NYJ,13.02
Rob Gronkowski,6900.00,NEP,TE,SEA,18.38
Mohamed Sanu,4600.00,ATL,WR,PHI,12.25
Seattle Seahawks,3000.00,SEA,DST,NEP,7.99
