QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Duke Johnson,DeVante Parker,Tyler Lockett,Stefon Diggs,Dallas Goedert,Aaron Jones,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Jakeem Grant,Keenan Allen,DeAndre Hopkins,Evan Engram,Miles Sanders,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,D.J. Moore,Robby Anderson,Cooper Kupp,Hunter Henry,Alvin Kamara,Jacksonville Jaguars
Carson Wentz,Mike Davis,Aaron Jones,Diontae Johnson,Terry McLaurin,Davante Adams,Noah Fant,Jalen Reagor,Cleveland Browns
Tom Brady,Mike Davis,Aaron Jones,Richie James,D.K. Metcalf,Chris Godwin,Darren Waller,Josh Jacobs,Detroit Lions
Josh Allen,Mike Davis,D'Andre Swift,Michael Thomas,John Brown,Robert Woods,Austin Hooper,James Robinson,Philadelphia Eagles
Deshaun Watson,Mike Davis,Aaron Jones,Jarvis Landry,JuJu Smith-Schuster,Will Fuller,Logan Thomas,Antonio Gibson,Pittsburgh Steelers
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,Chase Claypool,Jarvis Landry,T.J. Hockenson,James Conner,Green Bay Packers
Aaron Rodgers,Mike Davis,Jerick McKinnon,Davante Adams,Darius Slayton,Curtis Samuel,Eric Ebron,Tyler Boyd,Miami Dolphins
Russell Wilson,Mike Davis,Boston Scott,Tyler Lockett,Brandin Cooks,DJ Chark,Mike Gesicki,Nick Chubb,Los Angeles Chargers
Justin Herbert,Mike Davis,Leonard Fournette,Davante Adams,Christian Kirk,Mike Williams,Rob Gronkowski,Travis Fulgham,New York Giants
Derek Carr,Aaron Jones,Melvin Gordon,Davante Adams,Henry Ruggs,Tee Higgins,Robert Tonyan,Chase Edmonds,Tampa Bay Buccaneers
Daniel Jones,Aaron Jones,Kenyan Drake,Davante Adams,Sterling Shepard,Tim Patrick,Jared Cook,Kareem Hunt,Denver Broncos
Matthew Stafford,Alvin Kamara,Darrell Henderson,Davante Adams,A.J. Green,Brandon Aiyuk,Jacob Hollister,Marvin Jones,New Orleans Saints
Drew Brees,Alvin Kamara,Joshua Kelley,Davante Adams,Cole Beasley,Emmanuel Sanders,Tyler Higbee,Mike Evans,Houston Texans
Baker Mayfield,Alvin Kamara,J.D. McKissic,Davante Adams,Rashard Higgins,Antonio Brown,Tyler Eifert,Ronald Jones,Seattle Seahawks
Jake Luton,Alvin Kamara,Chase Edmonds,Keelan Cole,Larry Fitzgerald,Davante Adams,Jordan Reed,Nelson Agholor,Carolina Panthers
Ben Roethlisberger,Alvin Kamara,Jamaal Williams,Josh Reynolds,Davante Adams,James Washington,Jordan Akins,Phillip Lindsay,Las Vegas Raiders
Tua Tagovailoa,Alvin Kamara,Wayne Gallman,Davante Adams,Hunter Renfrow,Mack Hollins,Drew Sample,Zack Moss,Buffalo Bills
Nick Mullens,Alvin Kamara,Devin Singletary,Davante Adams,DeAndre Hopkins,KJ Hamler,Gerald Everett,Richie James,Arizona Cardinals
