Player_Name,Salary,Team,Pos,Opp,Proj_FP
Marcus Kemp,200.00,KCC,WR,TBB,0.85
Taysom Hill,6200.00,NOS,QB,DEN,20.82
Patrick Mahomes,8000.00,KCC,QB,TBB,26.45
Jared Goff,6000.00,LAR,QB,SFO,19.79
Tom Brady,6600.00,TBB,QB,KCC,20.43
Nick Mullens,5200.00,SFO,QB,LAR,15.5
Robert Woods,5800.00,LAR,WR,SFO,16.18
Denver Broncos,2200.00,DEN,DST,NOS,6
Austin Carr,200.00,NOS,WR,DEN,0.54
Travis Kelce,7000.00,KCC,TE,TBB,18.85
Cooper Kupp,6400.00,LAR,WR,SFO,16.59
Antonio Brown,5700.00,TBB,WR,KCC,14.66
Chris Godwin,6000.00,TBB,WR,KCC,14.85
Tyreek Hill,7800.00,KCC,WR,TBB,19.12
Mike Evans,6100.00,TBB,WR,KCC,14.31
Sammy Watkins,4700.00,KCC,WR,TBB,11.01
Jordan Reed,3600.00,SFO,TE,LAR,8.37
Deebo Samuel,5400.00,SFO,WR,LAR,12.46
Kansas City Chiefs,2700.00,KCC,DST,TBB,6.14
Michael Thomas,7400.00,NOS,WR,DEN,16.74
Alvin Kamara,8200.00,NOS,RB,DEN,18.44
Josh Reynolds,4300.00,LAR,WR,SFO,9.56
Los Angeles Rams,3700.00,LAR,DST,SFO,8
Phillip Lindsay,4400.00,DEN,RB,NOS,9.45
Leonard Fournette,4900.00,TBB,RB,KCC,10.49
Rob Gronkowski,4400.00,TBB,TE,KCC,9.35
New Orleans Saints,3800.00,NOS,DST,DEN,8.07
Demarcus Robinson,3700.00,KCC,WR,TBB,7.85
Raheem Mostert,5600.00,SFO,RB,LAR,11.79
Richie James,3500.00,KCC,WR,TBB,7.35
Tyler Higbee,3700.00,LAR,TE,SFO,7.74
San Francisco 49ers,2600.00,SFO,DST,LAR,5.24
Richie James,3500.00,SFO,WR,LAR,6.99
Melvin Gordon,5200.00,DEN,RB,NOS,10.33
Clyde Edwards-Helaire,6400.00,KCC,RB,TBB,12.49
Ross Dwelley,2900.00,SFO,TE,LAR,5.63
Darrell Henderson,5100.00,LAR,RB,SFO,9.78
Tre'Quan Smith,3100.00,NOS,WR,DEN,5.92
Ronald Jones,6100.00,TBB,RB,KCC,11.57
Jerick McKinnon,4700.00,SFO,RB,LAR,8.89
Tampa Bay Buccaneers,2800.00,TBB,DST,KCC,5.19
Kendrick Bourne,4000.00,SFO,WR,LAR,7.39
Emmanuel Sanders,4800.00,NOS,WR,DEN,8.8
Jared Cook,3500.00,NOS,TE,DEN,6.41
Le'Veon Bell,4500.00,KCC,RB,TBB,8.14
Gerald Everett,3300.00,LAR,TE,SFO,5.8
Cam Akers,4200.00,LAR,RB,SFO,7
Malcolm Brown,4700.00,LAR,RB,SFO,6.77
Latavius Murray,5900.00,NOS,RB,DEN,7.92
Kendall Hinton,8200.00,DEN,WR,NOS,10.09
Noah Fant,4200.00,DEN,TE,NOS,4.89
Mecole Hardman,4200.00,KCC,WR,TBB,4.66
KJ Hamler,3500.00,DEN,WR,NOS,3.87
Jerry Jeudy,5100.00,DEN,WR,NOS,5.6
Tim Patrick,4900.00,DEN,WR,NOS,5.14
Trent Taylor,3000.00,SFO,WR,LAR,3.02
Van Jefferson,3000.00,LAR,WR,SFO,2.72
Cameron Brate,3200.00,TBB,TE,KCC,2.84
Scotty Miller,3000.00,TBB,WR,KCC,2.55
Jeff Wilson,4000.00,SFO,RB,LAR,2.95
Adam Trautman,2500.00,NOS,TE,DEN,1.74
Josh Hill,2500.00,NOS,TE,DEN,1.57
Darrel Williams,4000.00,KCC,RB,TBB,2.34
Marquez Callaway,3000.00,NOS,WR,DEN,1.53
Nick Keizer,2500.00,KCC,TE,TBB,1.28
Nick Vannett,2500.00,DEN,TE,NOS,1.2
Royce Freeman,4000.00,DEN,RB,NOS,1.79
DaeSean Hamilton,3000.00,DEN,WR,NOS,1.07
Deon Yelder,2500.00,KCC,TE,TBB,0.77
Charlie Woerner,2500.00,SFO,TE,LAR,0.54
River Cracraft,3000.00,SFO,WR,LAR,0.53
Tyler Johnson,3000.00,TBB,WR,KCC,0.51
Antony Auclair,2500.00,TBB,TE,KCC,0.37
Dwayne Washington,4000.00,NOS,RB,DEN,0.39
LeSean McCoy,4000.00,TBB,RB,KCC,0.37
Troy Fumagalli,2500.00,DEN,TE,NOS,0.2
Justin Watson,3000.00,TBB,WR,KCC,0.13
Nsimba Webster,3000.00,LAR,WR,SFO,0.06
Tyrie Cleveland,3000.00,DEN,WR,NOS,0.06
