Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2381381557,Tmtmtm,0,176.48,DST Falcons  QB Kirk Cousins FLEX A.J. Green TE Kyle Rudolph RB Derrick Henry RB Dalvin Cook WR Darius Slayton WR A.J. Brown WR Justin Jefferson,,Dalvin Cook,RB,42.00%,11.2
2,2381255317,DWossPoss21,0,175.87999,DST Bills  WR DeVante Parker WR Breshad Perriman RB Derrick Henry TE Evan Engram RB Nick Chubb QB Josh Allen WR Jakobi Meyers FLEX Tee Higgins,,Darren Waller,TE,30.00%,6.3
3,2381778633,dmill01,0,171.98,DST Dolphins  QB Ryan Fitzpatrick WR Jarvis Landry WR DeVante Parker FLEX Damiere Byrd RB Mike Davis RB Derrick Henry TE Evan Engram WR Christian Kirk,,Nyheim Hines,RB,27.00%,17.5
4,2382252481,gregdaniels,0,169.68001,DST Dolphins  FLEX Trey Burton WR Robby Anderson RB Mike Davis RB Derrick Henry TE Evan Engram QB Josh Allen WR Jalen Guyton WR Justin Jefferson,,Giants ,DST,26.50%,9
5,2382280909,jthom41,0,163.54,DST Giants  FLEX Nelson Agholor TE Evan Engram WR Curtis Samuel RB Nick Chubb RB Nyheim Hines WR Calvin Ridley QB Justin Herbert WR Justin Jefferson,,Stefon Diggs,WR,24.50%,10.9
6,2381988092,mythicalrhymer01,0,163.04,DST Giants  QB Ryan Tannehill TE Darren Waller WR Robby Anderson WR Corey Davis RB Nyheim Hines RB James Robinson FLEX A.J. Brown WR Justin Jefferson,,Justin Jefferson,WR,23.50%,26
7,2382030817,chino68,0,162.79999,DST Browns  QB Derek Carr WR Jarvis Landry WR DeVante Parker RB Mike Davis TE Evan Engram WR Curtis Samuel FLEX Nick Chubb RB James Robinson,,DeVante Parker,WR,21.50%,22.9
8,2381747617,Mastiffs,0,161.87999,DST Dolphins  QB Kirk Cousins WR Cole Beasley WR Jarvis Landry TE Hunter Henry RB Austin Ekeler WR Christian Kirk RB Damien Harris FLEX James Robinson,,Kareem Hunt,RB,21.00%,6.2
9,2381608832,dc_grounded,0,155.98,DST Giants  WR Cole Beasley WR Damiere Byrd WR Robby Anderson RB Derrick Henry TE Hunter Henry RB Austin Ekeler QB Josh Allen FLEX Tee Higgins,,Nick Chubb,RB,20.00%,29.6
10,2381880658,ajg616Dallas,0,155.68001,DST Titans  QB Ryan Fitzpatrick TE Trey Burton WR Jarvis Landry WR DeVante Parker FLEX Robby Anderson WR Stefon Diggs RB Dalvin Cook RB Nyheim Hines,,Calvin Ridley,WR,20.00%,17
11,2381765880,jab297,0,154.2,DST Vikings  QB Matt Ryan WR Cole Beasley WR DeVante Parker RB Mike Davis FLEX Kenyan Drake RB Nick Chubb TE Mike Gesicki WR A.J. Brown,,Josh Allen,QB,19.50%,17.48
12,2381435105,Macquesta,0,152.98,DST Jets  QB Kirk Cousins FLEX Kyle Rudolph WR Nelson Agholor WR Stefon Diggs RB Derrick Henry RB Dalvin Cook TE David Njoku WR Justin Jefferson,,Keenan Allen,WR,18.50%,16
