Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2381520338,Fpower99,0,186.48,DST Rams  RB Latavius Murray WR Mike Evans WR Cooper Kupp WR Richie James FLEX Tyreek Hill QB Patrick Mahomes TE Noah Fant RB Cam Akers,,Patrick Mahomes,QB,50.00%,35.28
2,2381679927,sling21shot,0,183.37999,DST Saints  FLEX Rob Gronkowski TE Jordan Reed WR Robert Woods RB Raheem Mostert RB Leonard Fournette WR Tyreek Hill WR Chris Godwin QB Patrick Mahomes,,Tyreek Hill,WR,49.00%,60.9
3,2382631977,hardknocks82,0,179.18001,DST Saints  TE Rob Gronkowski WR Mike Evans WR Sammy Watkins RB Raheem Mostert RB Leonard Fournette WR Tyreek Hill QB Patrick Mahomes FLEX Mecole Hardman,,Saints ,DST,47.00%,14
4,2382546315,gsandeus,0,175.6,DST Rams  QB Tom Brady TE Rob Gronkowski FLEX Robert Woods RB Jerick McKinnon WR Cooper Kupp WR Josh Reynolds WR Tyreek Hill RB Ronald Jones II,,Robert Woods,FLEX,47.00%,15.8
5,2382486565,robotv,0,173.37999,DST 49ers  TE Jared Cook RB Latavius Murray RB Ty Montgomery FLEX Sammy Watkins WR Cooper Kupp WR Tyreek Hill WR Chris Godwin QB Patrick Mahomes,,Alvin Kamara,FLEX,47.00%,6.2
6,2382776123,buckeyebammer,0,167.00002,DST Saints  QB Tom Brady WR Emmanuel Sanders TE Rob Gronkowski WR Robert Woods RB Raheem Mostert WR Tyreek Hill FLEX Tim Patrick RB Ronald Jones II,,Travis Kelce,TE,42.00%,16.2
7,2381577292,drem1x,0,166.38,DST Rams  TE Travis Kelce RB Leonard Fournette WR Josh Reynolds WR Tyreek Hill WR Chris Godwin RB Royce Freeman QB Patrick Mahomes FLEX Noah Fant,,Clyde Edwards-Helaire,RB,36.00%,4.9
8,2382258046,PSI9,0,165.42,DST Saints  QB Taysom Hill WR Robert Woods FLEX Melvin Gordon III WR Tyreek Hill WR Deebo Samuel TE Gerald Everett RB Ronald Jones II RB Clyde Edwards-Helaire,,Sammy Watkins,FLEX,35.00%,7.8
9,2382481965,Seizes,0,160.6,DST Saints  QB Tom Brady WR Antonio Brown WR Mike Evans RB Raheem Mostert WR Tyreek Hill FLEX Royce Freeman RB Ronald Jones II TE Noah Fant,,Cooper Kupp,WR,29.00%,6.1
10,2381882773,rbegley1976,0,159.98001,DST Chiefs  WR Emmanuel Sanders FLEX Rob Gronkowski RB Phillip Lindsay RB Alvin Kamara WR Tyreek Hill WR Deebo Samuel QB Patrick Mahomes TE Noah Fant,,Ronald Jones II,RB,28.00%,17.3
