Player_Name,Salary,Team,Pos,Opp,Proj_FP
Dallas Cowboys,2400.00,DAL,DST,CIN,9.04
Duke Johnson,4800.00,HOU,RB,CHI,17.1
Teddy Bridgewater,5800.00,CAR,QB,DEN,20.08
Mitchell Trubisky,5600.00,CHI,QB,HOU,19.27
Jordan Akins,2900.00,HOU,TE,CHI,9.9
Drew Lock,5100.00,DEN,QB,CAR,17.14
Andy Dalton,5500.00,DAL,QB,CIN,18.33
Tua Tagovailoa,5400.00,MIA,QB,KCC,17.89
Mike Glennon,5100.00,JAC,QB,TEN,16.7
Curtis Samuel,5200.00,CAR,WR,DEN,16.83
Patrick Mahomes,8100.00,KCC,QB,MIA,26.11
Brandon Allen,4900.00,CIN,QB,DAL,15.79
Daniel Jones,5500.00,NYG,QB,ARI,17.64
Ryan Tannehill,6700.00,TEN,QB,JAC,21.34
Arizona Cardinals,2700.00,ARI,DST,NYG,8.4
Kyler Murray,7200.00,ARI,QB,NYG,22.22
Tom Brady,6900.00,TBB,QB,MIN,21.07
DeAndre Washington,4000.00,MIA,RB,KCC,12.11
A.J. Green,3000.00,CIN,WR,DAL,9.08
Kirk Cousins,6200.00,MIN,QB,TBB,18.65
Houston Texans,2600.00,HOU,DST,CHI,7.57
Deshaun Watson,7600.00,HOU,QB,CHI,22.15
Robby Anderson,6200.00,CAR,WR,DEN,18.01
Tennessee Titans,3100.00,TEN,DST,JAC,8.84
Chad Hansen,3900.00,HOU,WR,CHI,11.09
New York Giants,2600.00,NYG,DST,ARI,7.35
Denver Broncos,2500.00,DEN,DST,CAR,7.03
Tim Patrick,4200.00,DEN,WR,CAR,11.7
Tee Higgins,4800.00,CIN,WR,DAL,13.22
Keke Coutee,5000.00,HOU,WR,CHI,13.72
Cincinnati Bengals,2300.00,CIN,DST,DAL,6.28
Darnell Mooney,3500.00,CHI,WR,HOU,9.57
Tampa Bay Buccaneers,2900.00,TBB,DST,MIN,7.88
Carolina Panthers,2900.00,CAR,DST,DEN,7.86
David Montgomery,6500.00,CHI,RB,HOU,17.61
Tyler Boyd,4900.00,CIN,WR,DAL,13.21
Giovani Bernard,5000.00,CIN,RB,DAL,13.47
CeeDee Lamb,4800.00,DAL,WR,CIN,12.85
Adam Thielen,7000.00,MIN,WR,TBB,18.69
KJ Hamler,3000.00,DEN,WR,CAR,7.97
Noah Fant,4100.00,DEN,TE,CAR,10.83
Mike Davis,6400.00,CAR,RB,DEN,16.86
Derrick Henry,8700.00,TEN,RB,JAC,22.92
James Robinson,7500.00,JAC,RB,TEN,19.56
Corey Davis,5700.00,TEN,WR,JAC,14.83
Michael Gallup,3800.00,DAL,WR,CIN,9.85
Ezekiel Elliott,6600.00,DAL,RB,CIN,17.01
Travis Kelce,7400.00,KCC,TE,MIA,19.11
Jerry Jeudy,4700.00,DEN,WR,CAR,12.13
Irv Smith,3100.00,MIN,TE,TBB,7.96
Antonio Brown,5500.00,TBB,WR,MIN,14.15
Dalton Schultz,3500.00,DAL,TE,CIN,8.97
Chris Godwin,6300.00,TBB,WR,MIN,16.13
Larry Fitzgerald,3500.00,ARI,WR,NYG,8.91
Allen Robinson,6800.00,CHI,WR,HOU,17.17
Evan Engram,4300.00,NYG,TE,ARI,10.83
Jakeem Grant,3400.00,MIA,WR,KCC,8.34
Leonard Fournette,4500.00,TBB,RB,MIN,11.01
Chris Conley,3000.00,JAC,WR,TEN,7.32
Minnesota Vikings,2300.00,MIN,DST,TBB,5.56
Tyreek Hill,8500.00,KCC,WR,MIA,20.56
Sterling Shepard,5200.00,NYG,WR,ARI,12.59
DeVante Parker,6100.00,MIA,WR,KCC,14.71
Mike Gesicki,4500.00,MIA,TE,KCC,10.78
DJ Chark,5300.00,JAC,WR,TEN,12.65
Golden Tate,3600.00,NYG,WR,ARI,8.58
DeAndre Hopkins,7600.00,ARI,WR,NYG,18.01
Darius Slayton,4200.00,NYG,WR,ARI,9.82
Kansas City Chiefs,3500.00,KCC,DST,MIA,8.17
Cole Kmet,2900.00,CHI,TE,HOU,6.74
Anthony Miller,3900.00,CHI,WR,HOU,9.03
Darren Fells,2500.00,HOU,TE,CHI,5.8
Justin Jefferson,7400.00,MIN,WR,TBB,17.04
Amari Cooper,6500.00,DAL,WR,CIN,14.79
Dalvin Cook,9400.00,MIN,RB,TBB,21.3
Keelan Cole,3700.00,JAC,WR,TEN,8.38
Chase Edmonds,4600.00,ARI,RB,NYG,10.26
Wayne Gallman,5700.00,NYG,RB,ARI,12.7
Tyler Eifert,3100.00,JAC,TE,TEN,6.82
Chicago Bears,3000.00,CHI,DST,HOU,6.58
Kenyan Drake,5500.00,ARI,RB,NYG,12.04
Brandon Zylstra,3000.00,CAR,WR,DEN,6.58
Sammy Watkins,4900.00,KCC,WR,MIA,10.63
A.J. Brown,7300.00,TEN,WR,JAC,15.74
Jonnu Smith,3900.00,TEN,TE,JAC,8.32
Christian Kirk,4700.00,ARI,WR,NYG,10.01
Rob Gronkowski,4800.00,TBB,TE,MIN,10.18
Melvin Gordon,5200.00,DEN,RB,CAR,10.99
Drew Sample,3000.00,CIN,TE,DAL,6.34
Mike Evans,6600.00,TBB,WR,MIN,13.83
Ronald Jones,6100.00,TBB,RB,MIN,12.73
Cordarrelle Patterson,3600.00,CHI,WR,HOU,7.29
Jacksonville Jaguars,2200.00,JAC,DST,TEN,4.32
Anthony Firkser,3600.00,TEN,TE,JAC,7.05
Mecole Hardman,3200.00,KCC,WR,MIA,6.27
Clyde Edwards-Helaire,5900.00,KCC,RB,MIA,11.49
Demarcus Robinson,3800.00,KCC,WR,MIA,7.29
Laviska Shenault,4100.00,JAC,WR,TEN,7.75
Patrick Laird,4000.00,MIA,RB,KCC,7.3
Le'Veon Bell,4400.00,KCC,RB,MIA,7.86
Phillip Lindsay,4300.00,DEN,RB,CAR,7.64
Ian Thomas,2500.00,CAR,TE,DEN,4.15
Chad Beebe,3000.00,MIN,WR,TBB,4.96
Jimmy Graham,3000.00,CHI,TE,HOU,4.92
Miami Dolphins,2800.00,MIA,DST,KCC,4.46
Collin Johnson,3600.00,JAC,WR,TEN,5.24
Mack Hollins,3000.00,MIA,WR,KCC,4.36
Steven Mitchell,3000.00,HOU,WR,CHI,4.3
Samaje Perine,4000.00,CIN,RB,DAL,5.63
Rodney Smith,4000.00,CAR,RB,DEN,5.62
James O'Shaughnessy,2500.00,JAC,TE,TEN,3.49
Alfred Morris,4000.00,NYG,RB,ARI,5.39
Durham Smythe,2500.00,MIA,TE,KCC,3.32
Dan Arnold,3600.00,ARI,TE,NYG,4.52
Andy Isabella,3000.00,ARI,WR,NYG,3.7
Maxx Williams,2500.00,ARI,TE,NYG,3.08
Tony Pollard,5300.00,DAL,RB,CIN,6.23
Jeremy McNichols,4000.00,TEN,RB,JAC,4.62
Cameron Batson,3000.00,TEN,WR,JAC,3.45
Kaden Smith,2500.00,NYG,TE,ARI,2.86
Kahale Warring,2500.00,HOU,TE,CHI,2.79
Nick Vannett,2500.00,DEN,TE,CAR,2.76
Chris Manhertz,2500.00,CAR,TE,DEN,2.67
Tyler Conklin,2500.00,MIN,TE,TBB,2.66
C.J. Prosise,4000.00,HOU,RB,CHI,4.19
Darrel Williams,4000.00,KCC,RB,MIA,4.03
MyCole Pruitt,2500.00,TEN,TE,JAC,2.43
Adam Shaheen,2500.00,MIA,TE,KCC,2.36
Alex Erickson,3000.00,CIN,WR,DAL,2.73
DaeSean Hamilton,3000.00,DEN,WR,CAR,2.7
Dion Lewis,4000.00,NYG,RB,ARI,3.57
Cameron Brate,3000.00,TBB,TE,MIN,2.59
Scotty Miller,3000.00,TBB,WR,MIN,2.44
Noah Brown,3000.00,DAL,WR,CIN,2.39
Mike Thomas,3000.00,CIN,WR,DAL,2.28
Cedrick Wilson,3300.00,DAL,WR,CIN,2.49
Kalif Raymond,3000.00,TEN,WR,JAC,2.07
Royce Freeman,4000.00,DEN,RB,CAR,2.51
Pharoh Cooper,3000.00,CAR,WR,DEN,1.9
Mike Boone,4000.00,MIN,RB,TBB,2.48
Malcolm Perry,3000.00,MIA,WR,KCC,1.82
Antonio Callaway,3000.00,MIA,WR,KCC,1.76
Nick Westbrook-Ikhine,3000.00,TEN,WR,JAC,1.71
Trenton Cannon,4000.00,CAR,RB,DEN,2.26
Dare Ogunbowale,4000.00,JAC,RB,TEN,2.16
Nick Keizer,2500.00,KCC,TE,MIA,1.33
Ameer Abdullah,4000.00,MIN,RB,TBB,2.03
C.J. Board,3000.00,NYG,WR,ARI,1.51
Javon Wims,3000.00,CHI,WR,HOU,1.33
Cethan Carter,2500.00,CIN,TE,DAL,1.08
KeeSean Johnson,3000.00,ARI,WR,NYG,1.06
Olabisi Johnson,3200.00,MIN,WR,TBB,1.13
Blake Bell,2600.00,DAL,TE,CIN,0.83
Deon Yelder,2500.00,KCC,TE,MIA,0.8
Levine Toilolo,2500.00,NYG,TE,ARI,0.79
Isaiah Coulter,3000.00,HOU,WR,CHI,0.85
Ryan Nall,4000.00,CHI,RB,HOU,1.09
Darrynton Evans,4000.00,TEN,RB,JAC,1.02
LeSean McCoy,4000.00,TBB,RB,MIN,0.88
Tyler Johnson,3000.00,TBB,WR,MIN,0.62
Gregory Howell,4000.00,HOU,RB,CHI,0.79
Trayveon Williams,4000.00,CIN,RB,DAL,0.76
